,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NQR456W,10/28/2017,00:00:00,6383129
1,59 ST,NQR456W,10/28/2017,04:00:00,6383157
2,59 ST,NQR456W,10/28/2017,08:00:00,6383178
3,59 ST,NQR456W,10/28/2017,12:00:00,6383270
4,59 ST,NQR456W,10/28/2017,16:00:00,6383502
5,59 ST,NQR456W,10/28/2017,20:00:00,6383802
6,59 ST,NQR456W,10/29/2017,00:00:00,6383948
7,59 ST,NQR456W,10/29/2017,04:00:00,6383972
8,59 ST,NQR456W,10/29/2017,08:00:00,6383987
9,59 ST,NQR456W,10/29/2017,12:00:00,6384042
10,59 ST,NQR456W,10/29/2017,16:00:00,6384129
11,59 ST,NQR456W,10/29/2017,20:00:00,6384302
12,59 ST,NQR456W,10/30/2017,00:00:00,6384372
13,59 ST,NQR456W,10/30/2017,04:00:00,6384383
14,59 ST,NQR456W,10/30/2017,08:00:00,6384415
15,59 ST,NQR456W,10/30/2017,12:00:00,6384580
16,59 ST,NQR456W,10/30/2017,16:00:00,6384909
17,59 ST,NQR456W,10/30/2017,20:00:00,6385801
18,59 ST,NQR456W,10/31/2017,00:00:00,6386010
19,59 ST,NQR456W,10/31/2017,04:00:00,6386026
20,59 ST,NQR456W,10/31/2017,08:00:00,6386083
21,59 ST,NQR456W,10/31/2017,12:00:00,6386303
22,59 ST,NQR456W,10/31/2017,16:00:00,6386805
23,59 ST,NQR456W,10/31/2017,20:00:00,6387847
24,59 ST,NQR456W,11/01/2017,00:00:00,6388139
25,59 ST,NQR456W,11/01/2017,04:00:00,6388164
26,59 ST,NQR456W,11/01/2017,08:00:00,6388233
27,59 ST,NQR456W,11/01/2017,12:00:00,6388471
28,59 ST,NQR456W,11/01/2017,16:00:00,6388900
29,59 ST,NQR456W,11/01/2017,20:00:00,6390085
30,59 ST,NQR456W,11/02/2017,00:00:00,6390405
31,59 ST,NQR456W,11/02/2017,04:00:00,6390424
32,59 ST,NQR456W,11/02/2017,08:00:00,6390499
33,59 ST,NQR456W,11/02/2017,12:00:00,6390670
34,59 ST,NQR456W,11/02/2017,16:00:00,6390980
35,59 ST,NQR456W,11/02/2017,20:00:00,6391753
36,59 ST,NQR456W,11/03/2017,00:00:00,6391974
37,59 ST,NQR456W,11/03/2017,04:00:00,6391990
38,59 ST,NQR456W,11/03/2017,08:00:00,6392019
39,59 ST,NQR456W,11/03/2017,12:00:00,6392182
40,59 ST,NQR456W,11/03/2017,16:00:00,6392512
41,59 ST,NQR456W,11/03/2017,20:00:00,6393367
42,59 ST,NQR456W,10/28/2017,00:00:00,5747497
43,59 ST,NQR456W,10/28/2017,04:00:00,5747514
44,59 ST,NQR456W,10/28/2017,08:00:00,5747521
45,59 ST,NQR456W,10/28/2017,12:00:00,5747591
46,59 ST,NQR456W,10/28/2017,16:00:00,5747796
47,59 ST,NQR456W,10/28/2017,20:00:00,5748077
48,59 ST,NQR456W,10/29/2017,00:00:00,5748189
49,59 ST,NQR456W,10/29/2017,04:00:00,5748211
