,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NQR456W,01/27/2018,03:00:00,6495412
1,59 ST,NQR456W,01/27/2018,07:00:00,6495425
2,59 ST,NQR456W,01/27/2018,11:00:00,6495481
3,59 ST,NQR456W,01/27/2018,15:00:00,6495659
4,59 ST,NQR456W,01/27/2018,19:00:00,6495932
5,59 ST,NQR456W,01/27/2018,23:00:00,6496117
6,59 ST,NQR456W,01/28/2018,03:00:00,6496149
7,59 ST,NQR456W,01/28/2018,07:00:00,6496159
8,59 ST,NQR456W,01/28/2018,11:00:00,6496196
9,59 ST,NQR456W,01/28/2018,15:00:00,6496319
10,59 ST,NQR456W,01/28/2018,19:00:00,6496499
11,59 ST,NQR456W,01/28/2018,23:00:00,6496613
12,59 ST,NQR456W,01/29/2018,03:00:00,6496628
13,59 ST,NQR456W,01/29/2018,07:00:00,6496638
14,59 ST,NQR456W,01/29/2018,11:00:00,6496777
15,59 ST,NQR456W,01/29/2018,15:00:00,6496992
16,59 ST,NQR456W,01/29/2018,19:00:00,6497762
17,59 ST,NQR456W,01/29/2018,23:00:00,6498053
18,59 ST,NQR456W,01/30/2018,03:00:00,6498075
19,59 ST,NQR456W,01/30/2018,07:00:00,6498093
20,59 ST,NQR456W,01/30/2018,11:00:00,6498219
21,59 ST,NQR456W,01/30/2018,15:00:00,6498403
22,59 ST,NQR456W,01/30/2018,19:00:00,6499168
23,59 ST,NQR456W,01/30/2018,23:00:00,6499453
24,59 ST,NQR456W,01/31/2018,03:00:00,6499493
25,59 ST,NQR456W,01/31/2018,07:00:00,6499505
26,59 ST,NQR456W,01/31/2018,11:00:00,6499656
27,59 ST,NQR456W,01/31/2018,15:00:00,6499861
28,59 ST,NQR456W,01/31/2018,19:00:00,6500685
29,59 ST,NQR456W,01/31/2018,23:00:00,6500983
30,59 ST,NQR456W,02/01/2018,03:00:00,6501010
31,59 ST,NQR456W,02/01/2018,07:00:00,6501029
32,59 ST,NQR456W,02/01/2018,11:00:00,6501197
33,59 ST,NQR456W,02/01/2018,15:00:00,6501424
34,59 ST,NQR456W,02/01/2018,19:00:00,6502208
35,59 ST,NQR456W,02/01/2018,23:00:00,6502518
36,59 ST,NQR456W,02/02/2018,03:00:00,6502557
37,59 ST,NQR456W,02/02/2018,07:00:00,6502571
38,59 ST,NQR456W,02/02/2018,11:00:00,6502732
39,59 ST,NQR456W,02/02/2018,15:00:00,6502995
40,59 ST,NQR456W,02/02/2018,19:00:00,6503776
41,59 ST,NQR456W,02/02/2018,23:00:00,6504048
42,59 ST,NQR456W,01/27/2018,03:00:00,5833759
43,59 ST,NQR456W,01/27/2018,07:00:00,5833762
44,59 ST,NQR456W,01/27/2018,11:00:00,5833791
45,59 ST,NQR456W,01/27/2018,15:00:00,5833924
46,59 ST,NQR456W,01/27/2018,19:00:00,5834191
47,59 ST,NQR456W,01/27/2018,23:00:00,5834346
48,59 ST,NQR456W,01/28/2018,03:00:00,5834371
49,59 ST,NQR456W,01/28/2018,07:00:00,5834378
50,59 ST,NQR456W,01/28/2018,11:00:00,5834400
51,59 ST,NQR456W,01/28/2018,15:00:00,5834495
52,59 ST,NQR456W,01/28/2018,19:00:00,5834649
53,59 ST,NQR456W,01/28/2018,23:00:00,5834753
54,59 ST,NQR456W,01/29/2018,03:00:00,5834763
55,59 ST,NQR456W,01/29/2018,07:00:00,5834774
56,59 ST,NQR456W,01/29/2018,11:00:00,5834886
57,59 ST,NQR456W,01/29/2018,15:00:00,5835029
58,59 ST,NQR456W,01/29/2018,19:00:00,5835628
59,59 ST,NQR456W,01/29/2018,23:00:00,5835834
60,59 ST,NQR456W,01/30/2018,03:00:00,5835857
61,59 ST,NQR456W,01/30/2018,07:00:00,5835870
62,59 ST,NQR456W,01/30/2018,11:00:00,5835987
63,59 ST,NQR456W,01/30/2018,15:00:00,5836147
64,59 ST,NQR456W,01/30/2018,19:00:00,5836787
65,59 ST,NQR456W,01/30/2018,23:00:00,5836985
66,59 ST,NQR456W,01/31/2018,03:00:00,5837009
67,59 ST,NQR456W,01/31/2018,07:00:00,5837026
68,59 ST,NQR456W,01/31/2018,11:00:00,5837163
69,59 ST,NQR456W,01/31/2018,15:00:00,5837349
70,59 ST,NQR456W,01/31/2018,19:00:00,5837955
71,59 ST,NQR456W,01/31/2018,23:00:00,5838153
72,59 ST,NQR456W,02/01/2018,03:00:00,5838181
73,59 ST,NQR456W,02/01/2018,07:00:00,5838192
74,59 ST,NQR456W,02/01/2018,11:00:00,5838311
75,59 ST,NQR456W,02/01/2018,15:00:00,5838503
76,59 ST,NQR456W,02/01/2018,19:00:00,5839091
77,59 ST,NQR456W,02/01/2018,23:00:00,5839326
78,59 ST,NQR456W,02/02/2018,03:00:00,5839360
79,59 ST,NQR456W,02/02/2018,07:00:00,5839376
80,59 ST,NQR456W,02/02/2018,11:00:00,5839494
81,59 ST,NQR456W,02/02/2018,15:00:00,5839703
82,59 ST,NQR456W,02/02/2018,19:00:00,5840322
83,59 ST,NQR456W,02/02/2018,23:00:00,5840526
84,59 ST,NQR456W,01/27/2018,03:00:00,1033021
85,59 ST,NQR456W,01/27/2018,07:00:00,1033024
86,59 ST,NQR456W,01/27/2018,11:00:00,1033042
87,59 ST,NQR456W,01/27/2018,15:00:00,1033088
88,59 ST,NQR456W,01/27/2018,19:00:00,1033193
89,59 ST,NQR456W,01/27/2018,23:00:00,1033267
90,59 ST,NQR456W,01/28/2018,03:00:00,1033277
91,59 ST,NQR456W,01/28/2018,07:00:00,1033280
92,59 ST,NQR456W,01/28/2018,11:00:00,1033292
93,59 ST,NQR456W,01/28/2018,15:00:00,1033327
94,59 ST,NQR456W,01/28/2018,19:00:00,1033407
95,59 ST,NQR456W,01/28/2018,23:00:00,1033459
96,59 ST,NQR456W,01/29/2018,03:00:00,1033465
97,59 ST,NQR456W,01/29/2018,07:00:00,1033469
98,59 ST,NQR456W,01/29/2018,11:00:00,1033513
99,59 ST,NQR456W,01/29/2018,15:00:00,1033571
100,59 ST,NQR456W,01/29/2018,19:00:00,1033787
101,59 ST,NQR456W,01/29/2018,23:00:00,1033868
102,59 ST,NQR456W,01/30/2018,03:00:00,1033879
103,59 ST,NQR456W,01/30/2018,07:00:00,1033883
104,59 ST,NQR456W,01/30/2018,11:00:00,1033937
105,59 ST,NQR456W,01/30/2018,15:00:00,1033994
106,59 ST,NQR456W,01/30/2018,19:00:00,1034237
107,59 ST,NQR456W,01/30/2018,23:00:00,1034333
108,59 ST,NQR456W,01/31/2018,03:00:00,1034345
109,59 ST,NQR456W,01/31/2018,07:00:00,1034349
110,59 ST,NQR456W,01/31/2018,11:00:00,1034386
111,59 ST,NQR456W,01/31/2018,15:00:00,1034461
112,59 ST,NQR456W,01/31/2018,19:00:00,1034669
113,59 ST,NQR456W,01/31/2018,23:00:00,1034781
114,59 ST,NQR456W,02/01/2018,03:00:00,1034794
115,59 ST,NQR456W,02/01/2018,07:00:00,1034797
116,59 ST,NQR456W,02/01/2018,11:00:00,1034845
117,59 ST,NQR456W,02/01/2018,15:00:00,1034917
118,59 ST,NQR456W,02/01/2018,19:00:00,1035170
119,59 ST,NQR456W,02/01/2018,23:00:00,1035277
120,59 ST,NQR456W,02/02/2018,03:00:00,1035294
121,59 ST,NQR456W,02/02/2018,07:00:00,1035300
122,59 ST,NQR456W,02/02/2018,11:00:00,1035333
123,59 ST,NQR456W,02/02/2018,15:00:00,1035400
124,59 ST,NQR456W,02/02/2018,19:00:00,1035638
125,59 ST,NQR456W,02/02/2018,23:00:00,1035760
126,59 ST,NQR456W,01/27/2018,03:00:00,579027
127,59 ST,NQR456W,01/27/2018,07:00:00,579036
128,59 ST,NQR456W,01/27/2018,11:00:00,579105
129,59 ST,NQR456W,01/27/2018,15:00:00,579272
130,59 ST,NQR456W,01/27/2018,19:00:00,579581
131,59 ST,NQR456W,01/27/2018,23:00:00,579781
132,59 ST,NQR456W,01/28/2018,03:00:00,579857
133,59 ST,NQR456W,01/28/2018,07:00:00,579870
134,59 ST,NQR456W,01/28/2018,11:00:00,579927
135,59 ST,NQR456W,01/28/2018,15:00:00,580096
136,59 ST,NQR456W,01/28/2018,19:00:00,580304
137,59 ST,NQR456W,01/28/2018,23:00:00,580457
138,59 ST,NQR456W,01/29/2018,03:00:00,580487
139,59 ST,NQR456W,01/29/2018,07:00:00,580504
140,59 ST,NQR456W,01/29/2018,11:00:00,580632
141,59 ST,NQR456W,01/29/2018,15:00:00,580812
142,59 ST,NQR456W,01/29/2018,19:00:00,581374
143,59 ST,NQR456W,01/29/2018,23:00:00,581680
144,59 ST,NQR456W,01/30/2018,03:00:00,581721
145,59 ST,NQR456W,01/30/2018,07:00:00,581735
146,59 ST,NQR456W,01/30/2018,11:00:00,581876
147,59 ST,NQR456W,01/30/2018,15:00:00,582076
148,59 ST,NQR456W,01/30/2018,19:00:00,582657
149,59 ST,NQR456W,01/30/2018,23:00:00,582929
150,59 ST,NQR456W,01/31/2018,03:00:00,582968
151,59 ST,NQR456W,01/31/2018,07:00:00,582985
152,59 ST,NQR456W,01/31/2018,11:00:00,583119
153,59 ST,NQR456W,01/31/2018,15:00:00,583310
154,59 ST,NQR456W,01/31/2018,19:00:00,583866
155,59 ST,NQR456W,01/31/2018,23:00:00,584163
156,59 ST,NQR456W,02/01/2018,03:00:00,584215
157,59 ST,NQR456W,02/01/2018,07:00:00,584239
158,59 ST,NQR456W,02/01/2018,11:00:00,584371
159,59 ST,NQR456W,02/01/2018,15:00:00,584584
160,59 ST,NQR456W,02/01/2018,19:00:00,585155
161,59 ST,NQR456W,02/01/2018,23:00:00,585447
162,59 ST,NQR456W,02/02/2018,03:00:00,585520
163,59 ST,NQR456W,02/02/2018,07:00:00,585539
164,59 ST,NQR456W,02/02/2018,11:00:00,585681
165,59 ST,NQR456W,02/02/2018,15:00:00,585921
166,59 ST,NQR456W,02/02/2018,19:00:00,586518
167,59 ST,NQR456W,02/02/2018,23:00:00,586822
168,59 ST,NQR456W,01/27/2018,03:00:00,5661113
169,59 ST,NQR456W,01/27/2018,07:00:00,5661123
170,59 ST,NQR456W,01/27/2018,11:00:00,5661188
171,59 ST,NQR456W,01/27/2018,15:00:00,5661359
172,59 ST,NQR456W,01/27/2018,19:00:00,5661627
173,59 ST,NQR456W,01/27/2018,23:00:00,5661809
174,59 ST,NQR456W,01/28/2018,03:00:00,5661869
175,59 ST,NQR456W,01/28/2018,07:00:00,5661879
176,59 ST,NQR456W,01/28/2018,11:00:00,5661924
177,59 ST,NQR456W,01/28/2018,15:00:00,5662031
178,59 ST,NQR456W,01/28/2018,19:00:00,5662196
179,59 ST,NQR456W,01/28/2018,23:00:00,5662361
180,59 ST,NQR456W,01/29/2018,03:00:00,5662390
181,59 ST,NQR456W,01/29/2018,07:00:00,5662406
182,59 ST,NQR456W,01/29/2018,11:00:00,5662580
183,59 ST,NQR456W,01/29/2018,15:00:00,5662762
184,59 ST,NQR456W,01/29/2018,19:00:00,5663328
185,59 ST,NQR456W,01/29/2018,23:00:00,5663580
186,59 ST,NQR456W,01/30/2018,03:00:00,5663611
187,59 ST,NQR456W,01/30/2018,07:00:00,5663629
188,59 ST,NQR456W,01/30/2018,11:00:00,5663808
189,59 ST,NQR456W,01/30/2018,15:00:00,5663986
190,59 ST,NQR456W,01/30/2018,19:00:00,5664568
191,59 ST,NQR456W,01/30/2018,23:00:00,5664828
192,59 ST,NQR456W,01/31/2018,03:00:00,5664880
193,59 ST,NQR456W,01/31/2018,07:00:00,5664891
194,59 ST,NQR456W,01/31/2018,11:00:00,5665075
195,59 ST,NQR456W,01/31/2018,15:00:00,5665281
196,59 ST,NQR456W,01/31/2018,19:00:00,5665843
197,59 ST,NQR456W,01/31/2018,23:00:00,5666119
198,59 ST,NQR456W,02/01/2018,03:00:00,5666153
199,59 ST,NQR456W,02/01/2018,07:00:00,5666169
200,59 ST,NQR456W,02/01/2018,11:00:00,5666344
201,59 ST,NQR456W,02/01/2018,15:00:00,5666552
202,59 ST,NQR456W,02/01/2018,19:00:00,5667162
203,59 ST,NQR456W,02/01/2018,23:00:00,5667435
204,59 ST,NQR456W,02/02/2018,03:00:00,5667488
205,59 ST,NQR456W,02/02/2018,07:00:00,5667509
206,59 ST,NQR456W,02/02/2018,11:00:00,5667688
207,59 ST,NQR456W,02/02/2018,15:00:00,5667911
208,59 ST,NQR456W,02/02/2018,19:00:00,5668481
209,59 ST,NQR456W,02/02/2018,23:00:00,5668735
210,59 ST,NQR456W,01/27/2018,03:00:00,5268566
211,59 ST,NQR456W,01/27/2018,07:00:00,5268571
212,59 ST,NQR456W,01/27/2018,11:00:00,5268620
213,59 ST,NQR456W,01/27/2018,15:00:00,5268750
214,59 ST,NQR456W,01/27/2018,19:00:00,5268991
215,59 ST,NQR456W,01/27/2018,23:00:00,5269128
216,59 ST,NQR456W,01/28/2018,03:00:00,5269175
217,59 ST,NQR456W,01/28/2018,07:00:00,5269178
218,59 ST,NQR456W,01/28/2018,11:00:00,5269210
219,59 ST,NQR456W,01/28/2018,15:00:00,5269307
220,59 ST,NQR456W,01/28/2018,19:00:00,5269472
221,59 ST,NQR456W,01/28/2018,23:00:00,5269576
222,59 ST,NQR456W,01/29/2018,03:00:00,5269595
223,59 ST,NQR456W,01/29/2018,07:00:00,5269602
224,59 ST,NQR456W,01/29/2018,11:00:00,5269764
225,59 ST,NQR456W,01/29/2018,15:00:00,5269919
226,59 ST,NQR456W,01/29/2018,19:00:00,5270441
227,59 ST,NQR456W,01/29/2018,23:00:00,5270630
228,59 ST,NQR456W,01/30/2018,03:00:00,5270659
229,59 ST,NQR456W,01/30/2018,07:00:00,5270669
230,59 ST,NQR456W,01/30/2018,11:00:00,5270891
231,59 ST,NQR456W,01/30/2018,15:00:00,5271064
232,59 ST,NQR456W,01/30/2018,19:00:00,5271592
233,59 ST,NQR456W,01/30/2018,23:00:00,5271829
234,59 ST,NQR456W,01/31/2018,03:00:00,5271872
235,59 ST,NQR456W,01/31/2018,07:00:00,5271885
236,59 ST,NQR456W,01/31/2018,11:00:00,5272077
237,59 ST,NQR456W,01/31/2018,15:00:00,5272237
238,59 ST,NQR456W,01/31/2018,19:00:00,5272778
239,59 ST,NQR456W,01/31/2018,23:00:00,5272999
240,59 ST,NQR456W,02/01/2018,03:00:00,5273032
241,59 ST,NQR456W,02/01/2018,07:00:00,5273043
242,59 ST,NQR456W,02/01/2018,11:00:00,5273239
243,59 ST,NQR456W,02/01/2018,15:00:00,5273403
244,59 ST,NQR456W,02/01/2018,19:00:00,5273926
245,59 ST,NQR456W,02/01/2018,23:00:00,5274155
246,59 ST,NQR456W,02/02/2018,03:00:00,5274199
247,59 ST,NQR456W,02/02/2018,07:00:00,5274212
248,59 ST,NQR456W,02/02/2018,11:00:00,5274396
249,59 ST,NQR456W,02/02/2018,15:00:00,5274584
250,59 ST,NQR456W,02/02/2018,19:00:00,5275157
251,59 ST,NQR456W,02/02/2018,23:00:00,5275378
252,59 ST,NQR456W,01/27/2018,03:00:00,6587063
253,59 ST,NQR456W,01/27/2018,07:00:00,6587077
254,59 ST,NQR456W,01/27/2018,11:00:00,6587169
255,59 ST,NQR456W,01/27/2018,15:00:00,6587324
256,59 ST,NQR456W,01/27/2018,19:00:00,6587596
257,59 ST,NQR456W,01/27/2018,23:00:00,6587784
258,59 ST,NQR456W,01/28/2018,03:00:00,6587847
259,59 ST,NQR456W,01/28/2018,07:00:00,6587851
260,59 ST,NQR456W,01/28/2018,11:00:00,6587885
261,59 ST,NQR456W,01/28/2018,15:00:00,6588003
262,59 ST,NQR456W,01/28/2018,19:00:00,6588173
263,59 ST,NQR456W,01/28/2018,23:00:00,6588292
264,59 ST,NQR456W,01/29/2018,03:00:00,6588314
265,59 ST,NQR456W,01/29/2018,07:00:00,6588328
266,59 ST,NQR456W,01/29/2018,11:00:00,6588542
267,59 ST,NQR456W,01/29/2018,15:00:00,6588706
268,59 ST,NQR456W,01/29/2018,19:00:00,6589261
269,59 ST,NQR456W,01/29/2018,23:00:00,6589494
270,59 ST,NQR456W,01/30/2018,03:00:00,6589541
271,59 ST,NQR456W,01/30/2018,07:00:00,6589555
272,59 ST,NQR456W,01/30/2018,11:00:00,6589849
273,59 ST,NQR456W,01/30/2018,15:00:00,6590010
274,59 ST,NQR456W,01/30/2018,19:00:00,6590613
275,59 ST,NQR456W,01/30/2018,23:00:00,6590876
276,59 ST,NQR456W,01/31/2018,03:00:00,6590908
277,59 ST,NQR456W,01/31/2018,07:00:00,6590930
278,59 ST,NQR456W,01/31/2018,11:00:00,6591206
279,59 ST,NQR456W,01/31/2018,15:00:00,6591366
280,59 ST,NQR456W,01/31/2018,19:00:00,6591951
281,59 ST,NQR456W,01/31/2018,23:00:00,6592207
282,59 ST,NQR456W,02/01/2018,03:00:00,6592244
283,59 ST,NQR456W,02/01/2018,07:00:00,6592262
284,59 ST,NQR456W,02/01/2018,11:00:00,6592490
285,59 ST,NQR456W,02/01/2018,15:00:00,6592644
286,59 ST,NQR456W,02/01/2018,19:00:00,6593285
287,59 ST,NQR456W,02/01/2018,23:00:00,6593522
288,59 ST,NQR456W,02/02/2018,03:00:00,6593576
289,59 ST,NQR456W,02/02/2018,07:00:00,6593594
290,59 ST,NQR456W,02/02/2018,11:00:00,6593843
291,59 ST,NQR456W,02/02/2018,15:00:00,6594026
292,59 ST,NQR456W,02/02/2018,19:00:00,6594620
293,59 ST,NQR456W,02/02/2018,23:00:00,6594856
294,59 ST,NQR456W,01/27/2018,03:00:00,10612258
295,59 ST,NQR456W,01/27/2018,07:00:00,10612283
296,59 ST,NQR456W,01/27/2018,11:00:00,10612411
297,59 ST,NQR456W,01/27/2018,15:00:00,10612703
298,59 ST,NQR456W,01/27/2018,19:00:00,10613131
299,59 ST,NQR456W,01/27/2018,23:00:00,10613409
300,59 ST,NQR456W,01/28/2018,03:00:00,10613519
301,59 ST,NQR456W,01/28/2018,07:00:00,10613545
302,59 ST,NQR456W,01/28/2018,11:00:00,10613663
303,59 ST,NQR456W,01/28/2018,15:00:00,10613899
304,59 ST,NQR456W,01/28/2018,19:00:00,10614204
305,59 ST,NQR456W,01/28/2018,23:00:00,10614415
306,59 ST,NQR456W,01/29/2018,03:00:00,10614471
307,59 ST,NQR456W,01/29/2018,07:00:00,10614528
308,59 ST,NQR456W,01/29/2018,11:00:00,10614922
309,59 ST,NQR456W,01/29/2018,15:00:00,10615212
310,59 ST,NQR456W,01/29/2018,19:00:00,10615963
311,59 ST,NQR456W,01/29/2018,23:00:00,10616326
312,59 ST,NQR456W,01/30/2018,03:00:00,10616407
