,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NR,03/28/2015,00:00:00,5371554
1,59 ST,NR,03/28/2015,04:00:00,5371588
2,59 ST,NR,03/28/2015,08:00:00,5371825
3,59 ST,NR,03/28/2015,12:00:00,5372371
4,59 ST,NR,03/28/2015,16:00:00,5372782
5,59 ST,NR,03/28/2015,20:00:00,5373203
6,59 ST,NR,03/29/2015,00:00:00,5373339
7,59 ST,NR,03/29/2015,04:00:00,5373380
8,59 ST,NR,03/29/2015,08:00:00,5373525
9,59 ST,NR,03/29/2015,12:00:00,5373942
10,59 ST,NR,03/29/2015,16:00:00,5374306
11,59 ST,NR,03/29/2015,20:00:00,5374591
12,59 ST,NR,03/30/2015,00:00:00,5374683
13,59 ST,NR,03/30/2015,04:00:00,5374711
14,59 ST,NR,03/30/2015,08:00:00,5375330
15,59 ST,NR,03/30/2015,12:00:00,5376151
16,59 ST,NR,03/30/2015,16:00:00,5376556
17,59 ST,NR,03/30/2015,20:00:00,5377042
18,59 ST,NR,03/31/2015,00:00:00,5377209
19,59 ST,NR,03/31/2015,04:00:00,5377234
20,59 ST,NR,03/31/2015,08:00:00,5377953
21,59 ST,NR,03/31/2015,12:00:00,5378784
22,59 ST,NR,03/31/2015,16:00:00,5379168
23,59 ST,NR,03/31/2015,20:00:00,5379648
24,59 ST,NR,04/01/2015,00:00:00,5379801
25,59 ST,NR,04/01/2015,04:00:00,5379825
26,59 ST,NR,04/01/2015,08:00:00,5380524
27,59 ST,NR,04/01/2015,12:00:00,5381348
28,59 ST,NR,04/01/2015,16:00:00,5381737
29,59 ST,NR,04/01/2015,20:00:00,5382246
30,59 ST,NR,04/02/2015,00:00:00,5382415
31,59 ST,NR,04/02/2015,04:00:00,5382437
32,59 ST,NR,04/02/2015,08:00:00,5383131
33,59 ST,NR,04/02/2015,12:00:00,5384030
34,59 ST,NR,04/02/2015,16:00:00,5384426
35,59 ST,NR,04/03/2015,00:00:00,5385108
36,59 ST,NR,04/03/2015,04:00:00,5385140
37,59 ST,NR,04/03/2015,08:00:00,5385580
38,59 ST,NR,04/03/2015,12:00:00,5386298
39,59 ST,NR,04/03/2015,16:00:00,5386746
40,59 ST,NR,04/03/2015,20:00:00,5387170
41,59 ST,NR,03/28/2015,00:00:00,5763153
42,59 ST,NR,03/28/2015,04:00:00,5763174
43,59 ST,NR,03/28/2015,08:00:00,5763288
44,59 ST,NR,03/28/2015,12:00:00,5763544
45,59 ST,NR,03/28/2015,16:00:00,5763835
46,59 ST,NR,03/28/2015,20:00:00,5764125
47,59 ST,NR,03/29/2015,00:00:00,5764223
48,59 ST,NR,03/29/2015,04:00:00,5764247
49,59 ST,NR,03/29/2015,08:00:00,5764325
50,59 ST,NR,03/29/2015,12:00:00,5764535
51,59 ST,NR,03/29/2015,16:00:00,5764791
52,59 ST,NR,03/29/2015,20:00:00,5764982
53,59 ST,NR,03/30/2015,00:00:00,5765041
54,59 ST,NR,03/30/2015,04:00:00,5765053
55,59 ST,NR,03/30/2015,08:00:00,5765437
56,59 ST,NR,03/30/2015,12:00:00,5765913
57,59 ST,NR,03/30/2015,16:00:00,5766168
58,59 ST,NR,03/30/2015,20:00:00,5766616
59,59 ST,NR,03/31/2015,00:00:00,5766731
60,59 ST,NR,03/31/2015,04:00:00,5766752
61,59 ST,NR,03/31/2015,08:00:00,5767125
62,59 ST,NR,03/31/2015,12:00:00,5767607
63,59 ST,NR,03/31/2015,16:00:00,5767888
64,59 ST,NR,03/31/2015,20:00:00,5768344
65,59 ST,NR,04/01/2015,00:00:00,5768458
66,59 ST,NR,04/01/2015,04:00:00,5768473
67,59 ST,NR,04/01/2015,08:00:00,5768833
68,59 ST,NR,04/01/2015,12:00:00,5769333
69,59 ST,NR,04/01/2015,16:00:00,5769598
70,59 ST,NR,04/01/2015,20:00:00,5770068
71,59 ST,NR,04/02/2015,00:00:00,5770186
72,59 ST,NR,04/02/2015,04:00:00,5770200
73,59 ST,NR,04/02/2015,08:00:00,5770563
74,59 ST,NR,04/02/2015,12:00:00,5771033
75,59 ST,NR,04/02/2015,16:00:00,5771282
76,59 ST,NR,04/03/2015,00:00:00,5771871
77,59 ST,NR,04/03/2015,04:00:00,5771889
78,59 ST,NR,04/03/2015,08:00:00,5772098
79,59 ST,NR,04/03/2015,12:00:00,5772430
80,59 ST,NR,04/03/2015,16:00:00,5772695
81,59 ST,NR,04/03/2015,20:00:00,5773007
82,59 ST,NR,03/28/2015,00:00:00,9294541
83,59 ST,NR,03/28/2015,04:00:00,9294573
84,59 ST,NR,03/28/2015,08:00:00,9294735
85,59 ST,NR,03/28/2015,12:00:00,9295027
86,59 ST,NR,03/28/2015,16:00:00,9295350
87,59 ST,NR,03/28/2015,20:00:00,9295663
88,59 ST,NR,03/29/2015,00:00:00,9295765
89,59 ST,NR,03/29/2015,04:00:00,9295791
90,59 ST,NR,03/29/2015,08:00:00,9295888
91,59 ST,NR,03/29/2015,12:00:00,9296130
92,59 ST,NR,03/29/2015,16:00:00,9296409
93,59 ST,NR,03/29/2015,20:00:00,9296634
94,59 ST,NR,03/30/2015,00:00:00,9296715
95,59 ST,NR,03/30/2015,04:00:00,9296738
96,59 ST,NR,03/30/2015,08:00:00,9297158
