,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NR,05/02/2015,00:00:00,5451087
1,59 ST,NR,05/02/2015,04:00:00,5451112
2,59 ST,NR,05/02/2015,08:00:00,5451388
3,59 ST,NR,05/02/2015,12:00:00,5451930
4,59 ST,NR,05/02/2015,16:00:00,5452346
5,59 ST,NR,05/02/2015,20:00:00,5452766
6,59 ST,NR,05/03/2015,00:00:00,5452924
7,59 ST,NR,05/03/2015,04:00:00,5452962
8,59 ST,NR,05/03/2015,08:00:00,5453111
9,59 ST,NR,05/03/2015,12:00:00,5453511
10,59 ST,NR,05/03/2015,16:00:00,5453881
11,59 ST,NR,05/03/2015,20:00:00,5454141
12,59 ST,NR,05/04/2015,00:00:00,5454263
13,59 ST,NR,05/04/2015,04:00:00,5454284
14,59 ST,NR,05/04/2015,08:00:00,5454919
15,59 ST,NR,05/04/2015,12:00:00,5455738
16,59 ST,NR,05/04/2015,16:00:00,5456166
17,59 ST,NR,05/04/2015,20:00:00,5456668
18,59 ST,NR,05/05/2015,00:00:00,5456819
19,59 ST,NR,05/05/2015,04:00:00,5456843
20,59 ST,NR,05/05/2015,08:00:00,5457515
21,59 ST,NR,05/05/2015,12:00:00,5458319
22,59 ST,NR,05/05/2015,16:00:00,5458739
23,59 ST,NR,05/05/2015,20:00:00,5459230
24,59 ST,NR,05/06/2015,00:00:00,5459400
25,59 ST,NR,05/06/2015,04:00:00,5459426
26,59 ST,NR,05/06/2015,08:00:00,5460127
27,59 ST,NR,05/06/2015,12:00:00,5460997
28,59 ST,NR,05/06/2015,16:00:00,5461401
29,59 ST,NR,05/06/2015,20:00:00,5461883
30,59 ST,NR,05/07/2015,00:00:00,5462048
31,59 ST,NR,05/07/2015,04:00:00,5462070
32,59 ST,NR,05/07/2015,08:00:00,5462756
33,59 ST,NR,05/07/2015,12:00:00,5463630
34,59 ST,NR,05/07/2015,16:00:00,5464054
35,59 ST,NR,05/07/2015,20:00:00,5464558
36,59 ST,NR,05/08/2015,00:00:00,5464723
37,59 ST,NR,05/08/2015,04:00:00,5464749
38,59 ST,NR,05/08/2015,08:00:00,5465437
39,59 ST,NR,05/08/2015,12:00:00,5466214
40,59 ST,NR,05/08/2015,16:00:00,5466652
41,59 ST,NR,05/08/2015,20:00:00,5467101
42,59 ST,NR,05/02/2015,00:00:00,5814587
43,59 ST,NR,05/02/2015,04:00:00,5814603
44,59 ST,NR,05/02/2015,08:00:00,5814712
45,59 ST,NR,05/02/2015,12:00:00,5815019
46,59 ST,NR,05/02/2015,16:00:00,5815308
47,59 ST,NR,05/02/2015,20:00:00,5815580
48,59 ST,NR,05/03/2015,00:00:00,5815672
49,59 ST,NR,05/03/2015,04:00:00,5815691
50,59 ST,NR,05/03/2015,08:00:00,5815749
51,59 ST,NR,05/03/2015,12:00:00,5816003
52,59 ST,NR,05/03/2015,16:00:00,5816282
53,59 ST,NR,05/03/2015,20:00:00,5816484
54,59 ST,NR,05/04/2015,00:00:00,5816559
55,59 ST,NR,05/04/2015,04:00:00,5816570
56,59 ST,NR,05/04/2015,08:00:00,5816942
57,59 ST,NR,05/04/2015,12:00:00,5817401
58,59 ST,NR,05/04/2015,16:00:00,5817633
59,59 ST,NR,05/04/2015,20:00:00,5818083
60,59 ST,NR,05/05/2015,00:00:00,5818196
61,59 ST,NR,05/05/2015,04:00:00,5818211
62,59 ST,NR,05/05/2015,08:00:00,5818643
63,59 ST,NR,05/05/2015,12:00:00,5819121
64,59 ST,NR,05/05/2015,16:00:00,5819365
65,59 ST,NR,05/05/2015,20:00:00,5819845
66,59 ST,NR,05/06/2015,00:00:00,5819964
67,59 ST,NR,05/06/2015,04:00:00,5819975
68,59 ST,NR,05/06/2015,08:00:00,5820368
69,59 ST,NR,05/06/2015,12:00:00,5820879
70,59 ST,NR,05/06/2015,16:00:00,5821179
71,59 ST,NR,05/06/2015,20:00:00,5821594
72,59 ST,NR,05/07/2015,00:00:00,5821704
73,59 ST,NR,05/07/2015,04:00:00,5821720
74,59 ST,NR,05/07/2015,08:00:00,5822091
75,59 ST,NR,05/07/2015,12:00:00,5822563
76,59 ST,NR,05/07/2015,16:00:00,5822837
77,59 ST,NR,05/07/2015,20:00:00,5823332
78,59 ST,NR,05/08/2015,00:00:00,5823462
79,59 ST,NR,05/08/2015,04:00:00,5823474
80,59 ST,NR,05/08/2015,08:00:00,5823861
81,59 ST,NR,05/08/2015,12:00:00,5824309
82,59 ST,NR,05/08/2015,16:00:00,5824635
83,59 ST,NR,05/08/2015,20:00:00,5825105
84,59 ST,NR,05/02/2015,00:00:00,9354945
85,59 ST,NR,05/02/2015,04:00:00,9354974
86,59 ST,NR,05/02/2015,08:00:00,9355131
87,59 ST,NR,05/02/2015,12:00:00,9355436
88,59 ST,NR,05/02/2015,16:00:00,9355737
89,59 ST,NR,05/02/2015,20:00:00,9356042
