,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NR,11/28/2015,03:00:00,5946773
1,59 ST,NR,11/28/2015,07:00:00,5946924
2,59 ST,NR,11/28/2015,11:00:00,5947456
3,59 ST,NR,11/28/2015,15:00:00,5947867
4,59 ST,NR,11/28/2015,19:00:00,5948302
5,59 ST,NR,11/28/2015,23:00:00,5948522
6,59 ST,NR,11/29/2015,03:00:00,5948580
7,59 ST,NR,11/29/2015,07:00:00,5948688
8,59 ST,NR,11/29/2015,11:00:00,5949134
9,59 ST,NR,11/29/2015,15:00:00,5949585
10,59 ST,NR,11/29/2015,19:00:00,5950035
11,59 ST,NR,11/29/2015,23:00:00,5950192
12,59 ST,NR,11/30/2015,03:00:00,5950216
13,59 ST,NR,11/30/2015,07:00:00,5950532
14,59 ST,NR,11/30/2015,11:00:00,5951642
15,59 ST,NR,11/30/2015,15:00:00,5952062
16,59 ST,NR,11/30/2015,19:00:00,5952628
17,59 ST,NR,11/30/2015,23:00:00,5952834
18,59 ST,NR,12/01/2015,03:00:00,5952875
19,59 ST,NR,12/01/2015,07:00:00,5953189
20,59 ST,NR,12/01/2015,11:00:00,5954325
21,59 ST,NR,12/01/2015,15:00:00,5954740
22,59 ST,NR,12/01/2015,19:00:00,5955312
23,59 ST,NR,12/01/2015,23:00:00,5955529
24,59 ST,NR,12/02/2015,03:00:00,5955558
25,59 ST,NR,12/02/2015,07:00:00,5955888
26,59 ST,NR,12/02/2015,11:00:00,5957026
27,59 ST,NR,12/02/2015,15:00:00,5957488
28,59 ST,NR,12/02/2015,19:00:00,5958074
29,59 ST,NR,12/02/2015,23:00:00,5958328
30,59 ST,NR,12/03/2015,03:00:00,5958360
31,59 ST,NR,12/03/2015,07:00:00,5958702
32,59 ST,NR,12/03/2015,10:44:34,5959809
33,59 ST,NR,12/03/2015,10:48:36,5959815
34,59 ST,NR,12/03/2015,11:00:00,5959840
35,59 ST,NR,12/03/2015,13:32:12,5960107
36,59 ST,NR,12/03/2015,15:00:00,5960270
37,59 ST,NR,12/03/2015,19:00:00,5960790
38,59 ST,NR,12/03/2015,23:00:00,5961003
39,59 ST,NR,12/04/2015,03:00:00,5961038
40,59 ST,NR,12/04/2015,07:00:00,5961349
41,59 ST,NR,12/04/2015,07:41:10,5961625
42,59 ST,NR,12/04/2015,07:47:35,5961667
43,59 ST,NR,12/04/2015,08:43:11,5962028
44,59 ST,NR,12/04/2015,11:00:00,5962488
45,59 ST,NR,12/04/2015,15:00:00,5962952
46,59 ST,NR,12/04/2015,19:00:00,5963530
47,59 ST,NR,12/04/2015,23:00:00,5963786
48,59 ST,NR,11/28/2015,03:00:00,6149776
49,59 ST,NR,11/28/2015,07:00:00,6149853
50,59 ST,NR,11/28/2015,11:00:00,6150159
51,59 ST,NR,11/28/2015,15:00:00,6150496
52,59 ST,NR,11/28/2015,19:00:00,6150849
53,59 ST,NR,11/28/2015,23:00:00,6151007
54,59 ST,NR,11/29/2015,03:00:00,6151050
55,59 ST,NR,11/29/2015,07:00:00,6151110
56,59 ST,NR,11/29/2015,11:00:00,6151353
57,59 ST,NR,11/29/2015,15:00:00,6151662
58,59 ST,NR,11/29/2015,19:00:00,6151991
59,59 ST,NR,11/29/2015,23:00:00,6152094
60,59 ST,NR,11/30/2015,03:00:00,6152115
61,59 ST,NR,11/30/2015,07:00:00,6152277
62,59 ST,NR,11/30/2015,11:00:00,6152953
63,59 ST,NR,11/30/2015,15:00:00,6153227
64,59 ST,NR,11/30/2015,19:00:00,6153766
65,59 ST,NR,11/30/2015,23:00:00,6153961
66,59 ST,NR,12/01/2015,03:00:00,6153985
67,59 ST,NR,12/01/2015,07:00:00,6154142
68,59 ST,NR,12/01/2015,11:00:00,6154848
69,59 ST,NR,12/01/2015,15:00:00,6155121
70,59 ST,NR,12/01/2015,19:00:00,6155613
71,59 ST,NR,12/01/2015,23:00:00,6155784
72,59 ST,NR,12/02/2015,03:00:00,6155819
73,59 ST,NR,12/02/2015,07:00:00,6155965
74,59 ST,NR,12/02/2015,11:00:00,6156661
75,59 ST,NR,12/02/2015,15:00:00,6156927
76,59 ST,NR,12/02/2015,19:00:00,6157439
77,59 ST,NR,12/02/2015,23:00:00,6157624
78,59 ST,NR,12/03/2015,03:00:00,6157648
79,59 ST,NR,12/03/2015,07:00:00,6157793
80,59 ST,NR,12/03/2015,10:44:34,6158430
81,59 ST,NR,12/03/2015,10:48:36,6158434
82,59 ST,NR,12/03/2015,11:00:00,6158445
83,59 ST,NR,12/03/2015,13:32:12,6158604
84,59 ST,NR,12/03/2015,15:00:00,6158716
85,59 ST,NR,12/03/2015,19:00:00,6159225
86,59 ST,NR,12/03/2015,23:00:00,6159404
87,59 ST,NR,12/04/2015,03:00:00,6159434
88,59 ST,NR,12/04/2015,07:00:00,6159578
89,59 ST,NR,12/04/2015,07:41:10,6159738
90,59 ST,NR,12/04/2015,07:47:35,6159768
91,59 ST,NR,12/04/2015,08:43:11,6159997
92,59 ST,NR,12/04/2015,11:00:00,6160239
93,59 ST,NR,12/04/2015,15:00:00,6160514
94,59 ST,NR,12/04/2015,19:00:00,6161050
95,59 ST,NR,12/04/2015,23:00:00,6161269
96,59 ST,NR,11/28/2015,03:00:00,9744433
97,59 ST,NR,11/28/2015,07:00:00,9744511
98,59 ST,NR,11/28/2015,11:00:00,9744830
99,59 ST,NR,11/28/2015,15:00:00,9745160
100,59 ST,NR,11/28/2015,19:00:00,9745526
101,59 ST,NR,11/28/2015,23:00:00,9745708
102,59 ST,NR,11/29/2015,03:00:00,9745770
