,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NR,07/25/2015,00:00:00,5632340
1,59 ST,NR,07/25/2015,04:00:00,5632371
2,59 ST,NR,07/25/2015,08:00:00,5632722
3,59 ST,NR,07/25/2015,12:00:00,5633601
4,59 ST,NR,07/25/2015,16:00:00,5634281
5,59 ST,NR,07/25/2015,20:00:00,5634776
6,59 ST,NR,07/26/2015,00:00:00,5635023
7,59 ST,NR,07/26/2015,04:00:00,5635055
8,59 ST,NR,07/26/2015,08:00:00,5635220
9,59 ST,NR,07/26/2015,12:00:00,5635895
10,59 ST,NR,07/26/2015,16:00:00,5636371
11,59 ST,NR,07/26/2015,20:00:00,5636716
12,59 ST,NR,07/27/2015,00:00:00,5636875
13,59 ST,NR,07/27/2015,04:00:00,5636916
14,59 ST,NR,07/27/2015,08:00:00,5637459
15,59 ST,NR,07/27/2015,12:00:00,5638187
16,59 ST,NR,07/27/2015,16:00:00,5638570
17,59 ST,NR,07/27/2015,17:27:55,5638759
18,59 ST,NR,07/27/2015,20:00:00,5638995
19,59 ST,NR,07/28/2015,00:00:00,5639150
20,59 ST,NR,07/28/2015,04:00:00,5639178
21,59 ST,NR,07/28/2015,07:55:38,5639706
22,59 ST,NR,07/28/2015,08:00:00,5639734
23,59 ST,NR,07/28/2015,12:00:00,5640514
24,59 ST,NR,07/28/2015,16:00:00,5640911
25,59 ST,NR,07/28/2015,18:05:58,5641231
26,59 ST,NR,07/28/2015,20:00:00,5641404
27,59 ST,NR,07/29/2015,00:00:00,5641550
28,59 ST,NR,07/29/2015,04:00:00,5641598
29,59 ST,NR,07/29/2015,08:00:00,5642128
30,59 ST,NR,07/29/2015,12:00:00,5642866
31,59 ST,NR,07/29/2015,16:00:00,5643131
32,59 ST,NR,07/29/2015,20:00:00,5643601
33,59 ST,NR,07/30/2015,00:00:00,5643794
34,59 ST,NR,07/30/2015,04:00:00,5643827
35,59 ST,NR,07/30/2015,08:00:00,5644400
36,59 ST,NR,07/30/2015,12:00:00,5645164
37,59 ST,NR,07/30/2015,16:00:00,5645556
38,59 ST,NR,07/30/2015,20:00:00,5645958
39,59 ST,NR,07/31/2015,00:00:00,5646110
40,59 ST,NR,07/31/2015,04:00:00,5646151
41,59 ST,NR,07/31/2015,08:00:00,5646652
42,59 ST,NR,07/31/2015,12:00:00,5647343
43,59 ST,NR,07/31/2015,16:00:00,5647742
44,59 ST,NR,07/31/2015,20:00:00,5648204
45,59 ST,NR,07/25/2015,00:00:00,5938557
46,59 ST,NR,07/25/2015,04:00:00,5938582
47,59 ST,NR,07/25/2015,08:00:00,5938812
48,59 ST,NR,07/25/2015,12:00:00,5939311
49,59 ST,NR,07/25/2015,16:00:00,5939806
50,59 ST,NR,07/25/2015,20:00:00,5940188
51,59 ST,NR,07/26/2015,00:00:00,5940338
52,59 ST,NR,07/26/2015,04:00:00,5940367
53,59 ST,NR,07/26/2015,08:00:00,5940505
54,59 ST,NR,07/26/2015,12:00:00,5940898
55,59 ST,NR,07/26/2015,16:00:00,5941345
56,59 ST,NR,07/26/2015,20:00:00,5941595
57,59 ST,NR,07/27/2015,00:00:00,5941684
58,59 ST,NR,07/27/2015,04:00:00,5941707
59,59 ST,NR,07/27/2015,08:00:00,5941984
60,59 ST,NR,07/27/2015,12:00:00,5942438
61,59 ST,NR,07/27/2015,16:00:00,5942656
