,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NR,05/23/2015,00:00:00,5496979
1,59 ST,NR,05/23/2015,04:00:00,5497013
2,59 ST,NR,05/23/2015,08:00:00,5497256
3,59 ST,NR,05/23/2015,12:00:00,5497760
4,59 ST,NR,05/23/2015,16:00:00,5498211
5,59 ST,NR,05/23/2015,20:00:00,5498604
6,59 ST,NR,05/24/2015,00:00:00,5498760
7,59 ST,NR,05/24/2015,04:00:00,5498786
8,59 ST,NR,05/24/2015,08:00:00,5498943
9,59 ST,NR,05/24/2015,12:00:00,5499358
10,59 ST,NR,05/24/2015,16:00:00,5499748
11,59 ST,NR,05/24/2015,20:00:00,5500048
12,59 ST,NR,05/25/2015,00:00:00,5500182
13,59 ST,NR,05/25/2015,04:00:00,5500200
14,59 ST,NR,05/25/2015,08:00:00,5500408
15,59 ST,NR,05/25/2015,12:00:00,5500852
16,59 ST,NR,05/25/2015,16:00:00,5501245
17,59 ST,NR,05/25/2015,20:00:00,5501546
18,59 ST,NR,05/26/2015,00:00:00,5501655
19,59 ST,NR,05/26/2015,04:00:00,5501681
20,59 ST,NR,05/26/2015,08:00:00,5502341
21,59 ST,NR,05/26/2015,12:00:00,5503089
22,59 ST,NR,05/26/2015,16:00:00,5503454
23,59 ST,NR,05/26/2015,20:00:00,5503956
24,59 ST,NR,05/27/2015,00:00:00,5504128
25,59 ST,NR,05/27/2015,04:00:00,5504154
26,59 ST,NR,05/27/2015,08:00:00,5504839
27,59 ST,NR,05/27/2015,12:00:00,5505657
28,59 ST,NR,05/27/2015,16:00:00,5506067
29,59 ST,NR,05/27/2015,20:00:00,5506527
30,59 ST,NR,05/28/2015,00:00:00,5506673
31,59 ST,NR,05/28/2015,04:00:00,5506692
32,59 ST,NR,05/28/2015,08:00:00,5507383
33,59 ST,NR,05/28/2015,12:00:00,5508172
34,59 ST,NR,05/28/2015,16:00:00,5508583
35,59 ST,NR,05/28/2015,20:00:00,5509046
36,59 ST,NR,05/29/2015,00:00:00,5509222
37,59 ST,NR,05/29/2015,04:00:00,5509250
38,59 ST,NR,05/29/2015,08:00:00,5509925
39,59 ST,NR,05/29/2015,09:45:34,5510387
40,59 ST,NR,05/29/2015,12:00:00,5510686
41,59 ST,NR,05/29/2015,16:00:00,5511120
42,59 ST,NR,05/29/2015,20:00:00,5511613
43,59 ST,NR,05/23/2015,00:00:00,5847853
44,59 ST,NR,05/23/2015,04:00:00,5847874
45,59 ST,NR,05/23/2015,08:00:00,5847972
46,59 ST,NR,05/23/2015,12:00:00,5848252
47,59 ST,NR,05/23/2015,16:00:00,5848547
48,59 ST,NR,05/23/2015,20:00:00,5848822
49,59 ST,NR,05/24/2015,00:00:00,5848932
50,59 ST,NR,05/24/2015,04:00:00,5848946
51,59 ST,NR,05/24/2015,08:00:00,5848994
52,59 ST,NR,05/24/2015,12:00:00,5849217
53,59 ST,NR,05/24/2015,16:00:00,5849486
54,59 ST,NR,05/24/2015,20:00:00,5849665
55,59 ST,NR,05/25/2015,00:00:00,5849744
56,59 ST,NR,05/25/2015,04:00:00,5849763
57,59 ST,NR,05/25/2015,08:00:00,5849850
58,59 ST,NR,05/25/2015,12:00:00,5850067
59,59 ST,NR,05/25/2015,16:00:00,5850364
60,59 ST,NR,05/25/2015,20:00:00,5850554
61,59 ST,NR,05/26/2015,00:00:00,5850624
62,59 ST,NR,05/26/2015,04:00:00,5850639
63,59 ST,NR,05/26/2015,08:00:00,5850997
64,59 ST,NR,05/26/2015,12:00:00,5851481
65,59 ST,NR,05/26/2015,16:00:00,5851772
66,59 ST,NR,05/26/2015,20:00:00,5852235
67,59 ST,NR,05/27/2015,00:00:00,5852336
68,59 ST,NR,05/27/2015,04:00:00,5852356
69,59 ST,NR,05/27/2015,08:00:00,5852730
70,59 ST,NR,05/27/2015,12:00:00,5853171
71,59 ST,NR,05/27/2015,16:00:00,5853455
72,59 ST,NR,05/27/2015,20:00:00,5853928
73,59 ST,NR,05/28/2015,00:00:00,5854038
74,59 ST,NR,05/28/2015,04:00:00,5854053
75,59 ST,NR,05/28/2015,08:00:00,5854403
76,59 ST,NR,05/28/2015,12:00:00,5854852
77,59 ST,NR,05/28/2015,16:00:00,5855127
78,59 ST,NR,05/28/2015,20:00:00,5855609
79,59 ST,NR,05/29/2015,00:00:00,5855745
80,59 ST,NR,05/29/2015,04:00:00,5855760
81,59 ST,NR,05/29/2015,08:00:00,5856142
82,59 ST,NR,05/29/2015,09:45:34,5856414
83,59 ST,NR,05/29/2015,12:00:00,5856575
84,59 ST,NR,05/29/2015,16:00:00,5856857
85,59 ST,NR,05/29/2015,20:00:00,5857320
86,59 ST,NR,05/23/2015,00:00:00,9392078
87,59 ST,NR,05/23/2015,04:00:00,9392109
88,59 ST,NR,05/23/2015,08:00:00,9392275
89,59 ST,NR,05/23/2015,12:00:00,9392588
90,59 ST,NR,05/23/2015,16:00:00,9392944
91,59 ST,NR,05/23/2015,20:00:00,9393249
92,59 ST,NR,05/24/2015,00:00:00,9393348
93,59 ST,NR,05/24/2015,04:00:00,9393369
94,59 ST,NR,05/24/2015,08:00:00,9393465
95,59 ST,NR,05/24/2015,12:00:00,9393709
96,59 ST,NR,05/24/2015,16:00:00,9394057
97,59 ST,NR,05/24/2015,20:00:00,9394271
98,59 ST,NR,05/25/2015,00:00:00,9394371
99,59 ST,NR,05/25/2015,04:00:00,9394403
100,59 ST,NR,05/25/2015,08:00:00,9394520
101,59 ST,NR,05/25/2015,12:00:00,9394769
102,59 ST,NR,05/25/2015,16:00:00,9395105
103,59 ST,NR,05/25/2015,20:00:00,9395358
104,59 ST,NR,05/26/2015,00:00:00,9395434
105,59 ST,NR,05/26/2015,04:00:00,9395459
106,59 ST,NR,05/26/2015,08:00:00,9395890
107,59 ST,NR,05/26/2015,12:00:00,9396347
108,59 ST,NR,05/26/2015,16:00:00,9396716
109,59 ST,NR,05/26/2015,20:00:00,9397316
110,59 ST,NR,05/27/2015,00:00:00,9397466
111,59 ST,NR,05/27/2015,04:00:00,9397500
112,59 ST,NR,05/27/2015,08:00:00,9397896
113,59 ST,NR,05/27/2015,12:00:00,9398318
114,59 ST,NR,05/27/2015,16:00:00,9398677
115,59 ST,NR,05/27/2015,20:00:00,9399293
116,59 ST,NR,05/28/2015,00:00:00,9399434
117,59 ST,NR,05/28/2015,04:00:00,9399458
118,59 ST,NR,05/28/2015,08:00:00,9399850
119,59 ST,NR,05/28/2015,12:00:00,9400263
120,59 ST,NR,05/28/2015,16:00:00,9400583
121,59 ST,NR,05/28/2015,20:00:00,9401183
122,59 ST,NR,05/29/2015,00:00:00,9401308
123,59 ST,NR,05/29/2015,04:00:00,9401344
124,59 ST,NR,05/29/2015,08:00:00,9401724
125,59 ST,NR,05/29/2015,09:45:34,9401986
126,59 ST,NR,05/29/2015,12:00:00,9402142
127,59 ST,NR,05/29/2015,16:00:00,9402511
128,59 ST,NR,05/29/2015,20:00:00,9403067
129,59 ST,NR,05/23/2015,00:00:00,10778469
130,59 ST,NR,05/23/2015,04:00:00,10778513
131,59 ST,NR,05/23/2015,08:00:00,10778686
132,59 ST,NR,05/23/2015,12:00:00,10779044
133,59 ST,NR,05/23/2015,16:00:00,10779443
134,59 ST,NR,05/23/2015,20:00:00,10779816
135,59 ST,NR,05/24/2015,00:00:00,10779960
136,59 ST,NR,05/24/2015,04:00:00,10779995
137,59 ST,NR,05/24/2015,08:00:00,10780083
138,59 ST,NR,05/24/2015,12:00:00,10780348
139,59 ST,NR,05/24/2015,16:00:00,10780686
140,59 ST,NR,05/24/2015,20:00:00,10780953
141,59 ST,NR,05/25/2015,00:00:00,10781076
142,59 ST,NR,05/25/2015,04:00:00,10781106
143,59 ST,NR,05/25/2015,08:00:00,10781250
144,59 ST,NR,05/25/2015,12:00:00,10781575
145,59 ST,NR,05/25/2015,16:00:00,10781953
146,59 ST,NR,05/25/2015,20:00:00,10782274
147,59 ST,NR,05/26/2015,00:00:00,10782392
148,59 ST,NR,05/26/2015,04:00:00,10782417
149,59 ST,NR,05/26/2015,08:00:00,10782901
150,59 ST,NR,05/26/2015,12:00:00,10783499
151,59 ST,NR,05/26/2015,16:00:00,10783917
152,59 ST,NR,05/26/2015,20:00:00,10784688
153,59 ST,NR,05/27/2015,00:00:00,10784865
154,59 ST,NR,05/27/2015,04:00:00,10784894
155,59 ST,NR,05/27/2015,08:00:00,10785386
156,59 ST,NR,05/27/2015,12:00:00,10786001
157,59 ST,NR,05/27/2015,16:00:00,10786466
158,59 ST,NR,05/27/2015,20:00:00,10787260
159,59 ST,NR,05/28/2015,00:00:00,10787425
160,59 ST,NR,05/28/2015,04:00:00,10787454
161,59 ST,NR,05/28/2015,08:00:00,10787932
162,59 ST,NR,05/28/2015,12:00:00,10788481
163,59 ST,NR,05/28/2015,16:00:00,10788894
164,59 ST,NR,05/28/2015,20:00:00,10789666
165,59 ST,NR,05/29/2015,00:00:00,10789864
166,59 ST,NR,05/29/2015,04:00:00,10789917
167,59 ST,NR,05/29/2015,08:00:00,10790371
