,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NR,07/04/2015,00:00:00,5587447
1,59 ST,NR,07/04/2015,04:00:00,5587483
2,59 ST,NR,07/04/2015,08:00:00,5587642
3,59 ST,NR,07/04/2015,12:00:00,5588054
4,59 ST,NR,07/04/2015,16:00:00,5588410
5,59 ST,NR,07/04/2015,20:00:00,5588699
6,59 ST,NR,07/05/2015,00:00:00,5588855
7,59 ST,NR,07/05/2015,04:00:00,5588887
8,59 ST,NR,07/05/2015,08:00:00,5589016
9,59 ST,NR,07/05/2015,12:00:00,5589381
10,59 ST,NR,07/05/2015,16:00:00,5589825
11,59 ST,NR,07/05/2015,20:00:00,5590105
12,59 ST,NR,07/06/2015,00:00:00,5590210
13,59 ST,NR,07/06/2015,04:00:00,5590233
14,59 ST,NR,07/06/2015,08:00:00,5590727
15,59 ST,NR,07/06/2015,12:00:00,5591362
16,59 ST,NR,07/06/2015,16:00:00,5591742
17,59 ST,NR,07/06/2015,20:00:00,5592198
18,59 ST,NR,07/07/2015,00:00:00,5592340
19,59 ST,NR,07/07/2015,04:00:00,5592367
20,59 ST,NR,07/07/2015,08:00:00,5592942
21,59 ST,NR,07/07/2015,12:00:00,5593700
22,59 ST,NR,07/07/2015,16:00:00,5594096
23,59 ST,NR,07/07/2015,20:00:00,5594565
24,59 ST,NR,07/08/2015,00:00:00,5594709
25,59 ST,NR,07/08/2015,04:00:00,5594733
26,59 ST,NR,07/08/2015,08:00:00,5595247
27,59 ST,NR,07/08/2015,12:00:00,5596013
28,59 ST,NR,07/08/2015,16:00:00,5596423
29,59 ST,NR,07/08/2015,20:00:00,5596905
30,59 ST,NR,07/09/2015,00:00:00,5597047
31,59 ST,NR,07/09/2015,04:00:00,5597080
32,59 ST,NR,07/09/2015,08:00:00,5597612
33,59 ST,NR,07/09/2015,12:00:00,5598328
34,59 ST,NR,07/09/2015,16:00:00,5598736
35,59 ST,NR,07/09/2015,20:00:00,5599199
36,59 ST,NR,07/10/2015,00:00:00,5599342
37,59 ST,NR,07/10/2015,04:00:00,5599364
38,59 ST,NR,07/10/2015,08:00:00,5599895
39,59 ST,NR,07/10/2015,12:00:00,5600633
40,59 ST,NR,07/10/2015,16:00:00,5601031
41,59 ST,NR,07/10/2015,20:00:00,5601583
42,59 ST,NR,07/04/2015,00:00:00,5908665
43,59 ST,NR,07/04/2015,04:00:00,5908684
44,59 ST,NR,07/04/2015,08:00:00,5908753
45,59 ST,NR,07/04/2015,12:00:00,5908949
46,59 ST,NR,07/04/2015,16:00:00,5909197
47,59 ST,NR,07/04/2015,20:00:00,5909388
48,59 ST,NR,07/05/2015,00:00:00,5909488
49,59 ST,NR,07/05/2015,04:00:00,5909508
50,59 ST,NR,07/05/2015,08:00:00,5909565
51,59 ST,NR,07/05/2015,12:00:00,5909768
52,59 ST,NR,07/05/2015,16:00:00,5910055
53,59 ST,NR,07/05/2015,20:00:00,5910245
54,59 ST,NR,07/06/2015,00:00:00,5910301
55,59 ST,NR,07/06/2015,04:00:00,5910317
56,59 ST,NR,07/06/2015,08:00:00,5910592
57,59 ST,NR,07/06/2015,12:00:00,5911010
58,59 ST,NR,07/06/2015,16:00:00,5911256
59,59 ST,NR,07/06/2015,20:00:00,5911684
60,59 ST,NR,07/07/2015,00:00:00,5911780
61,59 ST,NR,07/07/2015,04:00:00,5911810
62,59 ST,NR,07/07/2015,08:00:00,5912093
63,59 ST,NR,07/07/2015,12:00:00,5912496
64,59 ST,NR,07/07/2015,16:00:00,5912759
65,59 ST,NR,07/07/2015,20:00:00,5913224
66,59 ST,NR,07/08/2015,00:00:00,5913312
67,59 ST,NR,07/08/2015,04:00:00,5913333
68,59 ST,NR,07/08/2015,08:00:00,5913653
69,59 ST,NR,07/08/2015,12:00:00,5914086
70,59 ST,NR,07/08/2015,16:00:00,5914337
71,59 ST,NR,07/08/2015,20:00:00,5914783
72,59 ST,NR,07/09/2015,00:00:00,5914883
73,59 ST,NR,07/09/2015,04:00:00,5914897
74,59 ST,NR,07/09/2015,08:00:00,5915191
75,59 ST,NR,07/09/2015,12:00:00,5915591
76,59 ST,NR,07/09/2015,16:00:00,5915865
77,59 ST,NR,07/09/2015,20:00:00,5916300
78,59 ST,NR,07/10/2015,00:00:00,5916420
79,59 ST,NR,07/10/2015,04:00:00,5916441
80,59 ST,NR,07/10/2015,08:00:00,5916706
81,59 ST,NR,07/10/2015,12:00:00,5917110
82,59 ST,NR,07/10/2015,16:00:00,5917435
83,59 ST,NR,07/10/2015,20:00:00,5917918
84,59 ST,NR,07/04/2015,00:00:00,9463569
85,59 ST,NR,07/04/2015,04:00:00,9463599
86,59 ST,NR,07/04/2015,08:00:00,9463680
87,59 ST,NR,07/04/2015,12:00:00,9463943
88,59 ST,NR,07/04/2015,16:00:00,9464201
89,59 ST,NR,07/04/2015,20:00:00,9464419
90,59 ST,NR,07/05/2015,00:00:00,9464522
91,59 ST,NR,07/05/2015,04:00:00,9464554
92,59 ST,NR,07/05/2015,08:00:00,9464641
93,59 ST,NR,07/05/2015,12:00:00,9464863
94,59 ST,NR,07/05/2015,16:00:00,9465149
95,59 ST,NR,07/05/2015,20:00:00,9465322
96,59 ST,NR,07/06/2015,00:00:00,9465420
97,59 ST,NR,07/06/2015,04:00:00,9465444
98,59 ST,NR,07/06/2015,08:00:00,9465777
99,59 ST,NR,07/06/2015,12:00:00,9466211
100,59 ST,NR,07/06/2015,16:00:00,9466547
101,59 ST,NR,07/06/2015,20:00:00,9467159
102,59 ST,NR,07/07/2015,00:00:00,9467302
103,59 ST,NR,07/07/2015,04:00:00,9467328
104,59 ST,NR,07/07/2015,08:00:00,9467651
105,59 ST,NR,07/07/2015,12:00:00,9468070
106,59 ST,NR,07/07/2015,16:00:00,9468410
107,59 ST,NR,07/07/2015,20:00:00,9469040
108,59 ST,NR,07/08/2015,00:00:00,9469172
109,59 ST,NR,07/08/2015,04:00:00,9469192
110,59 ST,NR,07/08/2015,08:00:00,9469498
111,59 ST,NR,07/08/2015,12:00:00,9469882
112,59 ST,NR,07/08/2015,16:00:00,9470197
113,59 ST,NR,07/08/2015,20:00:00,9470778
114,59 ST,NR,07/09/2015,00:00:00,9470933
115,59 ST,NR,07/09/2015,04:00:00,9470953
116,59 ST,NR,07/09/2015,08:00:00,9471249
117,59 ST,NR,07/09/2015,12:00:00,9471627
118,59 ST,NR,07/09/2015,16:00:00,9471979
119,59 ST,NR,07/09/2015,20:00:00,9472591
120,59 ST,NR,07/10/2015,00:00:00,9472744
121,59 ST,NR,07/10/2015,04:00:00,9472764
122,59 ST,NR,07/10/2015,08:00:00,9473054
123,59 ST,NR,07/10/2015,12:00:00,9473469
124,59 ST,NR,07/10/2015,16:00:00,9473847
125,59 ST,NR,07/10/2015,20:00:00,9474413
126,59 ST,NR,07/04/2015,00:00:00,10864665
127,59 ST,NR,07/04/2015,04:00:00,10864707
128,59 ST,NR,07/04/2015,08:00:00,10864819
129,59 ST,NR,07/04/2015,12:00:00,10865140
130,59 ST,NR,07/04/2015,16:00:00,10865456
131,59 ST,NR,07/04/2015,20:00:00,10865734
132,59 ST,NR,07/05/2015,00:00:00,10865874
133,59 ST,NR,07/05/2015,04:00:00,10865910
134,59 ST,NR,07/05/2015,08:00:00,10866025
135,59 ST,NR,07/05/2015,12:00:00,10866288
136,59 ST,NR,07/05/2015,16:00:00,10866590
137,59 ST,NR,07/05/2015,20:00:00,10866814
138,59 ST,NR,07/06/2015,00:00:00,10866930
139,59 ST,NR,07/06/2015,04:00:00,10866965
140,59 ST,NR,07/06/2015,08:00:00,10867370
141,59 ST,NR,07/06/2015,12:00:00,10867974
142,59 ST,NR,07/06/2015,16:00:00,10868413
143,59 ST,NR,07/06/2015,20:00:00,10869157
144,59 ST,NR,07/07/2015,00:00:00,10869327
145,59 ST,NR,07/07/2015,04:00:00,10869351
146,59 ST,NR,07/07/2015,08:00:00,10869708
147,59 ST,NR,07/07/2015,12:00:00,10870214
148,59 ST,NR,07/07/2015,16:00:00,10870642
149,59 ST,NR,07/07/2015,20:00:00,10871463
150,59 ST,NR,07/08/2015,00:00:00,10871631
151,59 ST,NR,07/08/2015,04:00:00,10871662
152,59 ST,NR,07/08/2015,08:00:00,10872055
153,59 ST,NR,07/08/2015,12:00:00,10872602
154,59 ST,NR,07/08/2015,16:00:00,10873031
155,59 ST,NR,07/08/2015,20:00:00,10873797
156,59 ST,NR,07/09/2015,00:00:00,10873982
157,59 ST,NR,07/09/2015,04:00:00,10874019
158,59 ST,NR,07/09/2015,08:00:00,10874371
159,59 ST,NR,07/09/2015,12:00:00,10874868
160,59 ST,NR,07/09/2015,16:00:00,10875274
161,59 ST,NR,07/09/2015,20:00:00,10876038
162,59 ST,NR,07/10/2015,00:00:00,10876214
163,59 ST,NR,07/10/2015,04:00:00,10876250
164,59 ST,NR,07/10/2015,08:00:00,10876604
165,59 ST,NR,07/10/2015,12:00:00,10877087
166,59 ST,NR,07/10/2015,16:00:00,10877551
167,59 ST,NR,07/10/2015,20:00:00,10878258
168,59 ST,NR,07/04/2015,00:00:00,424
169,59 ST,NR,07/04/2015,04:00:00,424
170,59 ST,NR,07/04/2015,08:00:00,424
171,59 ST,NR,07/04/2015,12:00:00,424
172,59 ST,NR,07/04/2015,16:00:00,424
173,59 ST,NR,07/04/2015,20:00:00,425
174,59 ST,NR,07/05/2015,00:00:00,425
175,59 ST,NR,07/05/2015,04:00:00,425
176,59 ST,NR,07/05/2015,08:00:00,425
177,59 ST,NR,07/05/2015,12:00:00,425
178,59 ST,NR,07/05/2015,16:00:00,425
179,59 ST,NR,07/05/2015,20:00:00,425
180,59 ST,NR,07/06/2015,00:00:00,426
181,59 ST,NR,07/06/2015,04:00:00,426
182,59 ST,NR,07/06/2015,08:00:00,427
183,59 ST,NR,07/06/2015,12:00:00,427
184,59 ST,NR,07/06/2015,16:00:00,427
185,59 ST,NR,07/06/2015,20:00:00,427
186,59 ST,NR,07/07/2015,00:00:00,427
187,59 ST,NR,07/07/2015,04:00:00,427
188,59 ST,NR,07/07/2015,08:00:00,427
189,59 ST,NR,07/07/2015,12:00:00,427
190,59 ST,NR,07/07/2015,16:00:00,427
191,59 ST,NR,07/07/2015,20:00:00,427
192,59 ST,NR,07/08/2015,00:00:00,427
193,59 ST,NR,07/08/2015,04:00:00,427
194,59 ST,NR,07/08/2015,08:00:00,427
195,59 ST,NR,07/08/2015,12:00:00,427
196,59 ST,NR,07/08/2015,16:00:00,428
197,59 ST,NR,07/08/2015,20:00:00,428
198,59 ST,NR,07/09/2015,00:00:00,429
199,59 ST,NR,07/09/2015,04:00:00,429
200,59 ST,NR,07/09/2015,08:00:00,429
201,59 ST,NR,07/09/2015,12:00:00,429
202,59 ST,NR,07/09/2015,16:00:00,430
203,59 ST,NR,07/09/2015,20:00:00,430
204,59 ST,NR,07/10/2015,00:00:00,430
205,59 ST,NR,07/10/2015,04:00:00,432
206,59 ST,NR,07/10/2015,08:00:00,432
207,59 ST,NR,07/10/2015,12:00:00,432
208,59 ST,NR,07/10/2015,16:00:00,432
209,59 ST,NR,07/10/2015,20:00:00,434
210,59 ST,NR,07/04/2015,00:00:00,0
211,59 ST,NR,07/04/2015,04:00:00,0
212,59 ST,NR,07/04/2015,08:00:00,0
213,59 ST,NR,07/04/2015,12:00:00,0
214,59 ST,NR,07/04/2015,16:00:00,0
215,59 ST,NR,07/04/2015,20:00:00,0
216,59 ST,NR,07/05/2015,00:00:00,0
217,59 ST,NR,07/05/2015,04:00:00,0
218,59 ST,NR,07/05/2015,08:00:00,0
219,59 ST,NR,07/05/2015,12:00:00,0
220,59 ST,NR,07/05/2015,16:00:00,0
221,59 ST,NR,07/05/2015,20:00:00,0
222,59 ST,NR,07/06/2015,00:00:00,0
223,59 ST,NR,07/06/2015,04:00:00,0
224,59 ST,NR,07/06/2015,08:00:00,0
225,59 ST,NR,07/06/2015,12:00:00,0
226,59 ST,NR,07/06/2015,16:00:00,0
227,59 ST,NR,07/06/2015,20:00:00,0
228,59 ST,NR,07/07/2015,00:00:00,0
229,59 ST,NR,07/07/2015,04:00:00,0
230,59 ST,NR,07/07/2015,08:00:00,0
231,59 ST,NR,07/07/2015,12:00:00,0
232,59 ST,NR,07/07/2015,16:00:00,0
233,59 ST,NR,07/07/2015,20:00:00,0
234,59 ST,NR,07/08/2015,00:00:00,0
235,59 ST,NR,07/08/2015,04:00:00,0
236,59 ST,NR,07/08/2015,08:00:00,0
237,59 ST,NR,07/08/2015,12:00:00,0
238,59 ST,NR,07/08/2015,16:00:00,0
239,59 ST,NR,07/08/2015,20:00:00,0
240,59 ST,NR,07/09/2015,00:00:00,0
241,59 ST,NR,07/09/2015,04:00:00,0
242,59 ST,NR,07/09/2015,08:00:00,0
243,59 ST,NR,07/09/2015,12:00:00,0
244,59 ST,NR,07/09/2015,16:00:00,0
245,59 ST,NR,07/09/2015,20:00:00,0
246,59 ST,NR,07/10/2015,00:00:00,0
247,59 ST,NR,07/10/2015,04:00:00,0
248,59 ST,NR,07/10/2015,08:00:00,0
249,59 ST,NR,07/10/2015,12:00:00,0
250,59 ST,NR,07/10/2015,16:00:00,0
251,59 ST,NR,07/10/2015,20:00:00,0
252,59 ST,NR,07/04/2015,00:00:00,3867688
253,59 ST,NR,07/04/2015,04:00:00,3867704
254,59 ST,NR,07/04/2015,08:00:00,3867775
255,59 ST,NR,07/04/2015,12:00:00,3867981
256,59 ST,NR,07/04/2015,16:00:00,3868181
257,59 ST,NR,07/04/2015,20:00:00,3868364
258,59 ST,NR,07/05/2015,00:00:00,3868448
259,59 ST,NR,07/05/2015,04:00:00,3868464
260,59 ST,NR,07/05/2015,08:00:00,3868528
261,59 ST,NR,07/05/2015,12:00:00,3868745
262,59 ST,NR,07/05/2015,16:00:00,3868945
263,59 ST,NR,07/05/2015,20:00:00,3869060
264,59 ST,NR,07/06/2015,00:00:00,3869103
265,59 ST,NR,07/06/2015,04:00:00,3869112
266,59 ST,NR,07/06/2015,08:00:00,3869523
267,59 ST,NR,07/06/2015,12:00:00,3870071
268,59 ST,NR,07/06/2015,16:00:00,3870294
269,59 ST,NR,07/06/2015,20:00:00,3870553
270,59 ST,NR,07/07/2015,00:00:00,3870605
271,59 ST,NR,07/07/2015,04:00:00,3870608
272,59 ST,NR,07/07/2015,08:00:00,3871025
273,59 ST,NR,07/07/2015,12:00:00,3871617
274,59 ST,NR,07/07/2015,16:00:00,3871816
275,59 ST,NR,07/07/2015,20:00:00,3872096
276,59 ST,NR,07/08/2015,00:00:00,3872147
277,59 ST,NR,07/08/2015,04:00:00,3872155
278,59 ST,NR,07/08/2015,08:00:00,3872570
279,59 ST,NR,07/08/2015,12:00:00,3873169
280,59 ST,NR,07/08/2015,16:00:00,3873380
281,59 ST,NR,07/08/2015,20:00:00,3873641
282,59 ST,NR,07/09/2015,00:00:00,3873692
283,59 ST,NR,07/09/2015,04:00:00,3873702
284,59 ST,NR,07/09/2015,08:00:00,3874135
285,59 ST,NR,07/09/2015,12:00:00,3874734
286,59 ST,NR,07/09/2015,16:00:00,3874941
287,59 ST,NR,07/09/2015,20:00:00,3875302
288,59 ST,NR,07/10/2015,00:00:00,3875353
289,59 ST,NR,07/10/2015,04:00:00,3875366
290,59 ST,NR,07/10/2015,08:00:00,3875768
291,59 ST,NR,07/10/2015,12:00:00,3876644
292,59 ST,NR,07/10/2015,16:00:00,3877141
293,59 ST,NR,07/10/2015,20:00:00,3877430
294,59 ST,NR,07/04/2015,00:00:00,9074718
295,59 ST,NR,07/04/2015,04:00:00,9074759
296,59 ST,NR,07/04/2015,08:00:00,9074962
297,59 ST,NR,07/04/2015,12:00:00,9075421
298,59 ST,NR,07/04/2015,16:00:00,9075850
299,59 ST,NR,07/04/2015,20:00:00,9076200
300,59 ST,NR,07/05/2015,00:00:00,9076411
301,59 ST,NR,07/05/2015,04:00:00,9076460
302,59 ST,NR,07/05/2015,08:00:00,9076623
