,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NR,07/18/2015,00:00:00,5616413
1,59 ST,NR,07/18/2015,04:00:00,5616449
2,59 ST,NR,07/18/2015,08:00:00,5616799
3,59 ST,NR,07/18/2015,12:00:00,5617495
4,59 ST,NR,07/18/2015,16:00:00,5618117
5,59 ST,NR,07/18/2015,20:00:00,5618561
6,59 ST,NR,07/19/2015,00:00:00,5618764
7,59 ST,NR,07/19/2015,04:00:00,5618793
8,59 ST,NR,07/19/2015,08:00:00,5619012
9,59 ST,NR,07/19/2015,12:00:00,5619734
10,59 ST,NR,07/19/2015,16:00:00,5620249
11,59 ST,NR,07/19/2015,20:00:00,5620607
12,59 ST,NR,07/20/2015,00:00:00,5620754
13,59 ST,NR,07/20/2015,04:00:00,5620779
14,59 ST,NR,07/20/2015,08:00:00,5621296
15,59 ST,NR,07/20/2015,12:00:00,5622068
16,59 ST,NR,07/20/2015,16:00:00,5622415
17,59 ST,NR,07/20/2015,20:00:00,5622851
18,59 ST,NR,07/21/2015,00:00:00,5622988
19,59 ST,NR,07/21/2015,04:00:00,5623010
20,59 ST,NR,07/21/2015,08:00:00,5623551
21,59 ST,NR,07/21/2015,12:00:00,5624317
22,59 ST,NR,07/21/2015,16:00:00,5624708
23,59 ST,NR,07/21/2015,20:00:00,5625184
24,59 ST,NR,07/22/2015,00:00:00,5625329
25,59 ST,NR,07/22/2015,04:00:00,5625352
26,59 ST,NR,07/22/2015,08:00:00,5625930
27,59 ST,NR,07/22/2015,12:00:00,5626667
28,59 ST,NR,07/22/2015,16:00:00,5627077
29,59 ST,NR,07/22/2015,20:00:00,5627514
30,59 ST,NR,07/23/2015,00:00:00,5627657
31,59 ST,NR,07/23/2015,04:00:00,5627686
32,59 ST,NR,07/23/2015,08:00:00,5628251
33,59 ST,NR,07/23/2015,12:00:00,5628968
34,59 ST,NR,07/23/2015,16:00:00,5629341
35,59 ST,NR,07/23/2015,20:00:00,5629807
36,59 ST,NR,07/24/2015,00:00:00,5629998
37,59 ST,NR,07/24/2015,04:00:00,5630027
38,59 ST,NR,07/24/2015,08:00:00,5630551
39,59 ST,NR,07/24/2015,12:00:00,5631249
40,59 ST,NR,07/24/2015,16:00:00,5631682
41,59 ST,NR,07/24/2015,20:00:00,5632178
42,59 ST,NR,07/18/2015,00:00:00,5927773
43,59 ST,NR,07/18/2015,04:00:00,5927798
44,59 ST,NR,07/18/2015,08:00:00,5927978
45,59 ST,NR,07/18/2015,12:00:00,5928477
46,59 ST,NR,07/18/2015,16:00:00,5928984
47,59 ST,NR,07/18/2015,20:00:00,5929342
48,59 ST,NR,07/19/2015,00:00:00,5929482
49,59 ST,NR,07/19/2015,04:00:00,5929507
50,59 ST,NR,07/19/2015,08:00:00,5929628
51,59 ST,NR,07/19/2015,12:00:00,5930052
52,59 ST,NR,07/19/2015,16:00:00,5930476
53,59 ST,NR,07/19/2015,20:00:00,5930760
54,59 ST,NR,07/20/2015,00:00:00,5930884
55,59 ST,NR,07/20/2015,04:00:00,5930911
56,59 ST,NR,07/20/2015,08:00:00,5931222
57,59 ST,NR,07/20/2015,12:00:00,5931613
58,59 ST,NR,07/20/2015,16:00:00,5931870
59,59 ST,NR,07/20/2015,20:00:00,5932285
60,59 ST,NR,07/21/2015,00:00:00,5932393
61,59 ST,NR,07/21/2015,04:00:00,5932408
62,59 ST,NR,07/21/2015,08:00:00,5932697
63,59 ST,NR,07/21/2015,12:00:00,5933118
64,59 ST,NR,07/21/2015,16:00:00,5933369
65,59 ST,NR,07/21/2015,20:00:00,5933798
66,59 ST,NR,07/22/2015,00:00:00,5933893
67,59 ST,NR,07/22/2015,04:00:00,5933906
68,59 ST,NR,07/22/2015,08:00:00,5934169
69,59 ST,NR,07/22/2015,12:00:00,5934614
70,59 ST,NR,07/22/2015,16:00:00,5934893
71,59 ST,NR,07/22/2015,20:00:00,5935354
72,59 ST,NR,07/23/2015,00:00:00,5935444
73,59 ST,NR,07/23/2015,04:00:00,5935456
74,59 ST,NR,07/23/2015,08:00:00,5935743
75,59 ST,NR,07/23/2015,12:00:00,5936194
76,59 ST,NR,07/23/2015,16:00:00,5936491
77,59 ST,NR,07/23/2015,20:00:00,5936882
78,59 ST,NR,07/24/2015,00:00:00,5936977
79,59 ST,NR,07/24/2015,04:00:00,5936994
80,59 ST,NR,07/24/2015,08:00:00,5937279
81,59 ST,NR,07/24/2015,12:00:00,5937677
82,59 ST,NR,07/24/2015,16:00:00,5937970
83,59 ST,NR,07/24/2015,20:00:00,5938422
84,59 ST,NR,07/18/2015,00:00:00,9486148
85,59 ST,NR,07/18/2015,04:00:00,9486180
86,59 ST,NR,07/18/2015,08:00:00,9486392
87,59 ST,NR,07/18/2015,12:00:00,9486882
88,59 ST,NR,07/18/2015,16:00:00,9487337
89,59 ST,NR,07/18/2015,20:00:00,9487724
90,59 ST,NR,07/19/2015,00:00:00,9487882
91,59 ST,NR,07/19/2015,04:00:00,9487933
92,59 ST,NR,07/19/2015,08:00:00,9488049
93,59 ST,NR,07/19/2015,12:00:00,9488460
94,59 ST,NR,07/19/2015,16:00:00,9488856
95,59 ST,NR,07/19/2015,20:00:00,9489150
96,59 ST,NR,07/20/2015,00:00:00,9489276
97,59 ST,NR,07/20/2015,04:00:00,9489326
98,59 ST,NR,07/20/2015,08:00:00,9489671
99,59 ST,NR,07/20/2015,12:00:00,9490059
100,59 ST,NR,07/20/2015,16:00:00,9490403
101,59 ST,NR,07/20/2015,20:00:00,9490979
102,59 ST,NR,07/21/2015,00:00:00,9491111
103,59 ST,NR,07/21/2015,04:00:00,9491132
104,59 ST,NR,07/21/2015,08:00:00,9491448
105,59 ST,NR,07/21/2015,12:00:00,9491871
106,59 ST,NR,07/21/2015,16:00:00,9492211
107,59 ST,NR,07/21/2015,20:00:00,9492831
108,59 ST,NR,07/22/2015,00:00:00,9492965
109,59 ST,NR,07/22/2015,04:00:00,9492988
110,59 ST,NR,07/22/2015,08:00:00,9493301
111,59 ST,NR,07/22/2015,12:00:00,9493740
112,59 ST,NR,07/22/2015,16:00:00,9494069
113,59 ST,NR,07/22/2015,20:00:00,9494710
114,59 ST,NR,07/23/2015,00:00:00,9494854
115,59 ST,NR,07/23/2015,04:00:00,9494881
116,59 ST,NR,07/23/2015,08:00:00,9495187
117,59 ST,NR,07/23/2015,12:00:00,9495630
118,59 ST,NR,07/23/2015,16:00:00,9495992
119,59 ST,NR,07/23/2015,20:00:00,9496557
120,59 ST,NR,07/24/2015,00:00:00,9496704
121,59 ST,NR,07/24/2015,04:00:00,9496721
122,59 ST,NR,07/24/2015,08:00:00,9497001
123,59 ST,NR,07/24/2015,12:00:00,9497419
124,59 ST,NR,07/24/2015,16:00:00,9497795
125,59 ST,NR,07/24/2015,20:00:00,9498391
126,59 ST,NR,07/18/2015,00:00:00,10892719
127,59 ST,NR,07/18/2015,04:00:00,10892753
128,59 ST,NR,07/18/2015,08:00:00,10892922
129,59 ST,NR,07/18/2015,12:00:00,10893271
130,59 ST,NR,07/18/2015,16:00:00,10893702
131,59 ST,NR,07/18/2015,20:00:00,10894019
132,59 ST,NR,07/19/2015,00:00:00,10894148
133,59 ST,NR,07/19/2015,04:00:00,10894180
134,59 ST,NR,07/19/2015,08:00:00,10894269
135,59 ST,NR,07/19/2015,12:00:00,10894572
136,59 ST,NR,07/19/2015,16:00:00,10894900
137,59 ST,NR,07/19/2015,20:00:00,10895124
138,59 ST,NR,07/20/2015,00:00:00,10895214
139,59 ST,NR,07/20/2015,04:00:00,10895251
140,59 ST,NR,07/20/2015,08:00:00,10895632
141,59 ST,NR,07/20/2015,12:00:00,10896130
142,59 ST,NR,07/20/2015,16:00:00,10896502
143,59 ST,NR,07/20/2015,20:00:00,10897243
144,59 ST,NR,07/21/2015,00:00:00,10897401
145,59 ST,NR,07/21/2015,04:00:00,10897430
146,59 ST,NR,07/21/2015,08:00:00,10897827
147,59 ST,NR,07/21/2015,12:00:00,10898366
148,59 ST,NR,07/21/2015,16:00:00,10898766
149,59 ST,NR,07/21/2015,20:00:00,10899529
150,59 ST,NR,07/22/2015,00:00:00,10899672
151,59 ST,NR,07/22/2015,04:00:00,10899711
152,59 ST,NR,07/22/2015,08:00:00,10900090
153,59 ST,NR,07/22/2015,12:00:00,10900624
154,59 ST,NR,07/22/2015,16:00:00,10901028
155,59 ST,NR,07/22/2015,20:00:00,10901820
156,59 ST,NR,07/23/2015,00:00:00,10902023
157,59 ST,NR,07/23/2015,04:00:00,10902062
158,59 ST,NR,07/23/2015,08:00:00,10902464
159,59 ST,NR,07/23/2015,12:00:00,10903011
