,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NR,03/07/2015,03:00:00,5324907
1,59 ST,NR,03/07/2015,07:00:00,5325022
2,59 ST,NR,03/07/2015,11:00:00,5325550
3,59 ST,NR,03/07/2015,15:00:00,5325999
4,59 ST,NR,03/07/2015,19:00:00,5326368
5,59 ST,NR,03/07/2015,23:00:00,5326554
6,59 ST,NR,03/08/2015,04:00:00,5326590
7,59 ST,NR,03/08/2015,08:00:00,5326733
8,59 ST,NR,03/08/2015,12:00:00,5327157
9,59 ST,NR,03/08/2015,16:00:00,5327562
10,59 ST,NR,03/08/2015,20:00:00,5327874
11,59 ST,NR,03/09/2015,00:00:00,5327983
12,59 ST,NR,03/09/2015,04:00:00,5328003
13,59 ST,NR,03/09/2015,08:00:00,5328619
14,59 ST,NR,03/09/2015,12:00:00,5329432
15,59 ST,NR,03/09/2015,16:00:00,5329809
16,59 ST,NR,03/09/2015,20:00:00,5330293
17,59 ST,NR,03/10/2015,00:00:00,5330454
18,59 ST,NR,03/10/2015,04:00:00,5330476
19,59 ST,NR,03/10/2015,08:00:00,5331159
20,59 ST,NR,03/10/2015,12:00:00,5331950
21,59 ST,NR,03/10/2015,16:00:00,5332375
22,59 ST,NR,03/10/2015,20:00:00,5332839
23,59 ST,NR,03/11/2015,00:00:00,5332970
24,59 ST,NR,03/11/2015,04:00:00,5332998
25,59 ST,NR,03/11/2015,08:00:00,5333676
26,59 ST,NR,03/11/2015,12:00:00,5334567
27,59 ST,NR,03/11/2015,16:00:00,5334986
28,59 ST,NR,03/11/2015,20:00:00,5335491
29,59 ST,NR,03/12/2015,00:00:00,5335666
30,59 ST,NR,03/12/2015,04:00:00,5335691
31,59 ST,NR,03/12/2015,08:00:00,5336378
32,59 ST,NR,03/12/2015,12:00:00,5337181
33,59 ST,NR,03/12/2015,16:00:00,5337594
34,59 ST,NR,03/12/2015,20:00:00,5338064
35,59 ST,NR,03/13/2015,00:00:00,5338215
36,59 ST,NR,03/13/2015,04:00:00,5338237
37,59 ST,NR,03/13/2015,08:00:00,5338908
38,59 ST,NR,03/13/2015,12:00:00,5339736
39,59 ST,NR,03/13/2015,16:00:00,5340145
40,59 ST,NR,03/13/2015,20:00:00,5340640
41,59 ST,NR,03/07/2015,03:00:00,5731940
42,59 ST,NR,03/07/2015,07:00:00,5732007
43,59 ST,NR,03/07/2015,11:00:00,5732278
44,59 ST,NR,03/07/2015,15:00:00,5732583
45,59 ST,NR,03/07/2015,19:00:00,5732862
46,59 ST,NR,03/07/2015,23:00:00,5732993
47,59 ST,NR,03/08/2015,04:00:00,5733035
48,59 ST,NR,03/08/2015,08:00:00,5733096
49,59 ST,NR,03/08/2015,12:00:00,5733271
50,59 ST,NR,03/08/2015,16:00:00,5733511
51,59 ST,NR,03/08/2015,20:00:00,5733740
52,59 ST,NR,03/09/2015,00:00:00,5733820
53,59 ST,NR,03/09/2015,04:00:00,5733839
54,59 ST,NR,03/09/2015,08:00:00,5734192
55,59 ST,NR,03/09/2015,12:00:00,5734655
56,59 ST,NR,03/09/2015,16:00:00,5734918
57,59 ST,NR,03/09/2015,20:00:00,5735366
58,59 ST,NR,03/10/2015,00:00:00,5735466
59,59 ST,NR,03/10/2015,04:00:00,5735477
60,59 ST,NR,03/10/2015,08:00:00,5735839
61,59 ST,NR,03/10/2015,12:00:00,5736364
62,59 ST,NR,03/10/2015,16:00:00,5736652
63,59 ST,NR,03/10/2015,20:00:00,5737102
64,59 ST,NR,03/11/2015,00:00:00,5737197
65,59 ST,NR,03/11/2015,04:00:00,5737210
66,59 ST,NR,03/11/2015,08:00:00,5737590
67,59 ST,NR,03/11/2015,12:00:00,5738045
68,59 ST,NR,03/11/2015,16:00:00,5738353
69,59 ST,NR,03/11/2015,20:00:00,5738798
70,59 ST,NR,03/12/2015,00:00:00,5738919
71,59 ST,NR,03/12/2015,04:00:00,5738929
72,59 ST,NR,03/12/2015,08:00:00,5739313
73,59 ST,NR,03/12/2015,12:00:00,5739836
74,59 ST,NR,03/12/2015,16:00:00,5740114
75,59 ST,NR,03/12/2015,20:00:00,5740568
76,59 ST,NR,03/13/2015,00:00:00,5740667
77,59 ST,NR,03/13/2015,04:00:00,5740681
78,59 ST,NR,03/13/2015,08:00:00,5741046
79,59 ST,NR,03/13/2015,12:00:00,5741522
80,59 ST,NR,03/13/2015,16:00:00,5741820
81,59 ST,NR,03/13/2015,20:00:00,5742255
82,59 ST,NR,03/07/2015,03:00:00,9258055
83,59 ST,NR,03/07/2015,07:00:00,9258129
84,59 ST,NR,03/07/2015,11:00:00,9258447
85,59 ST,NR,03/07/2015,15:00:00,9258760
86,59 ST,NR,03/07/2015,19:00:00,9259100
87,59 ST,NR,03/07/2015,23:00:00,9259261
88,59 ST,NR,03/08/2015,04:00:00,9259307
89,59 ST,NR,03/08/2015,08:00:00,9259380
90,59 ST,NR,03/08/2015,12:00:00,9259584
91,59 ST,NR,03/08/2015,16:00:00,9259831
92,59 ST,NR,03/08/2015,20:00:00,9260082
93,59 ST,NR,03/09/2015,00:00:00,9260163
94,59 ST,NR,03/09/2015,04:00:00,9260186
95,59 ST,NR,03/09/2015,08:00:00,9260598
96,59 ST,NR,03/09/2015,12:00:00,9261106
97,59 ST,NR,03/09/2015,16:00:00,9261422
98,59 ST,NR,03/09/2015,20:00:00,9262027
99,59 ST,NR,03/10/2015,00:00:00,9262140
100,59 ST,NR,03/10/2015,04:00:00,9262171
101,59 ST,NR,03/10/2015,08:00:00,9262574
102,59 ST,NR,03/10/2015,12:00:00,9263058
103,59 ST,NR,03/10/2015,16:00:00,9263409
104,59 ST,NR,03/10/2015,20:00:00,9264008
105,59 ST,NR,03/11/2015,00:00:00,9264113
106,59 ST,NR,03/11/2015,04:00:00,9264136
107,59 ST,NR,03/11/2015,08:00:00,9264495
108,59 ST,NR,03/11/2015,12:00:00,9264997
109,59 ST,NR,03/11/2015,16:00:00,9265318
110,59 ST,NR,03/11/2015,20:00:00,9266004
111,59 ST,NR,03/12/2015,00:00:00,9266130
112,59 ST,NR,03/12/2015,04:00:00,9266149
113,59 ST,NR,03/12/2015,08:00:00,9266534
114,59 ST,NR,03/12/2015,12:00:00,9267001
115,59 ST,NR,03/12/2015,16:00:00,9267339
116,59 ST,NR,03/12/2015,20:00:00,9267929
117,59 ST,NR,03/13/2015,00:00:00,9268057
118,59 ST,NR,03/13/2015,04:00:00,9268079
119,59 ST,NR,03/13/2015,08:00:00,9268475
120,59 ST,NR,03/13/2015,12:00:00,9268954
121,59 ST,NR,03/13/2015,16:00:00,9269305
122,59 ST,NR,03/13/2015,20:00:00,9269885
