,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NR,12/27/2014,03:00:00,5182670
1,59 ST,NR,12/27/2014,07:00:00,5182778
2,59 ST,NR,12/27/2014,11:00:00,5183216
3,59 ST,NR,12/27/2014,15:00:00,5183575
4,59 ST,NR,12/27/2014,19:00:00,5183927
5,59 ST,NR,12/27/2014,23:00:00,5184123
6,59 ST,NR,12/28/2014,03:00:00,5184164
7,59 ST,NR,12/28/2014,07:00:00,5184236
8,59 ST,NR,12/28/2014,11:00:00,5184580
9,59 ST,NR,12/28/2014,15:00:00,5184954
10,59 ST,NR,12/28/2014,19:00:00,5185236
11,59 ST,NR,12/28/2014,23:00:00,5185379
12,59 ST,NR,12/29/2014,03:00:00,5185405
13,59 ST,NR,12/29/2014,07:00:00,5185601
14,59 ST,NR,12/29/2014,07:54:03,5185783
15,59 ST,NR,12/29/2014,11:00:00,5186336
16,59 ST,NR,12/29/2014,15:00:00,5186710
17,59 ST,NR,12/29/2014,19:00:00,5187231
18,59 ST,NR,12/29/2014,23:00:00,5187441
19,59 ST,NR,12/30/2014,03:00:00,5187473
20,59 ST,NR,12/30/2014,07:00:00,5187719
21,59 ST,NR,12/30/2014,11:00:00,5188532
22,59 ST,NR,12/30/2014,15:00:00,5188911
23,59 ST,NR,12/30/2014,19:00:00,5189399
24,59 ST,NR,12/30/2014,23:00:00,5189599
25,59 ST,NR,12/31/2014,03:00:00,5189619
26,59 ST,NR,12/31/2014,07:00:00,5189845
27,59 ST,NR,12/31/2014,11:00:00,5190581
28,59 ST,NR,12/31/2014,15:00:00,5190995
29,59 ST,NR,12/31/2014,19:00:00,5191434
30,59 ST,NR,12/31/2014,23:00:00,5191696
31,59 ST,NR,01/01/2015,03:00:00,5191747
32,59 ST,NR,01/01/2015,07:00:00,5191827
33,59 ST,NR,01/01/2015,11:00:00,5192132
34,59 ST,NR,01/01/2015,15:00:00,5192416
35,59 ST,NR,01/01/2015,19:00:00,5192694
36,59 ST,NR,01/01/2015,23:00:00,5192833
37,59 ST,NR,01/02/2015,03:00:00,5192860
38,59 ST,NR,01/02/2015,07:00:00,5193057
39,59 ST,NR,01/02/2015,11:00:00,5193742
40,59 ST,NR,01/02/2015,15:00:00,5194140
41,59 ST,NR,01/02/2015,19:00:00,5194583
42,59 ST,NR,01/02/2015,23:00:00,5194789
43,59 ST,NR,12/27/2014,03:00:00,5637212
44,59 ST,NR,12/27/2014,07:00:00,5637266
45,59 ST,NR,12/27/2014,11:00:00,5637483
46,59 ST,NR,12/27/2014,15:00:00,5637784
47,59 ST,NR,12/27/2014,19:00:00,5638027
48,59 ST,NR,12/27/2014,23:00:00,5638126
49,59 ST,NR,12/28/2014,03:00:00,5638154
50,59 ST,NR,12/28/2014,07:00:00,5638179
51,59 ST,NR,12/28/2014,11:00:00,5638348
52,59 ST,NR,12/28/2014,15:00:00,5638569
53,59 ST,NR,12/28/2014,19:00:00,5638792
54,59 ST,NR,12/28/2014,23:00:00,5638887
55,59 ST,NR,12/29/2014,03:00:00,5638904
56,59 ST,NR,12/29/2014,07:00:00,5639020
57,59 ST,NR,12/29/2014,07:54:03,5639111
58,59 ST,NR,12/29/2014,11:00:00,5639426
59,59 ST,NR,12/29/2014,15:00:00,5639663
60,59 ST,NR,12/29/2014,19:00:00,5640105
61,59 ST,NR,12/29/2014,23:00:00,5640221
62,59 ST,NR,12/30/2014,03:00:00,5640246
63,59 ST,NR,12/30/2014,07:00:00,5640353
64,59 ST,NR,12/30/2014,11:00:00,5640793
65,59 ST,NR,12/30/2014,15:00:00,5641069
66,59 ST,NR,12/30/2014,19:00:00,5641516
67,59 ST,NR,12/30/2014,23:00:00,5641625
68,59 ST,NR,12/31/2014,03:00:00,5641645
69,59 ST,NR,12/31/2014,07:00:00,5641744
70,59 ST,NR,12/31/2014,11:00:00,5642098
71,59 ST,NR,12/31/2014,15:00:00,5642403
72,59 ST,NR,12/31/2014,19:00:00,5642815
73,59 ST,NR,12/31/2014,23:00:00,5642984
74,59 ST,NR,01/01/2015,03:00:00,5643031
75,59 ST,NR,01/01/2015,07:00:00,5643063
76,59 ST,NR,01/01/2015,11:00:00,5643175
77,59 ST,NR,01/01/2015,15:00:00,5643333
78,59 ST,NR,01/01/2015,19:00:00,5643512
79,59 ST,NR,01/01/2015,23:00:00,5643605
80,59 ST,NR,01/02/2015,03:00:00,5643621
81,59 ST,NR,01/02/2015,07:00:00,5643700
82,59 ST,NR,01/02/2015,11:00:00,5644061
83,59 ST,NR,01/02/2015,15:00:00,5644301
84,59 ST,NR,01/02/2015,19:00:00,5644658
85,59 ST,NR,01/02/2015,23:00:00,5644795
86,59 ST,NR,12/27/2014,03:00:00,9147992
87,59 ST,NR,12/27/2014,07:00:00,9148061
88,59 ST,NR,12/27/2014,11:00:00,9148315
89,59 ST,NR,12/27/2014,15:00:00,9148657
90,59 ST,NR,12/27/2014,19:00:00,9149008
91,59 ST,NR,12/27/2014,23:00:00,9149171
92,59 ST,NR,12/28/2014,03:00:00,9149207
93,59 ST,NR,12/28/2014,07:00:00,9149257
94,59 ST,NR,12/28/2014,11:00:00,9149462
95,59 ST,NR,12/28/2014,15:00:00,9149724
96,59 ST,NR,12/28/2014,19:00:00,9150015
97,59 ST,NR,12/28/2014,23:00:00,9150130
98,59 ST,NR,12/29/2014,03:00:00,9150153
99,59 ST,NR,12/29/2014,07:00:00,9150312
100,59 ST,NR,12/29/2014,07:54:03,9150454
101,59 ST,NR,12/29/2014,11:00:00,9150791
102,59 ST,NR,12/29/2014,15:00:00,9151094
103,59 ST,NR,12/29/2014,19:00:00,9151742
104,59 ST,NR,12/29/2014,23:00:00,9151901
105,59 ST,NR,12/30/2014,03:00:00,9151922
106,59 ST,NR,12/30/2014,07:00:00,9152058
107,59 ST,NR,12/30/2014,11:00:00,9152517
108,59 ST,NR,12/30/2014,15:00:00,9152827
109,59 ST,NR,12/30/2014,19:00:00,9153430
110,59 ST,NR,12/30/2014,23:00:00,9153601
111,59 ST,NR,12/31/2014,03:00:00,9153637
112,59 ST,NR,12/31/2014,07:00:00,9153765
113,59 ST,NR,12/31/2014,11:00:00,9154143
114,59 ST,NR,12/31/2014,15:00:00,9154485
115,59 ST,NR,12/31/2014,19:00:00,9154997
116,59 ST,NR,12/31/2014,23:00:00,9155222
117,59 ST,NR,01/01/2015,03:00:00,9155272
118,59 ST,NR,01/01/2015,07:00:00,9155309
