,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NR,11/14/2015,03:00:00,5914740
1,59 ST,NR,11/14/2015,07:00:00,5914897
2,59 ST,NR,11/14/2015,11:00:00,5915450
3,59 ST,NR,11/14/2015,15:00:00,5915929
4,59 ST,NR,11/14/2015,19:00:00,5916357
5,59 ST,NR,11/14/2015,23:00:00,5916559
6,59 ST,NR,11/15/2015,03:00:00,5916621
7,59 ST,NR,11/15/2015,07:00:00,5916706
8,59 ST,NR,11/15/2015,11:00:00,5917111
9,59 ST,NR,11/15/2015,15:00:00,5917516
10,59 ST,NR,11/15/2015,19:00:00,5917824
11,59 ST,NR,11/15/2015,23:00:00,5917974
12,59 ST,NR,11/16/2015,03:00:00,5918008
13,59 ST,NR,11/16/2015,07:00:00,5918322
14,59 ST,NR,11/16/2015,11:00:00,5919467
15,59 ST,NR,11/16/2015,15:00:00,5919845
16,59 ST,NR,11/16/2015,19:00:00,5920405
17,59 ST,NR,11/16/2015,23:00:00,5920654
18,59 ST,NR,11/17/2015,03:00:00,5920680
19,59 ST,NR,11/17/2015,07:00:00,5921019
20,59 ST,NR,11/17/2015,11:00:00,5922210
21,59 ST,NR,11/17/2015,15:00:00,5922643
22,59 ST,NR,11/17/2015,19:00:00,5923226
23,59 ST,NR,11/17/2015,23:00:00,5923454
24,59 ST,NR,11/18/2015,03:00:00,5923478
25,59 ST,NR,11/18/2015,07:00:00,5923828
26,59 ST,NR,11/18/2015,11:00:00,5924983
27,59 ST,NR,11/18/2015,15:00:00,5925401
28,59 ST,NR,11/18/2015,19:00:00,5925945
29,59 ST,NR,11/18/2015,23:00:00,5926203
30,59 ST,NR,11/19/2015,03:00:00,5926235
31,59 ST,NR,11/19/2015,07:00:00,5926570
32,59 ST,NR,11/19/2015,11:00:00,5927683
33,59 ST,NR,11/19/2015,15:00:00,5928090
34,59 ST,NR,11/19/2015,19:00:00,5928664
35,59 ST,NR,11/19/2015,23:00:00,5928890
36,59 ST,NR,11/20/2015,03:00:00,5928920
37,59 ST,NR,11/20/2015,07:00:00,5929197
38,59 ST,NR,11/20/2015,11:00:00,5930329
39,59 ST,NR,11/20/2015,15:00:00,5930787
40,59 ST,NR,11/20/2015,19:00:00,5931375
41,59 ST,NR,11/20/2015,23:00:00,5931625
42,59 ST,NR,11/14/2015,03:00:00,6128538
43,59 ST,NR,11/14/2015,07:00:00,6128605
44,59 ST,NR,11/14/2015,11:00:00,6128926
45,59 ST,NR,11/14/2015,15:00:00,6129203
46,59 ST,NR,11/14/2015,19:00:00,6129512
47,59 ST,NR,11/14/2015,23:00:00,6129628
48,59 ST,NR,11/15/2015,03:00:00,6129677
49,59 ST,NR,11/15/2015,07:00:00,6129733
50,59 ST,NR,11/15/2015,11:00:00,6129926
51,59 ST,NR,11/15/2015,15:00:00,6130187
52,59 ST,NR,11/15/2015,19:00:00,6130416
53,59 ST,NR,11/15/2015,23:00:00,6130502
54,59 ST,NR,11/16/2015,03:00:00,6130518
55,59 ST,NR,11/16/2015,07:00:00,6130675
56,59 ST,NR,11/16/2015,11:00:00,6131367
57,59 ST,NR,11/16/2015,15:00:00,6131640
58,59 ST,NR,11/16/2015,19:00:00,6132195
59,59 ST,NR,11/16/2015,23:00:00,6132382
60,59 ST,NR,11/17/2015,03:00:00,6132408
61,59 ST,NR,11/17/2015,07:00:00,6132579
62,59 ST,NR,11/17/2015,11:00:00,6133256
63,59 ST,NR,11/17/2015,15:00:00,6133544
64,59 ST,NR,11/17/2015,19:00:00,6134121
65,59 ST,NR,11/17/2015,23:00:00,6134317
66,59 ST,NR,11/18/2015,03:00:00,6134344
67,59 ST,NR,11/18/2015,07:00:00,6134496
68,59 ST,NR,11/18/2015,11:00:00,6135280
69,59 ST,NR,11/18/2015,15:00:00,6135540
70,59 ST,NR,11/18/2015,19:00:00,6136050
71,59 ST,NR,11/18/2015,23:00:00,6136230
72,59 ST,NR,11/19/2015,03:00:00,6136254
73,59 ST,NR,11/19/2015,07:00:00,6136398
74,59 ST,NR,11/19/2015,11:00:00,6137080
75,59 ST,NR,11/19/2015,15:00:00,6137365
76,59 ST,NR,11/19/2015,19:00:00,6137886
77,59 ST,NR,11/19/2015,23:00:00,6138056
78,59 ST,NR,11/20/2015,03:00:00,6138074
79,59 ST,NR,11/20/2015,07:00:00,6138233
80,59 ST,NR,11/20/2015,11:00:00,6138844
81,59 ST,NR,11/20/2015,15:00:00,6139131
82,59 ST,NR,11/20/2015,19:00:00,6139675
83,59 ST,NR,11/20/2015,23:00:00,6139858
84,59 ST,NR,11/14/2015,03:00:00,9719713
85,59 ST,NR,11/14/2015,07:00:00,9719810
86,59 ST,NR,11/14/2015,11:00:00,9720170
87,59 ST,NR,11/14/2015,15:00:00,9720463
88,59 ST,NR,11/14/2015,19:00:00,9720822
89,59 ST,NR,11/14/2015,23:00:00,9720948
90,59 ST,NR,11/15/2015,03:00:00,9720997
91,59 ST,NR,11/15/2015,07:00:00,9721046
92,59 ST,NR,11/15/2015,11:00:00,9721288
93,59 ST,NR,11/15/2015,15:00:00,9721569
94,59 ST,NR,11/15/2015,19:00:00,9721840
