,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NR,02/28/2015,03:00:00,5309830
1,59 ST,NR,02/28/2015,07:00:00,5309942
2,59 ST,NR,02/28/2015,11:00:00,5310484
3,59 ST,NR,02/28/2015,15:00:00,5310921
4,59 ST,NR,02/28/2015,19:00:00,5311336
5,59 ST,NR,02/28/2015,23:00:00,5311533
6,59 ST,NR,03/01/2015,03:00:00,5311593
7,59 ST,NR,03/01/2015,07:00:00,5311682
8,59 ST,NR,03/01/2015,11:00:00,5312061
9,59 ST,NR,03/01/2015,15:00:00,5312408
10,59 ST,NR,03/01/2015,19:00:00,5312678
11,59 ST,NR,03/01/2015,23:00:00,5312796
12,59 ST,NR,03/02/2015,03:00:00,5312826
13,59 ST,NR,03/02/2015,07:00:00,5313087
14,59 ST,NR,03/02/2015,11:00:00,5314116
15,59 ST,NR,03/02/2015,15:00:00,5314458
16,59 ST,NR,03/02/2015,19:00:00,5314924
17,59 ST,NR,03/02/2015,23:00:00,5315095
18,59 ST,NR,03/03/2015,03:00:00,5315114
19,59 ST,NR,03/03/2015,07:00:00,5315443
20,59 ST,NR,03/03/2015,11:00:00,5316585
21,59 ST,NR,03/03/2015,15:00:00,5316961
22,59 ST,NR,03/03/2015,19:00:00,5317450
23,59 ST,NR,03/03/2015,23:00:00,5317634
24,59 ST,NR,03/04/2015,03:00:00,5317673
25,59 ST,NR,03/04/2015,07:00:00,5317964
26,59 ST,NR,03/04/2015,11:00:00,5319080
27,59 ST,NR,03/04/2015,15:00:00,5319454
28,59 ST,NR,03/04/2015,19:00:00,5319988
29,59 ST,NR,03/04/2015,23:00:00,5320215
30,59 ST,NR,03/05/2015,03:00:00,5320245
31,59 ST,NR,03/05/2015,07:00:00,5320528
32,59 ST,NR,03/05/2015,11:00:00,5321503
33,59 ST,NR,03/05/2015,15:00:00,5321829
34,59 ST,NR,03/05/2015,19:00:00,5322269
35,59 ST,NR,03/05/2015,23:00:00,5322436
36,59 ST,NR,03/06/2015,03:00:00,5322465
37,59 ST,NR,03/06/2015,07:00:00,5322733
38,59 ST,NR,03/06/2015,11:00:00,5323705
39,59 ST,NR,03/06/2015,15:00:00,5324102
40,59 ST,NR,03/06/2015,19:00:00,5324628
41,59 ST,NR,03/06/2015,23:00:00,5324860
42,59 ST,NR,02/28/2015,03:00:00,5721962
43,59 ST,NR,02/28/2015,07:00:00,5722005
44,59 ST,NR,02/28/2015,11:00:00,5722291
45,59 ST,NR,02/28/2015,15:00:00,5722535
46,59 ST,NR,02/28/2015,19:00:00,5722826
47,59 ST,NR,02/28/2015,23:00:00,5722948
48,59 ST,NR,03/01/2015,03:00:00,5722988
49,59 ST,NR,03/01/2015,07:00:00,5723019
50,59 ST,NR,03/01/2015,11:00:00,5723187
51,59 ST,NR,03/01/2015,15:00:00,5723407
52,59 ST,NR,03/01/2015,19:00:00,5723605
53,59 ST,NR,03/01/2015,23:00:00,5723679
54,59 ST,NR,03/02/2015,03:00:00,5723700
55,59 ST,NR,03/02/2015,07:00:00,5723851
56,59 ST,NR,03/02/2015,11:00:00,5724499
57,59 ST,NR,03/02/2015,15:00:00,5724726
58,59 ST,NR,03/02/2015,19:00:00,5725182
59,59 ST,NR,03/02/2015,23:00:00,5725313
60,59 ST,NR,03/03/2015,03:00:00,5725341
61,59 ST,NR,03/03/2015,07:00:00,5725491
62,59 ST,NR,03/03/2015,11:00:00,5726158
63,59 ST,NR,03/03/2015,15:00:00,5726373
64,59 ST,NR,03/03/2015,19:00:00,5726856
65,59 ST,NR,03/03/2015,23:00:00,5726992
66,59 ST,NR,03/04/2015,03:00:00,5727020
67,59 ST,NR,03/04/2015,07:00:00,5727161
68,59 ST,NR,03/04/2015,11:00:00,5727797
69,59 ST,NR,03/04/2015,15:00:00,5728025
70,59 ST,NR,03/04/2015,19:00:00,5728456
71,59 ST,NR,03/04/2015,23:00:00,5728607
72,59 ST,NR,03/05/2015,03:00:00,5728627
73,59 ST,NR,03/05/2015,07:00:00,5728775
74,59 ST,NR,03/05/2015,11:00:00,5729394
75,59 ST,NR,03/05/2015,15:00:00,5729597
76,59 ST,NR,03/05/2015,19:00:00,5730020
77,59 ST,NR,03/05/2015,23:00:00,5730144
78,59 ST,NR,03/06/2015,03:00:00,5730170
79,59 ST,NR,03/06/2015,07:00:00,5730332
80,59 ST,NR,03/06/2015,11:00:00,5731029
81,59 ST,NR,03/06/2015,15:00:00,5731270
82,59 ST,NR,03/06/2015,19:00:00,5731746
83,59 ST,NR,03/06/2015,23:00:00,5731896
84,59 ST,NR,02/28/2015,03:00:00,9246606
85,59 ST,NR,02/28/2015,07:00:00,9246686
86,59 ST,NR,02/28/2015,11:00:00,9246941
87,59 ST,NR,02/28/2015,15:00:00,9247253
88,59 ST,NR,02/28/2015,19:00:00,9247577
89,59 ST,NR,02/28/2015,23:00:00,9247726
90,59 ST,NR,03/01/2015,03:00:00,9247782
91,59 ST,NR,03/01/2015,07:00:00,9247845
92,59 ST,NR,03/01/2015,11:00:00,9248039
93,59 ST,NR,03/01/2015,15:00:00,9248283
94,59 ST,NR,03/01/2015,19:00:00,9248524
95,59 ST,NR,03/01/2015,23:00:00,9248619
96,59 ST,NR,03/02/2015,03:00:00,9248651
97,59 ST,NR,03/02/2015,07:00:00,9248843
98,59 ST,NR,03/02/2015,11:00:00,9249486
99,59 ST,NR,03/02/2015,15:00:00,9249754
100,59 ST,NR,03/02/2015,19:00:00,9250390
101,59 ST,NR,03/02/2015,23:00:00,9250548
102,59 ST,NR,03/03/2015,03:00:00,9250585
103,59 ST,NR,03/03/2015,07:00:00,9250745
104,59 ST,NR,03/03/2015,11:00:00,9251339
105,59 ST,NR,03/03/2015,15:00:00,9251605
106,59 ST,NR,03/03/2015,19:00:00,9252276
107,59 ST,NR,03/03/2015,23:00:00,9252448
108,59 ST,NR,03/04/2015,03:00:00,9252481
109,59 ST,NR,03/04/2015,07:00:00,9252633
110,59 ST,NR,03/04/2015,11:00:00,9253256
111,59 ST,NR,03/04/2015,15:00:00,9253522
112,59 ST,NR,03/04/2015,19:00:00,9254149
113,59 ST,NR,03/04/2015,23:00:00,9254321
114,59 ST,NR,03/05/2015,03:00:00,9254358
115,59 ST,NR,03/05/2015,07:00:00,9254504
116,59 ST,NR,03/05/2015,11:00:00,9255146
117,59 ST,NR,03/05/2015,15:00:00,9255414
118,59 ST,NR,03/05/2015,19:00:00,9255992
119,59 ST,NR,03/05/2015,23:00:00,9256148
120,59 ST,NR,03/06/2015,03:00:00,9256178
121,59 ST,NR,03/06/2015,07:00:00,9256348
122,59 ST,NR,03/06/2015,11:00:00,9256912
123,59 ST,NR,03/06/2015,15:00:00,9257210
124,59 ST,NR,03/06/2015,19:00:00,9257826
125,59 ST,NR,03/06/2015,23:00:00,9258004
126,59 ST,NR,02/28/2015,03:00:00,10600835
127,59 ST,NR,02/28/2015,07:00:00,10600915
128,59 ST,NR,02/28/2015,11:00:00,10601284
129,59 ST,NR,02/28/2015,15:00:00,10601620
130,59 ST,NR,02/28/2015,19:00:00,10601973
131,59 ST,NR,02/28/2015,23:00:00,10602167
132,59 ST,NR,03/01/2015,03:00:00,10602236
133,59 ST,NR,03/01/2015,07:00:00,10602294
134,59 ST,NR,03/01/2015,11:00:00,10602526
135,59 ST,NR,03/01/2015,15:00:00,10602812
136,59 ST,NR,03/01/2015,19:00:00,10603054
137,59 ST,NR,03/01/2015,23:00:00,10603165
138,59 ST,NR,03/02/2015,03:00:00,10603195
139,59 ST,NR,03/02/2015,07:00:00,10603402
140,59 ST,NR,03/02/2015,11:00:00,10604208
141,59 ST,NR,03/02/2015,15:00:00,10604542
142,59 ST,NR,03/02/2015,19:00:00,10605388
