,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NR,01/17/2015,03:00:00,5223271
1,59 ST,NR,01/17/2015,07:00:00,5223386
2,59 ST,NR,01/17/2015,11:00:00,5223897
3,59 ST,NR,01/17/2015,15:00:00,5224297
4,59 ST,NR,01/17/2015,19:00:00,5224725
5,59 ST,NR,01/17/2015,23:00:00,5224912
6,59 ST,NR,01/18/2015,03:00:00,5224965
7,59 ST,NR,01/18/2015,07:00:00,5225036
8,59 ST,NR,01/18/2015,11:00:00,5225356
9,59 ST,NR,01/18/2015,15:00:00,5225680
10,59 ST,NR,01/18/2015,19:00:00,5225912
11,59 ST,NR,01/18/2015,23:00:00,5226043
12,59 ST,NR,01/19/2015,03:00:00,5226065
13,59 ST,NR,01/19/2015,07:00:00,5226263
14,59 ST,NR,01/19/2015,11:00:00,5226903
15,59 ST,NR,01/19/2015,15:00:00,5227270
16,59 ST,NR,01/19/2015,19:00:00,5227690
17,59 ST,NR,01/19/2015,23:00:00,5227864
18,59 ST,NR,01/20/2015,03:00:00,5227900
19,59 ST,NR,01/20/2015,07:00:00,5228183
20,59 ST,NR,01/20/2015,11:00:00,5229200
21,59 ST,NR,01/20/2015,15:00:00,5229550
22,59 ST,NR,01/20/2015,19:00:00,5230036
23,59 ST,NR,01/20/2015,23:00:00,5230246
24,59 ST,NR,01/21/2015,03:00:00,5230279
25,59 ST,NR,01/21/2015,07:00:00,5230589
26,59 ST,NR,01/21/2015,11:00:00,5231644
27,59 ST,NR,01/21/2015,15:00:00,5232005
28,59 ST,NR,01/21/2015,19:00:00,5232477
29,59 ST,NR,01/21/2015,23:00:00,5232672
30,59 ST,NR,01/22/2015,03:00:00,5232701
31,59 ST,NR,01/22/2015,07:00:00,5232998
32,59 ST,NR,01/22/2015,11:00:00,5234030
33,59 ST,NR,01/22/2015,15:00:00,5234409
34,59 ST,NR,01/22/2015,19:00:00,5234902
35,59 ST,NR,01/22/2015,23:00:00,5235091
36,59 ST,NR,01/23/2015,03:00:00,5235124
37,59 ST,NR,01/23/2015,07:00:00,5235430
38,59 ST,NR,01/23/2015,11:00:00,5236503
39,59 ST,NR,01/23/2015,15:00:00,5236861
40,59 ST,NR,01/23/2015,19:00:00,5237364
41,59 ST,NR,01/23/2015,23:00:00,5237572
42,59 ST,NR,01/17/2015,03:00:00,5664515
43,59 ST,NR,01/17/2015,07:00:00,5664557
44,59 ST,NR,01/17/2015,11:00:00,5664801
45,59 ST,NR,01/17/2015,15:00:00,5665074
46,59 ST,NR,01/17/2015,19:00:00,5665349
47,59 ST,NR,01/17/2015,23:00:00,5665450
48,59 ST,NR,01/18/2015,03:00:00,5665490
49,59 ST,NR,01/18/2015,07:00:00,5665519
50,59 ST,NR,01/18/2015,11:00:00,5665687
51,59 ST,NR,01/18/2015,15:00:00,5665868
52,59 ST,NR,01/18/2015,19:00:00,5666037
53,59 ST,NR,01/18/2015,23:00:00,5666116
54,59 ST,NR,01/19/2015,03:00:00,5666138
55,59 ST,NR,01/19/2015,07:00:00,5666237
56,59 ST,NR,01/19/2015,11:00:00,5666595
57,59 ST,NR,01/19/2015,15:00:00,5666789
58,59 ST,NR,01/19/2015,19:00:00,5667164
59,59 ST,NR,01/19/2015,23:00:00,5667268
60,59 ST,NR,01/20/2015,03:00:00,5667290
61,59 ST,NR,01/20/2015,07:00:00,5667429
62,59 ST,NR,01/20/2015,11:00:00,5668059
63,59 ST,NR,01/20/2015,15:00:00,5668301
64,59 ST,NR,01/20/2015,19:00:00,5668820
65,59 ST,NR,01/20/2015,23:00:00,5668943
66,59 ST,NR,01/21/2015,03:00:00,5668971
67,59 ST,NR,01/21/2015,07:00:00,5669119
68,59 ST,NR,01/21/2015,11:00:00,5669757
69,59 ST,NR,01/21/2015,15:00:00,5670006
70,59 ST,NR,01/21/2015,19:00:00,5670494
71,59 ST,NR,01/21/2015,23:00:00,5670643
72,59 ST,NR,01/22/2015,03:00:00,5670669
73,59 ST,NR,01/22/2015,07:00:00,5670806
74,59 ST,NR,01/22/2015,11:00:00,5671455
75,59 ST,NR,01/22/2015,15:00:00,5671683
76,59 ST,NR,01/22/2015,19:00:00,5672153
77,59 ST,NR,01/22/2015,23:00:00,5672303
78,59 ST,NR,01/23/2015,03:00:00,5672325
79,59 ST,NR,01/23/2015,07:00:00,5672466
80,59 ST,NR,01/23/2015,11:00:00,5673034
81,59 ST,NR,01/23/2015,15:00:00,5673272
82,59 ST,NR,01/23/2015,19:00:00,5673815
83,59 ST,NR,01/23/2015,23:00:00,5673949
84,59 ST,NR,01/17/2015,03:00:00,9179994
85,59 ST,NR,01/17/2015,07:00:00,9180061
86,59 ST,NR,01/17/2015,11:00:00,9180348
87,59 ST,NR,01/17/2015,15:00:00,9180616
88,59 ST,NR,01/17/2015,19:00:00,9180948
89,59 ST,NR,01/17/2015,23:00:00,9181073
90,59 ST,NR,01/18/2015,03:00:00,9181116
91,59 ST,NR,01/18/2015,07:00:00,9181162
92,59 ST,NR,01/18/2015,11:00:00,9181332
93,59 ST,NR,01/18/2015,15:00:00,9181564
94,59 ST,NR,01/18/2015,19:00:00,9181746
95,59 ST,NR,01/18/2015,23:00:00,9181818
96,59 ST,NR,01/19/2015,03:00:00,9181864
97,59 ST,NR,01/19/2015,07:00:00,9182006
98,59 ST,NR,01/19/2015,11:00:00,9182379
99,59 ST,NR,01/19/2015,15:00:00,9182636
100,59 ST,NR,01/19/2015,19:00:00,9183126
101,59 ST,NR,01/19/2015,23:00:00,9183249
102,59 ST,NR,01/20/2015,03:00:00,9183289
103,59 ST,NR,01/20/2015,07:00:00,9183476
104,59 ST,NR,01/20/2015,11:00:00,9184093
105,59 ST,NR,01/20/2015,15:00:00,9184412
106,59 ST,NR,01/20/2015,19:00:00,9185094
107,59 ST,NR,01/20/2015,23:00:00,9185268
108,59 ST,NR,01/21/2015,03:00:00,9185305
109,59 ST,NR,01/21/2015,07:00:00,9185489
110,59 ST,NR,01/21/2015,11:00:00,9186058
111,59 ST,NR,01/21/2015,15:00:00,9186347
112,59 ST,NR,01/21/2015,19:00:00,9186995
113,59 ST,NR,01/21/2015,23:00:00,9187161
114,59 ST,NR,01/22/2015,03:00:00,9187198
115,59 ST,NR,01/22/2015,07:00:00,9187366
116,59 ST,NR,01/22/2015,11:00:00,9187935
117,59 ST,NR,01/22/2015,15:00:00,9188202
118,59 ST,NR,01/22/2015,19:00:00,9188844
119,59 ST,NR,01/22/2015,23:00:00,9189005
120,59 ST,NR,01/23/2015,03:00:00,9189039
121,59 ST,NR,01/23/2015,07:00:00,9189210
122,59 ST,NR,01/23/2015,11:00:00,9189794
123,59 ST,NR,01/23/2015,15:00:00,9190114
124,59 ST,NR,01/23/2015,19:00:00,9190760
125,59 ST,NR,01/23/2015,23:00:00,9190947
126,59 ST,NR,01/17/2015,03:00:00,10519031
127,59 ST,NR,01/17/2015,07:00:00,10519115
128,59 ST,NR,01/17/2015,11:00:00,10519427
129,59 ST,NR,01/17/2015,15:00:00,10519714
130,59 ST,NR,01/17/2015,19:00:00,10520087
131,59 ST,NR,01/17/2015,23:00:00,10520247
132,59 ST,NR,01/18/2015,03:00:00,10520307
133,59 ST,NR,01/18/2015,07:00:00,10520359
134,59 ST,NR,01/18/2015,11:00:00,10520566
135,59 ST,NR,01/18/2015,15:00:00,10520788
136,59 ST,NR,01/18/2015,19:00:00,10521010
137,59 ST,NR,01/18/2015,23:00:00,10521111
138,59 ST,NR,01/19/2015,03:00:00,10521167
139,59 ST,NR,01/19/2015,07:00:00,10521327
140,59 ST,NR,01/19/2015,11:00:00,10521807
141,59 ST,NR,01/19/2015,15:00:00,10522126
142,59 ST,NR,01/19/2015,19:00:00,10522729
143,59 ST,NR,01/19/2015,23:00:00,10522916
144,59 ST,NR,01/20/2015,03:00:00,10522957
145,59 ST,NR,01/20/2015,07:00:00,10523187
146,59 ST,NR,01/20/2015,11:00:00,10523951
147,59 ST,NR,01/20/2015,15:00:00,10524311
148,59 ST,NR,01/20/2015,19:00:00,10525115
149,59 ST,NR,01/20/2015,23:00:00,10525333
150,59 ST,NR,01/21/2015,03:00:00,10525389
151,59 ST,NR,01/21/2015,07:00:00,10525631
152,59 ST,NR,01/21/2015,11:00:00,10526363
153,59 ST,NR,01/21/2015,15:00:00,10526759
154,59 ST,NR,01/21/2015,19:00:00,10527560
155,59 ST,NR,01/21/2015,23:00:00,10527781
156,59 ST,NR,01/22/2015,03:00:00,10527830
157,59 ST,NR,01/22/2015,07:00:00,10528045
158,59 ST,NR,01/22/2015,11:00:00,10528806
159,59 ST,NR,01/22/2015,15:00:00,10529161
160,59 ST,NR,01/22/2015,19:00:00,10529984
161,59 ST,NR,01/22/2015,23:00:00,10530199
162,59 ST,NR,01/23/2015,03:00:00,10530247
163,59 ST,NR,01/23/2015,07:00:00,10530465
164,59 ST,NR,01/23/2015,11:00:00,10531157
165,59 ST,NR,01/23/2015,15:00:00,10531531
166,59 ST,NR,01/23/2015,19:00:00,10532266
167,59 ST,NR,01/23/2015,23:00:00,10532494
168,59 ST,NR,01/17/2015,03:00:00,356
169,59 ST,NR,01/17/2015,07:00:00,356
170,59 ST,NR,01/17/2015,11:00:00,356
171,59 ST,NR,01/17/2015,15:00:00,356
172,59 ST,NR,01/17/2015,19:00:00,356
173,59 ST,NR,01/17/2015,23:00:00,356
174,59 ST,NR,01/18/2015,03:00:00,356
175,59 ST,NR,01/18/2015,07:00:00,356
176,59 ST,NR,01/18/2015,11:00:00,356
177,59 ST,NR,01/18/2015,15:00:00,356
178,59 ST,NR,01/18/2015,19:00:00,356
179,59 ST,NR,01/18/2015,23:00:00,356
180,59 ST,NR,01/19/2015,03:00:00,356
181,59 ST,NR,01/19/2015,07:00:00,357
182,59 ST,NR,01/19/2015,11:00:00,357
183,59 ST,NR,01/19/2015,15:00:00,357
184,59 ST,NR,01/19/2015,19:00:00,357
185,59 ST,NR,01/19/2015,23:00:00,357
186,59 ST,NR,01/20/2015,03:00:00,357
187,59 ST,NR,01/20/2015,07:00:00,357
188,59 ST,NR,01/20/2015,11:00:00,357
189,59 ST,NR,01/20/2015,15:00:00,357
190,59 ST,NR,01/20/2015,19:00:00,357
191,59 ST,NR,01/20/2015,23:00:00,357
192,59 ST,NR,01/21/2015,03:00:00,357
193,59 ST,NR,01/21/2015,07:00:00,357
194,59 ST,NR,01/21/2015,11:00:00,357
195,59 ST,NR,01/21/2015,15:00:00,357
196,59 ST,NR,01/21/2015,19:00:00,357
197,59 ST,NR,01/21/2015,23:00:00,357
198,59 ST,NR,01/22/2015,03:00:00,357
199,59 ST,NR,01/22/2015,07:00:00,357
200,59 ST,NR,01/22/2015,11:00:00,357
201,59 ST,NR,01/22/2015,15:00:00,357
202,59 ST,NR,01/22/2015,19:00:00,357
203,59 ST,NR,01/22/2015,23:00:00,357
204,59 ST,NR,01/23/2015,03:00:00,358
205,59 ST,NR,01/23/2015,07:00:00,358
206,59 ST,NR,01/23/2015,11:00:00,358
207,59 ST,NR,01/23/2015,15:00:00,358
208,59 ST,NR,01/23/2015,19:00:00,358
209,59 ST,NR,01/23/2015,23:00:00,358
210,59 ST,NR,01/17/2015,03:00:00,0
211,59 ST,NR,01/17/2015,07:00:00,0
212,59 ST,NR,01/17/2015,11:00:00,0
213,59 ST,NR,01/17/2015,15:00:00,0
214,59 ST,NR,01/17/2015,19:00:00,0
215,59 ST,NR,01/17/2015,23:00:00,0
216,59 ST,NR,01/18/2015,03:00:00,0
217,59 ST,NR,01/18/2015,07:00:00,0
218,59 ST,NR,01/18/2015,11:00:00,0
219,59 ST,NR,01/18/2015,15:00:00,0
220,59 ST,NR,01/18/2015,19:00:00,0
221,59 ST,NR,01/18/2015,23:00:00,0
222,59 ST,NR,01/19/2015,03:00:00,0
223,59 ST,NR,01/19/2015,07:00:00,0
224,59 ST,NR,01/19/2015,11:00:00,0
225,59 ST,NR,01/19/2015,15:00:00,0
226,59 ST,NR,01/19/2015,19:00:00,0
227,59 ST,NR,01/19/2015,23:00:00,0
228,59 ST,NR,01/20/2015,03:00:00,0
229,59 ST,NR,01/20/2015,07:00:00,0
230,59 ST,NR,01/20/2015,11:00:00,0
231,59 ST,NR,01/20/2015,15:00:00,0
232,59 ST,NR,01/20/2015,19:00:00,0
233,59 ST,NR,01/20/2015,23:00:00,0
234,59 ST,NR,01/21/2015,03:00:00,0
235,59 ST,NR,01/21/2015,07:00:00,0
236,59 ST,NR,01/21/2015,11:00:00,0
237,59 ST,NR,01/21/2015,15:00:00,0
238,59 ST,NR,01/21/2015,19:00:00,0
239,59 ST,NR,01/21/2015,23:00:00,0
240,59 ST,NR,01/22/2015,03:00:00,0
241,59 ST,NR,01/22/2015,07:00:00,0
242,59 ST,NR,01/22/2015,11:00:00,0
243,59 ST,NR,01/22/2015,15:00:00,0
244,59 ST,NR,01/22/2015,19:00:00,0
245,59 ST,NR,01/22/2015,23:00:00,0
246,59 ST,NR,01/23/2015,03:00:00,0
247,59 ST,NR,01/23/2015,07:00:00,0
248,59 ST,NR,01/23/2015,11:00:00,0
249,59 ST,NR,01/23/2015,15:00:00,0
250,59 ST,NR,01/23/2015,19:00:00,0
251,59 ST,NR,01/23/2015,23:00:00,0
252,59 ST,NR,01/17/2015,03:00:00,3622363
253,59 ST,NR,01/17/2015,07:00:00,3622445
254,59 ST,NR,01/17/2015,11:00:00,3622777
255,59 ST,NR,01/17/2015,15:00:00,3623023
256,59 ST,NR,01/17/2015,19:00:00,3623206
257,59 ST,NR,01/17/2015,23:00:00,3623297
258,59 ST,NR,01/18/2015,03:00:00,3623318
259,59 ST,NR,01/18/2015,07:00:00,3623360
260,59 ST,NR,01/18/2015,11:00:00,3623543
261,59 ST,NR,01/18/2015,15:00:00,3623687
262,59 ST,NR,01/18/2015,19:00:00,3623828
263,59 ST,NR,01/18/2015,23:00:00,3623872
264,59 ST,NR,01/19/2015,03:00:00,3623881
265,59 ST,NR,01/19/2015,07:00:00,3624010
266,59 ST,NR,01/19/2015,11:00:00,3624402
267,59 ST,NR,01/19/2015,15:00:00,3624593
268,59 ST,NR,01/19/2015,19:00:00,3624802
269,59 ST,NR,01/19/2015,23:00:00,3624856
270,59 ST,NR,01/20/2015,03:00:00,3624868
271,59 ST,NR,01/20/2015,07:00:00,3625046
272,59 ST,NR,01/20/2015,11:00:00,3625882
273,59 ST,NR,01/20/2015,15:00:00,3626087
274,59 ST,NR,01/20/2015,19:00:00,3626419
275,59 ST,NR,01/20/2015,23:00:00,3626482
276,59 ST,NR,01/21/2015,03:00:00,3626494
277,59 ST,NR,01/21/2015,07:00:00,3626695
278,59 ST,NR,01/21/2015,11:00:00,3627649
279,59 ST,NR,01/21/2015,15:00:00,3627887
280,59 ST,NR,01/21/2015,19:00:00,3628190
281,59 ST,NR,01/21/2015,23:00:00,3628264
282,59 ST,NR,01/22/2015,03:00:00,3628276
283,59 ST,NR,01/22/2015,07:00:00,3628455
284,59 ST,NR,01/22/2015,11:00:00,3629418
285,59 ST,NR,01/22/2015,15:00:00,3629646
286,59 ST,NR,01/22/2015,19:00:00,3630012
287,59 ST,NR,01/22/2015,23:00:00,3630086
288,59 ST,NR,01/23/2015,03:00:00,3630097
289,59 ST,NR,01/23/2015,07:00:00,3630279
290,59 ST,NR,01/23/2015,11:00:00,3631188
291,59 ST,NR,01/23/2015,15:00:00,3631452
292,59 ST,NR,01/23/2015,19:00:00,3631776
293,59 ST,NR,01/23/2015,23:00:00,3631873
294,59 ST,NR,01/17/2015,03:00:00,8633081
295,59 ST,NR,01/17/2015,07:00:00,8633189
296,59 ST,NR,01/17/2015,11:00:00,8633752
297,59 ST,NR,01/17/2015,15:00:00,8634239
298,59 ST,NR,01/17/2015,19:00:00,8634694
299,59 ST,NR,01/17/2015,23:00:00,8634929
300,59 ST,NR,01/18/2015,03:00:00,8634996
301,59 ST,NR,01/18/2015,07:00:00,8635087
302,59 ST,NR,01/18/2015,11:00:00,8635558
303,59 ST,NR,01/18/2015,15:00:00,8635944
304,59 ST,NR,01/18/2015,19:00:00,8636221
305,59 ST,NR,01/18/2015,23:00:00,8636360
306,59 ST,NR,01/19/2015,03:00:00,8636408
307,59 ST,NR,01/19/2015,07:00:00,8636572
308,59 ST,NR,01/19/2015,11:00:00,8637345
309,59 ST,NR,01/19/2015,15:00:00,8637836
310,59 ST,NR,01/19/2015,19:00:00,8638329
311,59 ST,NR,01/19/2015,23:00:00,8638510
312,59 ST,NR,01/20/2015,03:00:00,8638546
313,59 ST,NR,01/20/2015,07:00:00,8638891
314,59 ST,NR,01/20/2015,11:00:00,8640305
315,59 ST,NR,01/20/2015,15:00:00,8640818
316,59 ST,NR,01/20/2015,19:00:00,8641374
317,59 ST,NR,01/20/2015,23:00:00,8641613
318,59 ST,NR,01/21/2015,03:00:00,8641641
319,59 ST,NR,01/21/2015,07:00:00,8641981
320,59 ST,NR,01/21/2015,11:00:00,8643309
321,59 ST,NR,01/21/2015,15:00:00,8643810
322,59 ST,NR,01/21/2015,19:00:00,8644430
323,59 ST,NR,01/21/2015,23:00:00,8644673
324,59 ST,NR,01/22/2015,03:00:00,8644702
325,59 ST,NR,01/22/2015,07:00:00,8645035
326,59 ST,NR,01/22/2015,11:00:00,8646331
327,59 ST,NR,01/22/2015,15:00:00,8646821
328,59 ST,NR,01/22/2015,19:00:00,8647458
329,59 ST,NR,01/22/2015,23:00:00,8647670
330,59 ST,NR,01/23/2015,03:00:00,8647708
331,59 ST,NR,01/23/2015,07:00:00,8648078
332,59 ST,NR,01/23/2015,11:00:00,8649444
333,59 ST,NR,01/23/2015,15:00:00,8649973
334,59 ST,NR,01/23/2015,19:00:00,8650601
