,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NQR456,03/26/2016,00:00:00,5595746
1,59 ST,NQR456,03/26/2016,04:00:00,5595746
2,59 ST,NQR456,03/26/2016,08:00:00,5595746
3,59 ST,NQR456,03/26/2016,12:00:00,5595746
4,59 ST,NQR456,03/26/2016,16:00:00,5595746
5,59 ST,NQR456,03/26/2016,20:00:00,5595746
6,59 ST,NQR456,03/27/2016,00:00:00,5595746
7,59 ST,NQR456,03/27/2016,04:00:00,5595746
8,59 ST,NQR456,03/27/2016,08:00:00,5595746
9,59 ST,NQR456,03/27/2016,12:00:00,5595746
10,59 ST,NQR456,03/27/2016,16:00:00,5595746
11,59 ST,NQR456,03/27/2016,20:00:00,5595746
12,59 ST,NQR456,03/28/2016,00:00:00,5595746
13,59 ST,NQR456,03/28/2016,04:00:00,5595746
14,59 ST,NQR456,03/28/2016,08:00:00,5595780
15,59 ST,NQR456,03/28/2016,12:00:00,5595936
16,59 ST,NQR456,03/28/2016,16:00:00,5596182
17,59 ST,NQR456,03/28/2016,20:00:00,5596691
18,59 ST,NQR456,03/29/2016,00:00:00,5596896
19,59 ST,NQR456,03/29/2016,04:00:00,5596905
20,59 ST,NQR456,03/29/2016,08:00:00,5596942
21,59 ST,NQR456,03/29/2016,12:00:00,5597074
22,59 ST,NQR456,03/29/2016,16:00:00,5597352
23,59 ST,NQR456,03/29/2016,20:00:00,5597835
24,59 ST,NQR456,03/30/2016,00:00:00,5598003
25,59 ST,NQR456,03/30/2016,04:00:00,5598010
26,59 ST,NQR456,03/30/2016,08:00:00,5598057
27,59 ST,NQR456,03/30/2016,12:00:00,5598218
28,59 ST,NQR456,03/30/2016,16:00:00,5598477
29,59 ST,NQR456,03/30/2016,20:00:00,5598979
30,59 ST,NQR456,03/31/2016,00:00:00,5599165
31,59 ST,NQR456,03/31/2016,04:00:00,5599165
32,59 ST,NQR456,03/31/2016,08:00:00,5599202
33,59 ST,NQR456,03/31/2016,09:22:41,5599230
34,59 ST,NQR456,03/31/2016,12:00:00,5599230
35,59 ST,NQR456,03/31/2016,16:00:00,5599230
36,59 ST,NQR456,03/31/2016,20:00:00,5599433
37,59 ST,NQR456,04/01/2016,00:00:00,5599639
38,59 ST,NQR456,04/01/2016,04:00:00,5599650
39,59 ST,NQR456,04/01/2016,08:00:00,5599690
40,59 ST,NQR456,04/01/2016,12:00:00,5599694
41,59 ST,NQR456,04/01/2016,16:00:00,5599946
42,59 ST,NQR456,04/01/2016,20:00:00,5600640
43,59 ST,NQR456,03/26/2016,00:00:00,5143982
44,59 ST,NQR456,03/26/2016,04:00:00,5143982
45,59 ST,NQR456,03/26/2016,08:00:00,5143982
46,59 ST,NQR456,03/26/2016,12:00:00,5143982
47,59 ST,NQR456,03/26/2016,16:00:00,5143982
48,59 ST,NQR456,03/26/2016,20:00:00,5143982
49,59 ST,NQR456,03/27/2016,00:00:00,5143982
50,59 ST,NQR456,03/27/2016,04:00:00,5143982
51,59 ST,NQR456,03/27/2016,08:00:00,5143982
52,59 ST,NQR456,03/27/2016,12:00:00,5143982
53,59 ST,NQR456,03/27/2016,16:00:00,5143982
54,59 ST,NQR456,03/27/2016,20:00:00,5143982
55,59 ST,NQR456,03/28/2016,00:00:00,5143982
56,59 ST,NQR456,03/28/2016,04:00:00,5143982
57,59 ST,NQR456,03/28/2016,08:00:00,5144015
58,59 ST,NQR456,03/28/2016,12:00:00,5144172
59,59 ST,NQR456,03/28/2016,16:00:00,5144398
60,59 ST,NQR456,03/28/2016,20:00:00,5144857
61,59 ST,NQR456,03/29/2016,00:00:00,5145018
62,59 ST,NQR456,03/29/2016,04:00:00,5145023
63,59 ST,NQR456,03/29/2016,08:00:00,5145073
64,59 ST,NQR456,03/29/2016,12:00:00,5145210
65,59 ST,NQR456,03/29/2016,16:00:00,5145427
66,59 ST,NQR456,03/29/2016,20:00:00,5145838
67,59 ST,NQR456,03/30/2016,00:00:00,5145991
68,59 ST,NQR456,03/30/2016,04:00:00,5145995
69,59 ST,NQR456,03/30/2016,08:00:00,5146033
70,59 ST,NQR456,03/30/2016,12:00:00,5146171
71,59 ST,NQR456,03/30/2016,16:00:00,5146419
72,59 ST,NQR456,03/30/2016,20:00:00,5146895
73,59 ST,NQR456,03/31/2016,00:00:00,5147049
74,59 ST,NQR456,03/31/2016,04:00:00,5147050
75,59 ST,NQR456,03/31/2016,08:00:00,5147089
76,59 ST,NQR456,03/31/2016,09:22:41,5147138
77,59 ST,NQR456,03/31/2016,12:00:00,5147138
78,59 ST,NQR456,03/31/2016,16:00:00,5147138
79,59 ST,NQR456,03/31/2016,20:00:00,5147305
80,59 ST,NQR456,04/01/2016,00:00:00,5147463
81,59 ST,NQR456,04/01/2016,04:00:00,5147471
82,59 ST,NQR456,04/01/2016,08:00:00,5147509
83,59 ST,NQR456,04/01/2016,12:00:00,5147511
84,59 ST,NQR456,04/01/2016,16:00:00,5147738
85,59 ST,NQR456,04/01/2016,20:00:00,5148352
86,59 ST,NQR456,03/26/2016,00:00:00,671757
87,59 ST,NQR456,03/26/2016,04:00:00,671757
88,59 ST,NQR456,03/26/2016,08:00:00,671757
89,59 ST,NQR456,03/26/2016,12:00:00,671757
90,59 ST,NQR456,03/26/2016,16:00:00,671757
91,59 ST,NQR456,03/26/2016,20:00:00,671757
92,59 ST,NQR456,03/27/2016,00:00:00,671757
93,59 ST,NQR456,03/27/2016,04:00:00,671757
94,59 ST,NQR456,03/27/2016,08:00:00,671757
95,59 ST,NQR456,03/27/2016,12:00:00,671757
96,59 ST,NQR456,03/27/2016,16:00:00,671757
97,59 ST,NQR456,03/27/2016,20:00:00,671757
98,59 ST,NQR456,03/28/2016,00:00:00,671757
99,59 ST,NQR456,03/28/2016,04:00:00,671757
100,59 ST,NQR456,03/28/2016,08:00:00,671773
101,59 ST,NQR456,03/28/2016,12:00:00,671835
102,59 ST,NQR456,03/28/2016,16:00:00,671944
103,59 ST,NQR456,03/28/2016,20:00:00,672263
104,59 ST,NQR456,03/29/2016,00:00:00,672370
105,59 ST,NQR456,03/29/2016,04:00:00,672373
106,59 ST,NQR456,03/29/2016,08:00:00,672400
107,59 ST,NQR456,03/29/2016,12:00:00,672485
108,59 ST,NQR456,03/29/2016,16:00:00,672607
109,59 ST,NQR456,03/29/2016,20:00:00,673045
110,59 ST,NQR456,03/30/2016,00:00:00,673165
111,59 ST,NQR456,03/30/2016,04:00:00,673171
112,59 ST,NQR456,03/30/2016,08:00:00,673190
113,59 ST,NQR456,03/30/2016,12:00:00,673259
114,59 ST,NQR456,03/30/2016,16:00:00,673404
115,59 ST,NQR456,03/30/2016,20:00:00,673740
116,59 ST,NQR456,03/31/2016,00:00:00,673887
117,59 ST,NQR456,03/31/2016,04:00:00,673896
118,59 ST,NQR456,03/31/2016,08:00:00,673913
119,59 ST,NQR456,03/31/2016,09:22:41,673951
120,59 ST,NQR456,03/31/2016,12:00:00,674001
121,59 ST,NQR456,03/31/2016,16:00:00,674167
122,59 ST,NQR456,03/31/2016,20:00:00,674604
123,59 ST,NQR456,04/01/2016,00:00:00,674735
124,59 ST,NQR456,04/01/2016,04:00:00,674745
125,59 ST,NQR456,04/01/2016,08:00:00,674755
126,59 ST,NQR456,04/01/2016,12:00:00,674826
127,59 ST,NQR456,04/01/2016,16:00:00,674962
128,59 ST,NQR456,04/01/2016,20:00:00,675245
129,59 ST,NQR456,03/26/2016,00:00:00,5116889
130,59 ST,NQR456,03/26/2016,04:00:00,5116889
131,59 ST,NQR456,03/26/2016,08:00:00,5116889
132,59 ST,NQR456,03/26/2016,12:00:00,5116889
133,59 ST,NQR456,03/26/2016,16:00:00,5116889
134,59 ST,NQR456,03/26/2016,20:00:00,5116889
135,59 ST,NQR456,03/27/2016,00:00:00,5116889
136,59 ST,NQR456,03/27/2016,04:00:00,5116889
137,59 ST,NQR456,03/27/2016,08:00:00,5116889
138,59 ST,NQR456,03/27/2016,12:00:00,5116889
139,59 ST,NQR456,03/27/2016,16:00:00,5116889
140,59 ST,NQR456,03/27/2016,20:00:00,5116889
141,59 ST,NQR456,03/28/2016,00:00:00,5116889
142,59 ST,NQR456,03/28/2016,04:00:00,5116889
143,59 ST,NQR456,03/28/2016,08:00:00,5116923
144,59 ST,NQR456,03/28/2016,12:00:00,5117084
145,59 ST,NQR456,03/28/2016,16:00:00,5117406
146,59 ST,NQR456,03/28/2016,20:00:00,5118101
147,59 ST,NQR456,03/29/2016,00:00:00,5118387
148,59 ST,NQR456,03/29/2016,04:00:00,5118397
149,59 ST,NQR456,03/29/2016,08:00:00,5118444
150,59 ST,NQR456,03/29/2016,12:00:00,5118652
151,59 ST,NQR456,03/29/2016,16:00:00,5119012
152,59 ST,NQR456,03/29/2016,20:00:00,5119755
153,59 ST,NQR456,03/30/2016,00:00:00,5120068
154,59 ST,NQR456,03/30/2016,04:00:00,5120095
155,59 ST,NQR456,03/30/2016,08:00:00,5120155
156,59 ST,NQR456,03/30/2016,12:00:00,5120388
157,59 ST,NQR456,03/30/2016,16:00:00,5120738
158,59 ST,NQR456,03/30/2016,20:00:00,5121491
159,59 ST,NQR456,03/31/2016,00:00:00,5121859
160,59 ST,NQR456,03/31/2016,04:00:00,5121884
161,59 ST,NQR456,03/31/2016,08:00:00,5121940
162,59 ST,NQR456,03/31/2016,09:22:41,5122011
163,59 ST,NQR456,03/31/2016,12:00:00,5122165
164,59 ST,NQR456,03/31/2016,16:00:00,5122592
165,59 ST,NQR456,03/31/2016,20:00:00,5123415
166,59 ST,NQR456,04/01/2016,00:00:00,5123785
167,59 ST,NQR456,04/01/2016,04:00:00,5123832
168,59 ST,NQR456,04/01/2016,08:00:00,5123879
169,59 ST,NQR456,04/01/2016,12:00:00,5124095
170,59 ST,NQR456,04/01/2016,16:00:00,5124417
171,59 ST,NQR456,04/01/2016,20:00:00,5125039
172,59 ST,NQR456,03/26/2016,00:00:00,4844372
173,59 ST,NQR456,03/26/2016,04:00:00,4844390
174,59 ST,NQR456,03/26/2016,08:00:00,4844390
175,59 ST,NQR456,03/26/2016,12:00:00,4844390
176,59 ST,NQR456,03/26/2016,16:00:00,4844390
177,59 ST,NQR456,03/26/2016,20:00:00,4844390
178,59 ST,NQR456,03/27/2016,00:00:00,4844390
179,59 ST,NQR456,03/27/2016,04:00:00,4844390
180,59 ST,NQR456,03/27/2016,08:00:00,4844390
