,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NQR456W,11/02/2016,00:00:00,5409973
1,59 ST,NQR456W,11/02/2016,04:00:00,5409982
2,59 ST,NQR456W,11/02/2016,08:00:00,5410033
3,59 ST,NQR456W,11/02/2016,12:00:00,5410183
4,59 ST,NQR456W,11/02/2016,16:00:00,5410486
5,59 ST,NQR456W,11/02/2016,20:00:00,5411298
6,59 ST,NQR456W,11/03/2016,00:00:00,5411505
7,59 ST,NQR456W,11/03/2016,04:00:00,5411530
8,59 ST,NQR456W,11/03/2016,08:00:00,5411575
9,59 ST,NQR456W,11/03/2016,12:00:00,5411742
10,59 ST,NQR456W,11/03/2016,16:00:00,5412028
11,59 ST,NQR456W,11/03/2016,20:00:00,5412763
12,59 ST,NQR456W,11/04/2016,00:00:00,5412985
13,59 ST,NQR456W,11/04/2016,04:00:00,5412997
14,59 ST,NQR456W,11/04/2016,08:00:00,5413049
15,59 ST,NQR456W,11/04/2016,12:00:00,5413242
16,59 ST,NQR456W,11/04/2016,16:00:00,5413574
17,59 ST,NQR456W,11/04/2016,20:00:00,5414378
18,59 ST,NQR456W,10/29/2016,00:00:00,802944
19,59 ST,NQR456W,10/29/2016,04:00:00,802960
20,59 ST,NQR456W,10/29/2016,08:00:00,802976
21,59 ST,NQR456W,10/29/2016,12:00:00,803075
22,59 ST,NQR456W,10/29/2016,16:00:00,803235
23,59 ST,NQR456W,10/29/2016,20:00:00,803416
24,59 ST,NQR456W,10/30/2016,00:00:00,803534
25,59 ST,NQR456W,10/30/2016,04:00:00,803556
26,59 ST,NQR456W,10/30/2016,08:00:00,803564
27,59 ST,NQR456W,10/30/2016,12:00:00,803648
28,59 ST,NQR456W,10/30/2016,16:00:00,803780
29,59 ST,NQR456W,10/30/2016,20:00:00,803942
30,59 ST,NQR456W,10/31/2016,00:00:00,804013
31,59 ST,NQR456W,10/31/2016,04:00:00,804018
32,59 ST,NQR456W,10/31/2016,08:00:00,804034
33,59 ST,NQR456W,10/31/2016,12:00:00,804109
34,59 ST,NQR456W,10/31/2016,16:00:00,804246
35,59 ST,NQR456W,10/31/2016,20:00:00,804576
36,59 ST,NQR456W,11/01/2016,00:00:00,804647
37,59 ST,NQR456W,11/01/2016,04:00:00,804653
38,59 ST,NQR456W,11/01/2016,08:00:00,804672
39,59 ST,NQR456W,11/01/2016,12:00:00,804756
40,59 ST,NQR456W,11/01/2016,16:00:00,804900
41,59 ST,NQR456W,11/01/2016,20:00:00,805236
42,59 ST,NQR456W,11/02/2016,00:00:00,805344
43,59 ST,NQR456W,11/02/2016,04:00:00,805350
44,59 ST,NQR456W,11/02/2016,08:00:00,805368
45,59 ST,NQR456W,11/02/2016,12:00:00,805432
46,59 ST,NQR456W,11/02/2016,16:00:00,805569
47,59 ST,NQR456W,11/02/2016,20:00:00,805883
48,59 ST,NQR456W,11/03/2016,00:00:00,805997
49,59 ST,NQR456W,11/03/2016,04:00:00,806006
50,59 ST,NQR456W,11/03/2016,08:00:00,806021
51,59 ST,NQR456W,11/03/2016,12:00:00,806089
52,59 ST,NQR456W,11/03/2016,16:00:00,806214
53,59 ST,NQR456W,11/03/2016,20:00:00,806531
54,59 ST,NQR456W,11/04/2016,00:00:00,806657
55,59 ST,NQR456W,11/04/2016,04:00:00,806660
56,59 ST,NQR456W,11/04/2016,08:00:00,806673
57,59 ST,NQR456W,11/04/2016,12:00:00,806747
58,59 ST,NQR456W,11/04/2016,16:00:00,806893
59,59 ST,NQR456W,11/04/2016,20:00:00,807230
60,59 ST,NQR456W,10/29/2016,00:00:00,42621
61,59 ST,NQR456W,10/29/2016,04:00:00,42673
62,59 ST,NQR456W,10/29/2016,08:00:00,42706
63,59 ST,NQR456W,10/29/2016,12:00:00,42940
64,59 ST,NQR456W,10/29/2016,16:00:00,43275
65,59 ST,NQR456W,10/29/2016,20:00:00,43687
66,59 ST,NQR456W,10/30/2016,00:00:00,43960
67,59 ST,NQR456W,10/30/2016,04:00:00,44028
68,59 ST,NQR456W,10/30/2016,08:00:00,44060
69,59 ST,NQR456W,10/30/2016,12:00:00,44262
70,59 ST,NQR456W,10/30/2016,16:00:00,44565
71,59 ST,NQR456W,10/30/2016,20:00:00,44855
72,59 ST,NQR456W,10/31/2016,00:00:00,45041
73,59 ST,NQR456W,10/31/2016,04:00:00,45062
74,59 ST,NQR456W,10/31/2016,08:00:00,45119
75,59 ST,NQR456W,10/31/2016,12:00:00,45298
76,59 ST,NQR456W,10/31/2016,16:00:00,45600
77,59 ST,NQR456W,10/31/2016,20:00:00,46214
78,59 ST,NQR456W,11/01/2016,00:00:00,46431
79,59 ST,NQR456W,11/01/2016,04:00:00,46448
80,59 ST,NQR456W,11/01/2016,08:00:00,46490
81,59 ST,NQR456W,11/01/2016,12:00:00,46656
82,59 ST,NQR456W,11/01/2016,16:00:00,46967
83,59 ST,NQR456W,11/01/2016,20:00:00,47553
84,59 ST,NQR456W,11/02/2016,00:00:00,47788
85,59 ST,NQR456W,11/02/2016,04:00:00,47804
86,59 ST,NQR456W,11/02/2016,08:00:00,47852
87,59 ST,NQR456W,11/02/2016,12:00:00,48011
88,59 ST,NQR456W,11/02/2016,16:00:00,48310
89,59 ST,NQR456W,11/02/2016,20:00:00,48905
90,59 ST,NQR456W,11/03/2016,00:00:00,49154
91,59 ST,NQR456W,11/03/2016,04:00:00,49175
92,59 ST,NQR456W,11/03/2016,08:00:00,49220
93,59 ST,NQR456W,11/03/2016,12:00:00,49414
94,59 ST,NQR456W,11/03/2016,16:00:00,49709
95,59 ST,NQR456W,11/03/2016,20:00:00,50349
96,59 ST,NQR456W,11/04/2016,00:00:00,50638
97,59 ST,NQR456W,11/04/2016,04:00:00,50663
98,59 ST,NQR456W,11/04/2016,08:00:00,50700
99,59 ST,NQR456W,11/04/2016,12:00:00,50888
100,59 ST,NQR456W,11/04/2016,16:00:00,51235
101,59 ST,NQR456W,11/04/2016,20:00:00,51930
102,59 ST,NQR456W,10/29/2016,00:00:00,5125841
103,59 ST,NQR456W,10/29/2016,04:00:00,5125896
104,59 ST,NQR456W,10/29/2016,08:00:00,5125929
105,59 ST,NQR456W,10/29/2016,12:00:00,5126121
106,59 ST,NQR456W,10/29/2016,16:00:00,5126478
107,59 ST,NQR456W,10/29/2016,20:00:00,5126861
108,59 ST,NQR456W,10/30/2016,00:00:00,5127091
109,59 ST,NQR456W,10/30/2016,04:00:00,5127152
110,59 ST,NQR456W,10/30/2016,08:00:00,5127178
111,59 ST,NQR456W,10/30/2016,12:00:00,5127331
112,59 ST,NQR456W,10/30/2016,16:00:00,5127634
113,59 ST,NQR456W,10/30/2016,20:00:00,5127946
114,59 ST,NQR456W,10/31/2016,00:00:00,5128109
115,59 ST,NQR456W,10/31/2016,04:00:00,5128133
116,59 ST,NQR456W,10/31/2016,08:00:00,5128177
117,59 ST,NQR456W,10/31/2016,12:00:00,5128384
118,59 ST,NQR456W,10/31/2016,16:00:00,5128700
119,59 ST,NQR456W,10/31/2016,20:00:00,5129329
120,59 ST,NQR456W,11/01/2016,00:00:00,5129547
121,59 ST,NQR456W,11/01/2016,04:00:00,5129569
122,59 ST,NQR456W,11/01/2016,08:00:00,5129637
123,59 ST,NQR456W,11/01/2016,12:00:00,5129851
124,59 ST,NQR456W,11/01/2016,16:00:00,5130153
125,59 ST,NQR456W,11/01/2016,20:00:00,5130874
126,59 ST,NQR456W,11/02/2016,00:00:00,5131140
127,59 ST,NQR456W,11/02/2016,04:00:00,5131165
128,59 ST,NQR456W,11/02/2016,08:00:00,5131213
129,59 ST,NQR456W,11/02/2016,12:00:00,5131407
130,59 ST,NQR456W,11/02/2016,16:00:00,5131712
131,59 ST,NQR456W,11/02/2016,20:00:00,5132411
132,59 ST,NQR456W,11/03/2016,00:00:00,5132655
133,59 ST,NQR456W,11/03/2016,04:00:00,5132678
134,59 ST,NQR456W,11/03/2016,08:00:00,5132717
