,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NQR456,05/14/2016,00:00:00,5661286
1,59 ST,NQR456,05/14/2016,04:00:00,5661320
2,59 ST,NQR456,05/14/2016,08:00:00,5661349
3,59 ST,NQR456,05/14/2016,12:00:00,5661462
4,59 ST,NQR456,05/14/2016,16:00:00,5661756
5,59 ST,NQR456,05/14/2016,20:00:00,5662135
6,59 ST,NQR456,05/15/2016,00:00:00,5662314
7,59 ST,NQR456,05/15/2016,04:00:00,5662340
8,59 ST,NQR456,05/15/2016,08:00:00,5662355
9,59 ST,NQR456,05/15/2016,12:00:00,5662435
10,59 ST,NQR456,05/15/2016,16:00:00,5662661
11,59 ST,NQR456,05/15/2016,20:00:00,5662951
12,59 ST,NQR456,05/16/2016,00:00:00,5663096
13,59 ST,NQR456,05/16/2016,04:00:00,5663109
14,59 ST,NQR456,05/16/2016,08:00:00,5663161
15,59 ST,NQR456,05/16/2016,12:00:00,5663318
16,59 ST,NQR456,05/16/2016,16:00:00,5663639
17,59 ST,NQR456,05/16/2016,20:00:00,5664598
18,59 ST,NQR456,05/17/2016,00:00:00,5664882
19,59 ST,NQR456,05/17/2016,04:00:00,5664898
20,59 ST,NQR456,05/17/2016,07:42:01,5664929
21,59 ST,NQR456,05/17/2016,08:00:00,5664943
22,59 ST,NQR456,05/17/2016,12:00:00,5665095
23,59 ST,NQR456,05/17/2016,16:00:00,5665418
24,59 ST,NQR456,05/17/2016,20:00:00,5666311
25,59 ST,NQR456,05/18/2016,00:00:00,5666579
26,59 ST,NQR456,05/18/2016,04:00:00,5666604
27,59 ST,NQR456,05/18/2016,08:00:00,5666664
28,59 ST,NQR456,05/18/2016,12:00:00,5666851
29,59 ST,NQR456,05/18/2016,16:00:00,5667188
30,59 ST,NQR456,05/18/2016,20:00:00,5668144
31,59 ST,NQR456,05/19/2016,00:00:00,5668430
32,59 ST,NQR456,05/19/2016,04:00:00,5668449
33,59 ST,NQR456,05/19/2016,08:00:00,5668487
34,59 ST,NQR456,05/19/2016,12:00:00,5668676
35,59 ST,NQR456,05/19/2016,16:00:00,5669028
36,59 ST,NQR456,05/19/2016,20:00:00,5669959
37,59 ST,NQR456,05/20/2016,00:00:00,5670251
38,59 ST,NQR456,05/20/2016,04:00:00,5670283
39,59 ST,NQR456,05/20/2016,08:00:00,5670326
40,59 ST,NQR456,05/20/2016,12:00:00,5670505
41,59 ST,NQR456,05/20/2016,16:00:00,5670885
42,59 ST,NQR456,05/20/2016,20:00:00,5671825
43,59 ST,NQR456,05/14/2016,00:00:00,5196921
44,59 ST,NQR456,05/14/2016,04:00:00,5196948
45,59 ST,NQR456,05/14/2016,08:00:00,5196967
46,59 ST,NQR456,05/14/2016,12:00:00,5197067
47,59 ST,NQR456,05/14/2016,16:00:00,5197326
48,59 ST,NQR456,05/14/2016,20:00:00,5197661
49,59 ST,NQR456,05/15/2016,00:00:00,5197815
50,59 ST,NQR456,05/15/2016,04:00:00,5197845
51,59 ST,NQR456,05/15/2016,08:00:00,5197852
52,59 ST,NQR456,05/15/2016,12:00:00,5197927
53,59 ST,NQR456,05/15/2016,16:00:00,5198148
54,59 ST,NQR456,05/15/2016,20:00:00,5198395
55,59 ST,NQR456,05/16/2016,00:00:00,5198514
56,59 ST,NQR456,05/16/2016,04:00:00,5198522
57,59 ST,NQR456,05/16/2016,08:00:00,5198566
58,59 ST,NQR456,05/16/2016,12:00:00,5198748
59,59 ST,NQR456,05/16/2016,16:00:00,5198994
60,59 ST,NQR456,05/16/2016,20:00:00,5199740
61,59 ST,NQR456,05/17/2016,00:00:00,5199943
62,59 ST,NQR456,05/17/2016,04:00:00,5199953
63,59 ST,NQR456,05/17/2016,07:42:01,5199978
64,59 ST,NQR456,05/17/2016,08:00:00,5199991
65,59 ST,NQR456,05/17/2016,12:00:00,5200151
66,59 ST,NQR456,05/17/2016,16:00:00,5200455
67,59 ST,NQR456,05/17/2016,20:00:00,5201220
68,59 ST,NQR456,05/18/2016,00:00:00,5201406
69,59 ST,NQR456,05/18/2016,04:00:00,5201418
70,59 ST,NQR456,05/18/2016,08:00:00,5201463
71,59 ST,NQR456,05/18/2016,12:00:00,5201644
72,59 ST,NQR456,05/18/2016,16:00:00,5201906
73,59 ST,NQR456,05/18/2016,20:00:00,5202628
74,59 ST,NQR456,05/19/2016,00:00:00,5202838
75,59 ST,NQR456,05/19/2016,04:00:00,5202854
