,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NQR456,05/21/2016,00:00:00,5672118
1,59 ST,NQR456,05/21/2016,04:00:00,5672183
2,59 ST,NQR456,05/21/2016,08:00:00,5672214
3,59 ST,NQR456,05/21/2016,12:00:00,5672330
4,59 ST,NQR456,05/21/2016,16:00:00,5672640
5,59 ST,NQR456,05/21/2016,20:00:00,5673031
6,59 ST,NQR456,05/22/2016,00:00:00,5673268
7,59 ST,NQR456,05/22/2016,04:00:00,5673298
8,59 ST,NQR456,05/22/2016,08:00:00,5673312
9,59 ST,NQR456,05/22/2016,12:00:00,5673379
10,59 ST,NQR456,05/22/2016,16:00:00,5673632
11,59 ST,NQR456,05/22/2016,20:00:00,5673926
12,59 ST,NQR456,05/23/2016,00:00:00,5674110
13,59 ST,NQR456,05/23/2016,04:00:00,5674119
14,59 ST,NQR456,05/23/2016,08:00:00,5674168
15,59 ST,NQR456,05/23/2016,12:00:00,5674355
16,59 ST,NQR456,05/23/2016,16:00:00,5674683
17,59 ST,NQR456,05/23/2016,20:00:00,5675567
18,59 ST,NQR456,05/24/2016,00:00:00,5675809
19,59 ST,NQR456,05/24/2016,04:00:00,5675830
20,59 ST,NQR456,05/24/2016,08:00:00,5675876
21,59 ST,NQR456,05/24/2016,12:00:00,5676050
22,59 ST,NQR456,05/24/2016,16:00:00,5676339
23,59 ST,NQR456,05/24/2016,20:00:00,5677224
24,59 ST,NQR456,05/25/2016,00:00:00,5677518
25,59 ST,NQR456,05/25/2016,04:00:00,5677534
26,59 ST,NQR456,05/25/2016,08:00:00,5677589
27,59 ST,NQR456,05/25/2016,12:00:00,5677764
28,59 ST,NQR456,05/25/2016,16:00:00,5678117
29,59 ST,NQR456,05/25/2016,20:00:00,5679060
30,59 ST,NQR456,05/26/2016,00:00:00,5679349
31,59 ST,NQR456,05/26/2016,04:00:00,5679379
32,59 ST,NQR456,05/26/2016,08:00:00,5679420
33,59 ST,NQR456,05/26/2016,12:00:00,5679595
34,59 ST,NQR456,05/26/2016,16:00:00,5679985
35,59 ST,NQR456,05/26/2016,20:00:00,5680914
36,59 ST,NQR456,05/27/2016,00:00:00,5681182
37,59 ST,NQR456,05/27/2016,04:00:00,5681216
38,59 ST,NQR456,05/27/2016,08:00:00,5681259
39,59 ST,NQR456,05/27/2016,12:00:00,5681423
40,59 ST,NQR456,05/27/2016,16:00:00,5681948
41,59 ST,NQR456,05/27/2016,20:00:00,5682728
42,59 ST,NQR456,05/21/2016,00:00:00,5205788
43,59 ST,NQR456,05/21/2016,04:00:00,5205835
44,59 ST,NQR456,05/21/2016,08:00:00,5205859
45,59 ST,NQR456,05/21/2016,12:00:00,5205981
46,59 ST,NQR456,05/21/2016,16:00:00,5206261
47,59 ST,NQR456,05/21/2016,20:00:00,5206622
48,59 ST,NQR456,05/22/2016,00:00:00,5206752
49,59 ST,NQR456,05/22/2016,04:00:00,5206769
50,59 ST,NQR456,05/22/2016,08:00:00,5206776
51,59 ST,NQR456,05/22/2016,12:00:00,5206840
52,59 ST,NQR456,05/22/2016,16:00:00,5207058
53,59 ST,NQR456,05/22/2016,20:00:00,5207317
54,59 ST,NQR456,05/23/2016,00:00:00,5207425
55,59 ST,NQR456,05/23/2016,04:00:00,5207429
56,59 ST,NQR456,05/23/2016,08:00:00,5207469
57,59 ST,NQR456,05/23/2016,12:00:00,5207645
58,59 ST,NQR456,05/23/2016,16:00:00,5207893
59,59 ST,NQR456,05/23/2016,20:00:00,5208626
60,59 ST,NQR456,05/24/2016,00:00:00,5208801
61,59 ST,NQR456,05/24/2016,04:00:00,5208812
62,59 ST,NQR456,05/24/2016,08:00:00,5208861
63,59 ST,NQR456,05/24/2016,12:00:00,5209041
64,59 ST,NQR456,05/24/2016,16:00:00,5209329
65,59 ST,NQR456,05/24/2016,20:00:00,5210093
66,59 ST,NQR456,05/25/2016,00:00:00,5210303
67,59 ST,NQR456,05/25/2016,04:00:00,5210314
68,59 ST,NQR456,05/25/2016,08:00:00,5210355
69,59 ST,NQR456,05/25/2016,12:00:00,5210529
70,59 ST,NQR456,05/25/2016,16:00:00,5210848
71,59 ST,NQR456,05/25/2016,20:00:00,5211470
72,59 ST,NQR456,05/26/2016,00:00:00,5211673
73,59 ST,NQR456,05/26/2016,04:00:00,5211690
74,59 ST,NQR456,05/26/2016,08:00:00,5211736
75,59 ST,NQR456,05/26/2016,12:00:00,5211896
76,59 ST,NQR456,05/26/2016,16:00:00,5212227
77,59 ST,NQR456,05/26/2016,20:00:00,5212960
78,59 ST,NQR456,05/27/2016,00:00:00,5213154
79,59 ST,NQR456,05/27/2016,04:00:00,5213164
80,59 ST,NQR456,05/27/2016,08:00:00,5213205
81,59 ST,NQR456,05/27/2016,12:00:00,5213364
82,59 ST,NQR456,05/27/2016,16:00:00,5213760
83,59 ST,NQR456,05/27/2016,20:00:00,5214396
84,59 ST,NQR456,05/21/2016,00:00:00,702936
85,59 ST,NQR456,05/21/2016,04:00:00,702951
86,59 ST,NQR456,05/21/2016,08:00:00,702962
87,59 ST,NQR456,05/21/2016,12:00:00,703006
88,59 ST,NQR456,05/21/2016,16:00:00,703134
89,59 ST,NQR456,05/21/2016,20:00:00,703312
90,59 ST,NQR456,05/22/2016,00:00:00,703428
91,59 ST,NQR456,05/22/2016,04:00:00,703443
92,59 ST,NQR456,05/22/2016,08:00:00,703445
93,59 ST,NQR456,05/22/2016,12:00:00,703485
94,59 ST,NQR456,05/22/2016,16:00:00,703572
95,59 ST,NQR456,05/22/2016,20:00:00,703686
96,59 ST,NQR456,05/23/2016,00:00:00,703766
97,59 ST,NQR456,05/23/2016,04:00:00,703772
98,59 ST,NQR456,05/23/2016,08:00:00,703788
99,59 ST,NQR456,05/23/2016,12:00:00,703853
100,59 ST,NQR456,05/23/2016,16:00:00,703950
101,59 ST,NQR456,05/23/2016,20:00:00,704260
102,59 ST,NQR456,05/24/2016,00:00:00,704352
103,59 ST,NQR456,05/24/2016,04:00:00,704355
104,59 ST,NQR456,05/24/2016,08:00:00,704376
105,59 ST,NQR456,05/24/2016,12:00:00,704443
106,59 ST,NQR456,05/24/2016,16:00:00,704552
107,59 ST,NQR456,05/24/2016,20:00:00,704886
108,59 ST,NQR456,05/25/2016,00:00:00,704979
109,59 ST,NQR456,05/25/2016,04:00:00,704980
110,59 ST,NQR456,05/25/2016,08:00:00,705004
111,59 ST,NQR456,05/25/2016,12:00:00,705080
112,59 ST,NQR456,05/25/2016,16:00:00,705179
113,59 ST,NQR456,05/25/2016,20:00:00,705509
114,59 ST,NQR456,05/26/2016,00:00:00,705630
115,59 ST,NQR456,05/26/2016,04:00:00,705641
116,59 ST,NQR456,05/26/2016,08:00:00,705662
117,59 ST,NQR456,05/26/2016,12:00:00,705739
118,59 ST,NQR456,05/26/2016,16:00:00,705839
119,59 ST,NQR456,05/26/2016,20:00:00,706147
120,59 ST,NQR456,05/27/2016,00:00:00,706269
121,59 ST,NQR456,05/27/2016,04:00:00,706280
122,59 ST,NQR456,05/27/2016,08:00:00,706295
123,59 ST,NQR456,05/27/2016,12:00:00,706353
124,59 ST,NQR456,05/27/2016,16:00:00,706510
125,59 ST,NQR456,05/27/2016,20:00:00,706784
126,59 ST,NQR456,05/21/2016,00:00:00,5195754
127,59 ST,NQR456,05/21/2016,04:00:00,5195843
128,59 ST,NQR456,05/21/2016,08:00:00,5195905
129,59 ST,NQR456,05/21/2016,12:00:00,5196087
130,59 ST,NQR456,05/21/2016,16:00:00,5196518
131,59 ST,NQR456,05/21/2016,20:00:00,5197027
132,59 ST,NQR456,05/22/2016,00:00:00,5197401
133,59 ST,NQR456,05/22/2016,04:00:00,5197469
134,59 ST,NQR456,05/22/2016,08:00:00,5197496
135,59 ST,NQR456,05/22/2016,12:00:00,5197662
136,59 ST,NQR456,05/22/2016,16:00:00,5197900
137,59 ST,NQR456,05/22/2016,20:00:00,5198184
138,59 ST,NQR456,05/23/2016,00:00:00,5198407
139,59 ST,NQR456,05/23/2016,04:00:00,5198429
140,59 ST,NQR456,05/23/2016,08:00:00,5198485
141,59 ST,NQR456,05/23/2016,12:00:00,5198655
142,59 ST,NQR456,05/23/2016,16:00:00,5198967
143,59 ST,NQR456,05/23/2016,20:00:00,5199596
144,59 ST,NQR456,05/24/2016,00:00:00,5199891
145,59 ST,NQR456,05/24/2016,04:00:00,5199919
146,59 ST,NQR456,05/24/2016,08:00:00,5199969
147,59 ST,NQR456,05/24/2016,12:00:00,5200137
148,59 ST,NQR456,05/24/2016,16:00:00,5200413
149,59 ST,NQR456,05/24/2016,20:00:00,5201021
150,59 ST,NQR456,05/25/2016,00:00:00,5201268
151,59 ST,NQR456,05/25/2016,04:00:00,5201293
152,59 ST,NQR456,05/25/2016,08:00:00,5201342
153,59 ST,NQR456,05/25/2016,12:00:00,5201510
154,59 ST,NQR456,05/25/2016,16:00:00,5201789
155,59 ST,NQR456,05/25/2016,20:00:00,5202460
156,59 ST,NQR456,05/26/2016,00:00:00,5202805
157,59 ST,NQR456,05/26/2016,04:00:00,5202839
158,59 ST,NQR456,05/26/2016,08:00:00,5202902
