,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NQR456,01/16/2016,03:00:00,5499830
1,59 ST,NQR456,01/16/2016,07:00:00,5499836
2,59 ST,NQR456,01/16/2016,11:00:00,5499888
3,59 ST,NQR456,01/16/2016,15:00:00,5500090
4,59 ST,NQR456,01/16/2016,19:00:00,5500530
5,59 ST,NQR456,01/16/2016,23:00:00,5500757
6,59 ST,NQR456,01/17/2016,03:00:00,5500843
7,59 ST,NQR456,01/17/2016,07:00:00,5500850
8,59 ST,NQR456,01/17/2016,11:00:00,5500916
9,59 ST,NQR456,01/17/2016,15:00:00,5501111
10,59 ST,NQR456,01/17/2016,19:00:00,5501400
11,59 ST,NQR456,01/17/2016,23:00:00,5501604
12,59 ST,NQR456,01/18/2016,03:00:00,5501646
13,59 ST,NQR456,01/18/2016,07:00:00,5501655
14,59 ST,NQR456,01/18/2016,11:00:00,5501753
15,59 ST,NQR456,01/18/2016,15:00:00,5502045
16,59 ST,NQR456,01/18/2016,19:00:00,5502605
17,59 ST,NQR456,01/18/2016,23:00:00,5502840
18,59 ST,NQR456,01/19/2016,03:00:00,5502862
19,59 ST,NQR456,01/19/2016,07:00:00,5502884
20,59 ST,NQR456,01/19/2016,11:00:00,5503081
21,59 ST,NQR456,01/19/2016,15:00:00,5503305
22,59 ST,NQR456,01/19/2016,19:00:00,5504232
23,59 ST,NQR456,01/19/2016,23:00:00,5504616
24,59 ST,NQR456,01/20/2016,03:00:00,5504657
25,59 ST,NQR456,01/20/2016,07:00:00,5504672
26,59 ST,NQR456,01/20/2016,11:00:00,5504839
27,59 ST,NQR456,01/20/2016,15:00:00,5505073
28,59 ST,NQR456,01/20/2016,19:00:00,5506015
29,59 ST,NQR456,01/20/2016,23:00:00,5506379
30,59 ST,NQR456,01/21/2016,03:00:00,5506407
31,59 ST,NQR456,01/21/2016,07:00:00,5506421
32,59 ST,NQR456,01/21/2016,11:00:00,5506577
33,59 ST,NQR456,01/21/2016,15:00:00,5506815
34,59 ST,NQR456,01/21/2016,19:00:00,5507753
35,59 ST,NQR456,01/21/2016,23:00:00,5508157
36,59 ST,NQR456,01/22/2016,03:00:00,5508189
37,59 ST,NQR456,01/22/2016,07:00:00,5508200
38,59 ST,NQR456,01/22/2016,11:00:00,5508379
39,59 ST,NQR456,01/22/2016,15:00:00,5508675
40,59 ST,NQR456,01/22/2016,19:00:00,5509618
41,59 ST,NQR456,01/22/2016,23:00:00,5509933
42,59 ST,NQR456,01/16/2016,03:00:00,5062141
43,59 ST,NQR456,01/16/2016,07:00:00,5062146
44,59 ST,NQR456,01/16/2016,11:00:00,5062203
45,59 ST,NQR456,01/16/2016,15:00:00,5062396
46,59 ST,NQR456,01/16/2016,19:00:00,5062737
47,59 ST,NQR456,01/16/2016,23:00:00,5062958
48,59 ST,NQR456,01/17/2016,03:00:00,5063011
49,59 ST,NQR456,01/17/2016,07:00:00,5063018
50,59 ST,NQR456,01/17/2016,11:00:00,5063074
51,59 ST,NQR456,01/17/2016,15:00:00,5063240
52,59 ST,NQR456,01/17/2016,19:00:00,5063512
53,59 ST,NQR456,01/17/2016,23:00:00,5063687
