,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NQR456,07/09/2016,00:00:00,5731515
1,59 ST,NQR456,07/09/2016,04:00:00,5731544
2,59 ST,NQR456,07/09/2016,08:00:00,5731564
3,59 ST,NQR456,07/09/2016,12:00:00,5731666
4,59 ST,NQR456,07/09/2016,16:00:00,5731892
5,59 ST,NQR456,07/09/2016,20:00:00,5732227
6,59 ST,NQR456,07/10/2016,00:00:00,5732378
7,59 ST,NQR456,07/10/2016,04:00:00,5732408
8,59 ST,NQR456,07/10/2016,08:00:00,5732424
9,59 ST,NQR456,07/10/2016,12:00:00,5732512
10,59 ST,NQR456,07/10/2016,16:00:00,5732690
11,59 ST,NQR456,07/10/2016,20:00:00,5732955
12,59 ST,NQR456,07/11/2016,00:00:00,5733078
13,59 ST,NQR456,07/11/2016,04:00:00,5733093
14,59 ST,NQR456,07/11/2016,08:00:00,5733142
15,59 ST,NQR456,07/11/2016,12:00:00,5733299
16,59 ST,NQR456,07/11/2016,16:00:00,5733575
17,59 ST,NQR456,07/11/2016,20:00:00,5734417
18,59 ST,NQR456,07/12/2016,00:00:00,5734670
19,59 ST,NQR456,07/12/2016,04:00:00,5734688
20,59 ST,NQR456,07/12/2016,08:00:00,5734733
21,59 ST,NQR456,07/12/2016,12:00:00,5734943
22,59 ST,NQR456,07/12/2016,16:00:00,5735278
23,59 ST,NQR456,07/12/2016,20:00:00,5736151
24,59 ST,NQR456,07/13/2016,00:00:00,5736417
25,59 ST,NQR456,07/13/2016,04:00:00,5736429
26,59 ST,NQR456,07/13/2016,08:00:00,5736467
27,59 ST,NQR456,07/13/2016,12:00:00,5736683
28,59 ST,NQR456,07/13/2016,16:00:00,5737005
29,59 ST,NQR456,07/13/2016,20:00:00,5737897
30,59 ST,NQR456,07/14/2016,00:00:00,5738177
31,59 ST,NQR456,07/14/2016,04:00:00,5738199
32,59 ST,NQR456,07/14/2016,08:00:00,5738250
33,59 ST,NQR456,07/14/2016,12:00:00,5738439
34,59 ST,NQR456,07/14/2016,16:00:00,5738790
35,59 ST,NQR456,07/14/2016,20:00:00,5739686
36,59 ST,NQR456,07/15/2016,00:00:00,5739982
37,59 ST,NQR456,07/15/2016,04:00:00,5740004
38,59 ST,NQR456,07/15/2016,08:00:00,5740041
39,59 ST,NQR456,07/15/2016,12:00:00,5740222
40,59 ST,NQR456,07/15/2016,16:00:00,5740543
41,59 ST,NQR456,07/15/2016,20:00:00,5741381
42,59 ST,NQR456,07/09/2016,00:00:00,5272541
43,59 ST,NQR456,07/09/2016,04:00:00,5272567
44,59 ST,NQR456,07/09/2016,08:00:00,5272580
45,59 ST,NQR456,07/09/2016,12:00:00,5272669
46,59 ST,NQR456,07/09/2016,16:00:00,5272885
47,59 ST,NQR456,07/09/2016,20:00:00,5273159
48,59 ST,NQR456,07/10/2016,00:00:00,5273290
49,59 ST,NQR456,07/10/2016,04:00:00,5273311
50,59 ST,NQR456,07/10/2016,08:00:00,5273320
51,59 ST,NQR456,07/10/2016,12:00:00,5273406
52,59 ST,NQR456,07/10/2016,16:00:00,5273563
53,59 ST,NQR456,07/10/2016,20:00:00,5273769
54,59 ST,NQR456,07/11/2016,00:00:00,5273879
55,59 ST,NQR456,07/11/2016,04:00:00,5273886
56,59 ST,NQR456,07/11/2016,08:00:00,5273937
57,59 ST,NQR456,07/11/2016,12:00:00,5274121
58,59 ST,NQR456,07/11/2016,16:00:00,5274406
59,59 ST,NQR456,07/11/2016,20:00:00,5275092
60,59 ST,NQR456,07/12/2016,00:00:00,5275287
61,59 ST,NQR456,07/12/2016,04:00:00,5275296
62,59 ST,NQR456,07/12/2016,08:00:00,5275343
63,59 ST,NQR456,07/12/2016,12:00:00,5275512
64,59 ST,NQR456,07/12/2016,16:00:00,5275776
65,59 ST,NQR456,07/12/2016,20:00:00,5276480
66,59 ST,NQR456,07/13/2016,00:00:00,5276675
67,59 ST,NQR456,07/13/2016,04:00:00,5276683
68,59 ST,NQR456,07/13/2016,08:00:00,5276725
69,59 ST,NQR456,07/13/2016,12:00:00,5276914
70,59 ST,NQR456,07/13/2016,16:00:00,5277187
71,59 ST,NQR456,07/13/2016,20:00:00,5277940
72,59 ST,NQR456,07/14/2016,00:00:00,5278158
73,59 ST,NQR456,07/14/2016,04:00:00,5278174
74,59 ST,NQR456,07/14/2016,08:00:00,5278214
75,59 ST,NQR456,07/14/2016,12:00:00,5278393
76,59 ST,NQR456,07/14/2016,16:00:00,5278679
77,59 ST,NQR456,07/14/2016,20:00:00,5279385
78,59 ST,NQR456,07/15/2016,00:00:00,5279606
79,59 ST,NQR456,07/15/2016,04:00:00,5279617
80,59 ST,NQR456,07/15/2016,08:00:00,5279662
81,59 ST,NQR456,07/15/2016,12:00:00,5279828
82,59 ST,NQR456,07/15/2016,16:00:00,5280166
83,59 ST,NQR456,07/15/2016,20:00:00,5280852
84,59 ST,NQR456,07/09/2016,00:00:00,730677
85,59 ST,NQR456,07/09/2016,04:00:00,730692
86,59 ST,NQR456,07/09/2016,08:00:00,730696
87,59 ST,NQR456,07/09/2016,12:00:00,730735
88,59 ST,NQR456,07/09/2016,16:00:00,730824
89,59 ST,NQR456,07/09/2016,20:00:00,730978
90,59 ST,NQR456,07/10/2016,00:00:00,731074
91,59 ST,NQR456,07/10/2016,04:00:00,731087
92,59 ST,NQR456,07/10/2016,08:00:00,731092
93,59 ST,NQR456,07/10/2016,12:00:00,731117
94,59 ST,NQR456,07/10/2016,16:00:00,731191
95,59 ST,NQR456,07/10/2016,20:00:00,731304
96,59 ST,NQR456,07/11/2016,00:00:00,731363
97,59 ST,NQR456,07/11/2016,04:00:00,731367
98,59 ST,NQR456,07/11/2016,08:00:00,731390
99,59 ST,NQR456,07/11/2016,12:00:00,731446
