,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NQR456,04/30/2016,00:00:00,5639941
1,59 ST,NQR456,04/30/2016,04:00:00,5639991
2,59 ST,NQR456,04/30/2016,08:00:00,5640014
3,59 ST,NQR456,04/30/2016,12:00:00,5640158
4,59 ST,NQR456,04/30/2016,16:00:00,5640454
5,59 ST,NQR456,04/30/2016,20:00:00,5640802
6,59 ST,NQR456,05/01/2016,00:00:00,5640974
7,59 ST,NQR456,05/01/2016,04:00:00,5640996
8,59 ST,NQR456,05/01/2016,08:00:00,5641021
9,59 ST,NQR456,05/01/2016,12:00:00,5641113
10,59 ST,NQR456,05/01/2016,16:00:00,5641329
11,59 ST,NQR456,05/01/2016,20:00:00,5641597
12,59 ST,NQR456,05/02/2016,00:00:00,5641703
13,59 ST,NQR456,05/02/2016,04:00:00,5641718
14,59 ST,NQR456,05/02/2016,08:00:00,5641752
15,59 ST,NQR456,05/02/2016,12:00:00,5641930
16,59 ST,NQR456,05/02/2016,16:00:00,5642221
17,59 ST,NQR456,05/02/2016,20:00:00,5643166
18,59 ST,NQR456,05/03/2016,00:00:00,5643422
19,59 ST,NQR456,05/03/2016,04:00:00,5643435
20,59 ST,NQR456,05/03/2016,08:00:00,5643481
21,59 ST,NQR456,05/03/2016,12:00:00,5643674
22,59 ST,NQR456,05/03/2016,16:00:00,5643997
23,59 ST,NQR456,05/03/2016,20:00:00,5644893
24,59 ST,NQR456,05/04/2016,00:00:00,5645140
25,59 ST,NQR456,05/04/2016,04:00:00,5645156
26,59 ST,NQR456,05/04/2016,08:00:00,5645206
27,59 ST,NQR456,05/04/2016,12:00:00,5645396
28,59 ST,NQR456,05/04/2016,16:00:00,5645750
29,59 ST,NQR456,05/04/2016,20:00:00,5646672
30,59 ST,NQR456,05/05/2016,00:00:00,5646943
31,59 ST,NQR456,05/05/2016,04:00:00,5646960
32,59 ST,NQR456,05/05/2016,08:00:00,5647009
33,59 ST,NQR456,05/05/2016,12:00:00,5647179
34,59 ST,NQR456,05/05/2016,16:00:00,5647484
35,59 ST,NQR456,05/05/2016,20:00:00,5648374
36,59 ST,NQR456,05/06/2016,00:00:00,5648656
37,59 ST,NQR456,05/06/2016,04:00:00,5648677
38,59 ST,NQR456,05/06/2016,08:00:00,5648720
39,59 ST,NQR456,05/06/2016,12:00:00,5648923
40,59 ST,NQR456,05/06/2016,13:31:17,5649004
41,59 ST,NQR456,05/06/2016,16:00:00,5649282
42,59 ST,NQR456,05/06/2016,20:00:00,5650210
43,59 ST,NQR456,04/30/2016,00:00:00,5180722
44,59 ST,NQR456,04/30/2016,04:00:00,5180750
45,59 ST,NQR456,04/30/2016,08:00:00,5180770
46,59 ST,NQR456,04/30/2016,12:00:00,5180925
47,59 ST,NQR456,04/30/2016,16:00:00,5181200
48,59 ST,NQR456,04/30/2016,20:00:00,5181487
49,59 ST,NQR456,05/01/2016,00:00:00,5181628
50,59 ST,NQR456,05/01/2016,04:00:00,5181652
51,59 ST,NQR456,05/01/2016,08:00:00,5181673
52,59 ST,NQR456,05/01/2016,12:00:00,5181794
53,59 ST,NQR456,05/01/2016,16:00:00,5182024
54,59 ST,NQR456,05/01/2016,20:00:00,5182275
55,59 ST,NQR456,05/02/2016,00:00:00,5182364
56,59 ST,NQR456,05/02/2016,04:00:00,5182371
57,59 ST,NQR456,05/02/2016,08:00:00,5182417
58,59 ST,NQR456,05/02/2016,12:00:00,5182605
59,59 ST,NQR456,05/02/2016,16:00:00,5182847
60,59 ST,NQR456,05/02/2016,20:00:00,5183586
61,59 ST,NQR456,05/03/2016,00:00:00,5183796
62,59 ST,NQR456,05/03/2016,04:00:00,5183810
63,59 ST,NQR456,05/03/2016,08:00:00,5183857
64,59 ST,NQR456,05/03/2016,12:00:00,5184042
65,59 ST,NQR456,05/03/2016,16:00:00,5184300
66,59 ST,NQR456,05/03/2016,20:00:00,5184974
67,59 ST,NQR456,05/04/2016,00:00:00,5185156
68,59 ST,NQR456,05/04/2016,04:00:00,5185161
69,59 ST,NQR456,05/04/2016,08:00:00,5185201
70,59 ST,NQR456,05/04/2016,12:00:00,5185383
71,59 ST,NQR456,05/04/2016,16:00:00,5185630
72,59 ST,NQR456,05/04/2016,20:00:00,5186277
73,59 ST,NQR456,05/05/2016,00:00:00,5186472
74,59 ST,NQR456,05/05/2016,04:00:00,5186485
75,59 ST,NQR456,05/05/2016,08:00:00,5186534
76,59 ST,NQR456,05/05/2016,12:00:00,5186716
77,59 ST,NQR456,05/05/2016,16:00:00,5186983
78,59 ST,NQR456,05/05/2016,20:00:00,5187734
79,59 ST,NQR456,05/06/2016,00:00:00,5187946
80,59 ST,NQR456,05/06/2016,04:00:00,5187966
81,59 ST,NQR456,05/06/2016,08:00:00,5188008
82,59 ST,NQR456,05/06/2016,12:00:00,5188190
83,59 ST,NQR456,05/06/2016,13:31:17,5188267
84,59 ST,NQR456,05/06/2016,16:00:00,5188507
85,59 ST,NQR456,05/06/2016,20:00:00,5189275
86,59 ST,NQR456,04/30/2016,00:00:00,690882
87,59 ST,NQR456,04/30/2016,04:00:00,690901
88,59 ST,NQR456,04/30/2016,08:00:00,690905
89,59 ST,NQR456,04/30/2016,12:00:00,690995
90,59 ST,NQR456,04/30/2016,16:00:00,691149
91,59 ST,NQR456,04/30/2016,20:00:00,691310
92,59 ST,NQR456,05/01/2016,00:00:00,691404
93,59 ST,NQR456,05/01/2016,04:00:00,691416
94,59 ST,NQR456,05/01/2016,08:00:00,691425
95,59 ST,NQR456,05/01/2016,12:00:00,691507
96,59 ST,NQR456,05/01/2016,16:00:00,691641
97,59 ST,NQR456,05/01/2016,20:00:00,691773
98,59 ST,NQR456,05/02/2016,00:00:00,691827
99,59 ST,NQR456,05/02/2016,04:00:00,691836
100,59 ST,NQR456,05/02/2016,08:00:00,691857
101,59 ST,NQR456,05/02/2016,12:00:00,691918
102,59 ST,NQR456,05/02/2016,16:00:00,692019
103,59 ST,NQR456,05/02/2016,20:00:00,692317
104,59 ST,NQR456,05/03/2016,00:00:00,692417
105,59 ST,NQR456,05/03/2016,04:00:00,692420
106,59 ST,NQR456,05/03/2016,08:00:00,692442
107,59 ST,NQR456,05/03/2016,12:00:00,692502
108,59 ST,NQR456,05/03/2016,16:00:00,692622
109,59 ST,NQR456,05/03/2016,20:00:00,692924
110,59 ST,NQR456,05/04/2016,00:00:00,693007
111,59 ST,NQR456,05/04/2016,04:00:00,693012
112,59 ST,NQR456,05/04/2016,08:00:00,693032
113,59 ST,NQR456,05/04/2016,12:00:00,693097
114,59 ST,NQR456,05/04/2016,16:00:00,693237
115,59 ST,NQR456,05/04/2016,20:00:00,693554
116,59 ST,NQR456,05/05/2016,00:00:00,693676
117,59 ST,NQR456,05/05/2016,04:00:00,693683
118,59 ST,NQR456,05/05/2016,08:00:00,693699
119,59 ST,NQR456,05/05/2016,12:00:00,693765
120,59 ST,NQR456,05/05/2016,16:00:00,693881
121,59 ST,NQR456,05/05/2016,20:00:00,694194
122,59 ST,NQR456,05/06/2016,00:00:00,694325
123,59 ST,NQR456,05/06/2016,04:00:00,694335
124,59 ST,NQR456,05/06/2016,08:00:00,694350
125,59 ST,NQR456,05/06/2016,12:00:00,694442
126,59 ST,NQR456,05/06/2016,13:31:17,694463
