,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NQR456,02/20/2016,03:00:00,5551553
1,59 ST,NQR456,02/20/2016,07:00:00,5551567
2,59 ST,NQR456,02/20/2016,11:00:00,5551664
3,59 ST,NQR456,02/20/2016,15:00:00,5551960
4,59 ST,NQR456,02/20/2016,19:00:00,5552383
5,59 ST,NQR456,02/20/2016,23:00:00,5552655
6,59 ST,NQR456,02/21/2016,03:00:00,5552728
7,59 ST,NQR456,02/21/2016,07:00:00,5552740
8,59 ST,NQR456,02/21/2016,11:00:00,5552808
9,59 ST,NQR456,02/21/2016,15:00:00,5553058
10,59 ST,NQR456,02/21/2016,19:00:00,5553313
11,59 ST,NQR456,02/21/2016,23:00:00,5553467
12,59 ST,NQR456,02/22/2016,03:00:00,5553490
13,59 ST,NQR456,02/22/2016,07:00:00,5553502
14,59 ST,NQR456,02/22/2016,11:00:00,5553642
15,59 ST,NQR456,02/22/2016,15:00:00,5553853
16,59 ST,NQR456,02/22/2016,19:00:00,5554797
17,59 ST,NQR456,02/22/2016,23:00:00,5555126
18,59 ST,NQR456,02/23/2016,03:00:00,5555156
19,59 ST,NQR456,02/23/2016,07:00:00,5555181
20,59 ST,NQR456,02/23/2016,11:00:00,5555337
21,59 ST,NQR456,02/23/2016,15:00:00,5555563
22,59 ST,NQR456,02/23/2016,19:00:00,5556492
23,59 ST,NQR456,02/23/2016,23:00:00,5556817
24,59 ST,NQR456,02/24/2016,03:00:00,5556856
25,59 ST,NQR456,02/24/2016,07:00:00,5556871
26,59 ST,NQR456,02/24/2016,07:06:55,5556872
27,59 ST,NQR456,02/24/2016,08:16:26,5556916
28,59 ST,NQR456,02/24/2016,11:00:00,5557039
29,59 ST,NQR456,02/24/2016,15:00:00,5557277
30,59 ST,NQR456,02/24/2016,19:00:00,5558165
31,59 ST,NQR456,02/24/2016,19:04:47,5558178
32,59 ST,NQR456,02/24/2016,23:00:00,5558517
33,59 ST,NQR456,02/25/2016,03:00:00,5558579
34,59 ST,NQR456,02/25/2016,07:00:00,5558596
35,59 ST,NQR456,02/25/2016,07:32:38,5558620
36,59 ST,NQR456,02/25/2016,07:54:16,5558631
37,59 ST,NQR456,02/25/2016,07:55:37,5558632
38,59 ST,NQR456,02/25/2016,08:02:36,5558635
