,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NQR456,10/15/2016,00:00:00,5870042
1,59 ST,NQR456,10/15/2016,04:00:00,5870089
2,59 ST,NQR456,10/15/2016,08:00:00,5870109
3,59 ST,NQR456,10/15/2016,12:00:00,5870236
4,59 ST,NQR456,10/15/2016,16:00:00,5870529
5,59 ST,NQR456,10/15/2016,20:00:00,5870978
6,59 ST,NQR456,10/16/2016,00:00:00,5871171
7,59 ST,NQR456,10/16/2016,04:00:00,5871214
8,59 ST,NQR456,10/16/2016,08:00:00,5871237
9,59 ST,NQR456,10/16/2016,12:00:00,5871334
10,59 ST,NQR456,10/16/2016,16:00:00,5871563
11,59 ST,NQR456,10/16/2016,20:00:00,5871825
12,59 ST,NQR456,10/17/2016,00:00:00,5871960
13,59 ST,NQR456,10/17/2016,04:00:00,5871968
14,59 ST,NQR456,10/17/2016,08:00:00,5872014
15,59 ST,NQR456,10/17/2016,12:00:00,5872183
16,59 ST,NQR456,10/17/2016,16:00:00,5872543
17,59 ST,NQR456,10/17/2016,20:00:00,5873565
18,59 ST,NQR456,10/18/2016,00:00:00,5873811
19,59 ST,NQR456,10/18/2016,04:00:00,5873828
20,59 ST,NQR456,10/18/2016,08:00:00,5873878
21,59 ST,NQR456,10/18/2016,12:00:00,5874057
22,59 ST,NQR456,10/18/2016,16:00:00,5874401
23,59 ST,NQR456,10/18/2016,20:00:00,5875383
24,59 ST,NQR456,10/19/2016,00:00:00,5875609
25,59 ST,NQR456,10/19/2016,04:00:00,5875628
26,59 ST,NQR456,10/19/2016,08:00:00,5875668
27,59 ST,NQR456,10/19/2016,12:00:00,5875809
28,59 ST,NQR456,10/19/2016,16:00:00,5876175
29,59 ST,NQR456,10/19/2016,20:00:00,5877109
30,59 ST,NQR456,10/20/2016,00:00:00,5877359
31,59 ST,NQR456,10/20/2016,04:00:00,5877378
32,59 ST,NQR456,10/20/2016,08:00:00,5877420
33,59 ST,NQR456,10/20/2016,12:00:00,5877604
34,59 ST,NQR456,10/20/2016,16:00:00,5877998
35,59 ST,NQR456,10/20/2016,20:00:00,5878917
36,59 ST,NQR456,10/21/2016,00:00:00,5879170
37,59 ST,NQR456,10/21/2016,04:00:00,5879198
38,59 ST,NQR456,10/21/2016,08:00:00,5879236
39,59 ST,NQR456,10/21/2016,12:00:00,5879412
40,59 ST,NQR456,10/21/2016,16:00:00,5879795
41,59 ST,NQR456,10/21/2016,20:00:00,5880666
42,59 ST,NQR456,10/15/2016,00:00:00,5387435
43,59 ST,NQR456,10/15/2016,04:00:00,5387470
44,59 ST,NQR456,10/15/2016,08:00:00,5387490
45,59 ST,NQR456,10/15/2016,12:00:00,5387591
46,59 ST,NQR456,10/15/2016,16:00:00,5387821
47,59 ST,NQR456,10/15/2016,20:00:00,5388187
48,59 ST,NQR456,10/16/2016,00:00:00,5388356
49,59 ST,NQR456,10/16/2016,04:00:00,5388382
50,59 ST,NQR456,10/16/2016,08:00:00,5388402
51,59 ST,NQR456,10/16/2016,12:00:00,5388473
52,59 ST,NQR456,10/16/2016,16:00:00,5388686
53,59 ST,NQR456,10/16/2016,20:00:00,5388948
54,59 ST,NQR456,10/17/2016,00:00:00,5389061
55,59 ST,NQR456,10/17/2016,04:00:00,5389065
56,59 ST,NQR456,10/17/2016,08:00:00,5389103
57,59 ST,NQR456,10/17/2016,12:00:00,5389258
58,59 ST,NQR456,10/17/2016,16:00:00,5389531
59,59 ST,NQR456,10/17/2016,20:00:00,5390129
60,59 ST,NQR456,10/18/2016,00:00:00,5390312
61,59 ST,NQR456,10/18/2016,04:00:00,5390322
62,59 ST,NQR456,10/18/2016,08:00:00,5390373
63,59 ST,NQR456,10/18/2016,12:00:00,5390535
64,59 ST,NQR456,10/18/2016,16:00:00,5390824
65,59 ST,NQR456,10/18/2016,20:00:00,5391560
66,59 ST,NQR456,10/19/2016,00:00:00,5391753
67,59 ST,NQR456,10/19/2016,04:00:00,5391764
68,59 ST,NQR456,10/19/2016,08:00:00,5391806
69,59 ST,NQR456,10/19/2016,12:00:00,5391933
70,59 ST,NQR456,10/19/2016,16:00:00,5392223
71,59 ST,NQR456,10/19/2016,20:00:00,5392972
72,59 ST,NQR456,10/20/2016,00:00:00,5393173
73,59 ST,NQR456,10/20/2016,04:00:00,5393194
74,59 ST,NQR456,10/20/2016,08:00:00,5393232
75,59 ST,NQR456,10/20/2016,12:00:00,5393395
76,59 ST,NQR456,10/20/2016,16:00:00,5393698
77,59 ST,NQR456,10/20/2016,20:00:00,5394373
78,59 ST,NQR456,10/21/2016,00:00:00,5394573
79,59 ST,NQR456,10/21/2016,04:00:00,5394591
80,59 ST,NQR456,10/21/2016,08:00:00,5394633
81,59 ST,NQR456,10/21/2016,12:00:00,5394800
