,STATION,LINENAME,DATE,TIME,ENTRIES
0,59 ST,NQR456W,12/17/2016,03:00:00,5967477
1,59 ST,NQR456W,12/17/2016,07:00:00,5967485
2,59 ST,NQR456W,12/17/2016,11:00:00,5967553
3,59 ST,NQR456W,12/17/2016,15:00:00,5967790
4,59 ST,NQR456W,12/17/2016,19:00:00,5968186
5,59 ST,NQR456W,12/17/2016,23:00:00,5968429
6,59 ST,NQR456W,12/18/2016,03:00:00,5968519
7,59 ST,NQR456W,12/18/2016,07:00:00,5968527
8,59 ST,NQR456W,12/18/2016,11:00:00,5968571
9,59 ST,NQR456W,12/18/2016,15:00:00,5968782
10,59 ST,NQR456W,12/18/2016,19:00:00,5969066
11,59 ST,NQR456W,12/18/2016,23:00:00,5969243
12,59 ST,NQR456W,12/19/2016,03:00:00,5969290
13,59 ST,NQR456W,12/19/2016,07:00:00,5969302
14,59 ST,NQR456W,12/19/2016,11:00:00,5969488
15,59 ST,NQR456W,12/19/2016,15:00:00,5969785
16,59 ST,NQR456W,12/19/2016,19:00:00,5970705
17,59 ST,NQR456W,12/19/2016,23:00:00,5971136
18,59 ST,NQR456W,12/20/2016,03:00:00,5971189
19,59 ST,NQR456W,12/20/2016,07:00:00,5971217
20,59 ST,NQR456W,12/20/2016,11:00:00,5971403
21,59 ST,NQR456W,12/20/2016,15:00:00,5971683
22,59 ST,NQR456W,12/20/2016,19:00:00,5972678
23,59 ST,NQR456W,12/20/2016,23:00:00,5973089
24,59 ST,NQR456W,12/21/2016,03:00:00,5973142
25,59 ST,NQR456W,12/21/2016,07:00:00,5973164
26,59 ST,NQR456W,12/21/2016,11:00:00,5973339
27,59 ST,NQR456W,12/21/2016,15:00:00,5973691
28,59 ST,NQR456W,12/21/2016,19:00:00,5974920
29,59 ST,NQR456W,12/21/2016,23:00:00,5975406
30,59 ST,NQR456W,12/22/2016,03:00:00,5975480
31,59 ST,NQR456W,12/22/2016,07:00:00,5975500
32,59 ST,NQR456W,12/22/2016,11:00:00,5975736
33,59 ST,NQR456W,12/22/2016,15:00:00,5976128
34,59 ST,NQR456W,12/22/2016,19:00:00,5977365
35,59 ST,NQR456W,12/22/2016,23:00:00,5977858
36,59 ST,NQR456W,12/23/2016,03:00:00,5977927
37,59 ST,NQR456W,12/23/2016,07:00:00,5977959
38,59 ST,NQR456W,12/23/2016,11:00:00,5978211
39,59 ST,NQR456W,12/23/2016,15:00:00,5978930
40,59 ST,NQR456W,12/23/2016,19:00:00,5980047
41,59 ST,NQR456W,12/23/2016,23:00:00,5980449
42,59 ST,NQR456W,12/17/2016,03:00:00,5467304
43,59 ST,NQR456W,12/17/2016,07:00:00,5467317
44,59 ST,NQR456W,12/17/2016,11:00:00,5467376
45,59 ST,NQR456W,12/17/2016,15:00:00,5467582
46,59 ST,NQR456W,12/17/2016,19:00:00,5467908
47,59 ST,NQR456W,12/17/2016,23:00:00,5468134
48,59 ST,NQR456W,12/18/2016,03:00:00,5468190
49,59 ST,NQR456W,12/18/2016,07:00:00,5468200
50,59 ST,NQR456W,12/18/2016,11:00:00,5468238
51,59 ST,NQR456W,12/18/2016,15:00:00,5468413
52,59 ST,NQR456W,12/18/2016,19:00:00,5468700
53,59 ST,NQR456W,12/18/2016,23:00:00,5468840
54,59 ST,NQR456W,12/19/2016,03:00:00,5468873
55,59 ST,NQR456W,12/19/2016,07:00:00,5468879
56,59 ST,NQR456W,12/19/2016,11:00:00,5469062
57,59 ST,NQR456W,12/19/2016,15:00:00,5469349
58,59 ST,NQR456W,12/19/2016,19:00:00,5470174
59,59 ST,NQR456W,12/19/2016,23:00:00,5470555
60,59 ST,NQR456W,12/20/2016,03:00:00,5470596
